model_in_csv,model_in_timm,wait_time_seconds,return_code
mobilenetv3_small_050_224_lamb_imagenet_1k,mobilenetv3_small_050.lamb_in1k,118.177,0
efficientvit_medium_0_224_classification_imagenet_1k,efficientvit_m0.r224_in1k,138.139,0
mobilenetv3_small_075_224_lamb_imagenet_1k,mobilenetv3_small_075.lamb_in1k,44.394,0
resnet_18_160_classification_imagenet_1k,resnet18.a3_in1k,135.395,0
mobilenetv2_050_224_lamb_imagenet_1k,mobilenetv2_050.lamb_in1k,335.562,0
resnet_10t_176_classification_imagenet_1k,resnet10t.c3_in1k,17.179,0
tinynet_d_152_classification_imagenet_1k,tinynet_d.in1k,55.029,0
mobilenetv3_small_100_224_lamb_imagenet_1k,mobilenetv3_small_100.lamb_in1k,10.907,0
efficientvit_medium_1_224_classification_imagenet_1k,efficientvit_m1.r224_in1k,245.120,0
resnet_18_224_tv_imagenet_1k,resnet18.tv_in1k,13.351,0
vgg_13_224_tv_imagenet_1k,vgg13.tv_in1k,16.634,0
resnet_34_160_classification_imagenet_1k,resnet34.a3_in1k,83.392,0
efficientvit_medium_2_224_classification_imagenet_1k,efficientvit_m2.r224_in1k,199.422,0
resnet_18_224_gluon_imagenet_1k,resnet18.gluon_in1k,13.578,0
efficientvit_medium_3_224_classification_imagenet_1k,efficientvit_m3.r224_in1k,302.440,0
efficientvit_medium_4_224_classification_imagenet_1k,efficientvit_m4.r224_in1k,660.553,0
efficientvit_base_0_224_classification_imagenet_1k,efficientvit_b0.r224_in1k,9.128,0
efficientvit_base_1_224_classification_imagenet_1k,efficientvit_b1.r224_in1k,8.242,0
efficientvit_base_2_224_classification_imagenet_1k,efficientvit_b2.r224_in1k,15.082,0
efficientvit_base_3_224_classification_imagenet_1k,efficientvit_b3.r224_in1k,44.859,0
convnext_tiny_224_classification_imagenet_12k_ft_classification_imagenet_1k,convnext_tiny.in12k_ft_in1k,30.250,0
convnext_small_224_classification_imagenet_12k_ft_classification_imagenet_1k,convnext_small.in12k_ft_in1k,55.573,0
