model_in_csv,model_in_timm,parameter_count,accuracy,url
mobilenetv3_small_050_224_lamb_imagenet_1k,mobilenetv3_small_050.lamb_in1k,1.6M,0.579100,https://huggingface.co/timm/mobilenetv3_small_050.lamb_in1k
efficientvit_medium_0_224_classification_imagenet_1k,efficientvit_m0.r224_in1k, 2.38M,0.633160,https://huggingface.co/timm/efficientvit_m0.r224_in1k
mobilenetv3_small_075_224_lamb_imagenet_1k,mobilenetv3_small_075.lamb_in1k, 2.05M,0.652460, https://huggingface.co/timm/mobilenetv3_small_075.lamb_in1k
resnet_18_160_classification_imagenet_1k,resnet18.a3_in1k,11.7M,0.656680,https://huggingface.co/timm/resnet18.a3_in1k
mobilenetv2_050_224_lamb_imagenet_1k,mobilenetv2_050.lamb_in1k,1.99M,0.659320,https://huggingface.co/timm/mobilenetv2_050.lamb_in1k
resnet_10t_176_classification_imagenet_1k,resnet10t.c3_in1k,5.4M,0.667020,https://huggingface.co/timm/resnet10t.c3_in1k
tinynet_d_152_classification_imagenet_1k,tinynet_d.in1k,2.36M,0.669660,https://huggingface.co/timm/tinynet_d.in1k
mobilenetv3_small_100_224_lamb_imagenet_1k,mobilenetv3_small_100.lamb_in1k,2.55M,0.676500,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k
efficientvit_medium_1_224_classification_imagenet_1k,efficientvit_m1.r224_in1k,3.01M,0.683200,https://huggingface.co/timm/efficientvit_m1.r224_in1k
resnet_18_224_tv_imagenet_1k,resnet18.tv_in1k,11.7M,0.697620,https://huggingface.co/timm/resnet18.tv_in1k
vgg_13_224_tv_imagenet_1k,vgg13.tv_in1k,133.0M,0.699400,https://huggingface.co/timm/vgg13.tv_in1k
resnet_34_160_classification_imagenet_1k,resnet34.a3_in1k,21.3M,0.705860,https://huggingface.co/timm/resnet34.a3_in1k
efficientvit_medium_2_224_classification_imagenet_1k,efficientvit_m2.r224_in1k,4.23M,0.707820,https://huggingface.co/timm/efficientvit_m2.r224_in1k
resnet_18_224_gluon_imagenet_1k,resnet18.gluon_in1k,11.7M,0.708360,https://huggingface.co/timm/resnet18.gluon_in1k
efficientvit_medium_3_224_classification_imagenet_1k,efficientvit_m3.r224_in1k,6.95M,0.733860,https://huggingface.co/timm/efficientvit_m3.r224_in1k
efficientvit_medium_4_224_classification_imagenet_1k,efficientvit_m4.r224_in1k,8.86M,0.743440,https://huggingface.co/timm/efficientvit_m4.r224_in1k
efficientvit_base_0_224_classification_imagenet_1k,efficientvit_b0.r224_in1k,3.42M,0.714440,https://huggingface.co/timm/efficientvit_b0.r224_in1k
efficientvit_base_1_224_classification_imagenet_1k,efficientvit_b1.r224_in1k,9.12M,0.792380,https://huggingface.co/timm/efficientvit_b1.r224_in1k
efficientvit_base_2_224_classification_imagenet_1k,efficientvit_b2.r224_in1k,24.4M,0.821620,https://huggingface.co/timm/efficientvit_b2.r224_in1k
efficientvit_base_3_224_classification_imagenet_1k,efficientvit_b3.r224_in1k,48.7M,0.834520,https://huggingface.co/timm/efficientvit_b3.r224_in1k
