iter	RMSE
0	3287.136613
1	3257.766272
2	3227.614433
3	3201.854549
4	3176.411816
5	3151.098051
6	3130.739601
7	3107.473531
8	3084.8017
9	3062.488305
10	3041.222672
11	3020.630431
12	3000.099191
13	2982.041161
14	2966.129396
15	2948.64086
16	2932.67394
17	2916.323992
18	2900.513267
19	2885.538658
20	2871.304302
21	2857.993287
22	2845.843259
23	2833.312024
24	2821.2611
25	2810.185681
26	2799.184237
27	2789.115894
28	2779.555355
29	2770.284342
30	2761.495051
31	2753.48279
32	2744.791974
33	2735.916353
34	2728.722383
35	2720.7091
36	2713.511682
37	2707.440426
38	2700.99019
39	2694.856131
40	2688.729598
41	2682.961953
42	2677.561242
43	2671.526272
44	2665.164314
45	2659.128969
46	2653.457645
47	2648.831926
48	2643.967707
49	2639.011093
50	2635.058979
51	2630.088028
52	2625.701924
53	2621.25844
54	2617.327126
55	2613.410444
56	2608.346052
57	2604.696981
58	2600.530117
59	2596.427217
60	2592.246282
61	2589.188246
62	2586.239924
63	2582.926972
64	2580.168731
65	2576.732772
66	2574.356765
67	2571.25267
68	2567.671139
69	2564.509789
70	2561.243481
71	2558.598789
72	2554.787926
73	2551.265776
74	2548.468405
75	2545.429031
76	2542.543154
77	2539.406754
78	2536.563151
79	2533.913399
80	2531.54628
81	2528.793901
82	2526.355168
83	2524.429489
84	2521.985919
85	2519.551491
86	2517.664663
87	2514.933355
88	2512.828093
89	2510.497951
90	2508.514697
91	2506.547375
92	2504.502108
93	2502.606605
94	2500.980376
95	2498.644839
96	2496.339501
97	2493.649504
98	2491.148426
99	2488.765666
100	2487.152292
101	2484.962724
102	2483.281841
103	2480.601609
104	2478.516554
105	2476.746411
106	2474.334169
107	2472.742307
108	2471.090655
109	2469.219288
110	2467.660463
111	2465.142212
112	2462.660368
113	2459.937341
114	2457.668384
115	2456.001746
116	2455.017492
117	2453.104342
118	2451.977427
119	2450.172756
120	2448.678764
121	2447.036219
122	2445.067273
123	2442.446348
124	2440.060964
125	2438.172717
126	2436.564272
127	2432.931522
128	2430.764276
129	2429.156309
130	2427.802191
131	2426.614955
132	2425.370812
133	2424.115168
134	2421.997265
135	2420.331773
136	2418.62294
137	2417.757005
138	2416.58023
139	2415.540957
140	2413.207382
141	2411.928127
142	2410.949584
143	2409.936303
144	2408.427742
145	2405.739805
146	2403.541424
147	2401.717035
148	2400.241154
149	2398.792292
150	2396.817476
151	2395.732116
152	2393.799367
153	2392.275511
154	2390.743248
155	2389.376717
156	2388.561377
157	2386.446203
158	2384.74821
159	2382.66698
160	2381.348399
161	2379.309451
162	2378.11668
163	2376.788562
164	2376.09315
165	2374.210342
166	2372.363983
167	2370.948286
168	2369.23564
169	2368.111647
170	2366.217135
171	2364.715703
172	2363.632116
173	2361.716046
174	2359.889971
175	2358.354154
176	2357.699306
177	2356.44779
178	2355.458988
179	2354.70408
180	2353.617173
181	2351.81593
182	2350.713847
183	2350.007693
184	2348.647613
185	2346.996602
186	2345.946506
187	2344.481706
188	2343.402119
189	2342.295691
190	2340.637764
191	2339.09047
192	2337.706107
193	2336.516561
194	2335.192024
195	2334.122749
196	2333.293918
197	2331.816445
198	2330.253516
199	2328.673571
200	2327.170866
201	2325.317057
202	2324.653882
203	2323.498216
204	2322.048291
205	2319.53502
206	2318.221202
207	2316.819245
208	2315.702318
209	2314.500493
210	2312.407327
211	2311.29059
212	2309.429511
213	2308.744078
214	2307.253854
215	2306.0027
216	2304.400551
217	2303.089458
218	2301.917586
219	2300.528916
220	2299.629477
221	2298.465607
222	2297.190183
223	2296.105959
224	2295.432804
225	2293.844676
226	2292.988738
227	2291.977173
228	2291.107286
229	2289.842101
230	2288.176554
231	2287.437982
232	2286.048138
233	2283.949625
234	2282.115463
235	2281.052831
236	2279.882943
237	2278.695844
238	2277.637494
239	2275.89878
240	2274.6695
241	2273.324895
242	2272.024884
243	2270.700821
244	2269.472404
245	2268.819245
246	2267.026247
247	2265.699315
248	2264.397484
249	2263.384693
250	2262.032386
251	2260.476723
252	2258.972171
253	2257.790692
254	2256.822128
255	2255.460883
256	2254.297614
257	2252.269384
258	2250.743882
259	2249.635027
260	2248.652358
261	2247.156858
262	2245.956496
263	2244.520313
264	2244.076376
265	2242.63388
266	2241.55266
267	2240.462318
268	2238.573891
269	2237.347321
270	2236.081021
271	2234.656325
272	2233.118348
273	2231.562667
274	2230.64703
275	2228.745072
276	2227.300339
277	2225.845437
278	2224.730234
279	2223.421719
280	2221.822452
281	2220.816214
282	2219.826912
283	2218.153331
284	2217.054113
285	2215.343917
286	2214.113125
287	2213.080734
288	2211.612774
289	2210.565547
290	2209.550726
291	2208.62432
292	2207.734993
293	2206.561942
294	2205.055216
295	2203.797853
296	2202.483635
297	2201.164091
298	2200.260566
299	2199.153448
300	2197.947169
301	2196.764066
302	2195.515863
303	2193.989775
304	2192.557023
305	2192.088193
306	2191.263345
307	2190.940404
308	2189.335558
309	2187.882221
310	2186.905166
311	2186.113016
312	2184.492331
313	2183.400231
314	2182.03868
315	2181.004512
316	2179.980993
317	2178.902525
318	2177.085385
319	2175.913784
320	2174.656308
321	2173.290844
322	2171.252416
323	2169.827858
324	2168.014223
325	2167.323549
326	2166.166695
327	2165.421692
328	2164.158274
329	2163.186936
330	2161.734451
331	2160.9288
332	2159.995796
333	2159.011674
334	2157.552217
335	2156.890181
336	2156.102619
337	2155.299147
338	2154.030937
339	2152.955115
340	2151.897572
341	2150.560616
342	2149.355817
343	2147.916489
344	2146.881769
345	2144.909034
346	2143.971252
347	2142.841974
348	2141.241018
349	2140.0168
350	2138.636918
351	2137.556223
352	2136.751262
353	2135.407327
354	2134.159169
355	2133.370236
356	2132.203597
357	2131.186115
358	2130.200785
359	2129.067399
360	2126.790107
361	2126.002312
362	2125.04367
363	2123.955747
364	2122.746842
365	2121.595081
366	2120.927097
367	2120.049153
368	2119.333809
369	2118.851172
370	2117.903783
371	2115.796881
372	2114.523319
373	2113.416187
374	2112.045762
375	2111.180453
376	2110.264702
377	2109.36289
378	2108.487971
379	2106.710722
380	2105.47396
381	2104.055607
382	2102.973742
383	2101.961622
384	2101.027968
385	2099.731536
386	2098.83912
387	2097.770931
388	2096.194581
389	2095.270998
390	2092.920881
391	2091.316432
392	2090.486519
393	2089.395813
394	2087.884709
395	2087.163861
396	2085.958546
397	2084.698592
398	2083.079723
399	2081.780175
400	2080.264589
401	2078.825964
402	2078.15754
403	2076.868061
404	2076.142956
405	2075.246319
406	2074.281802
407	2073.378322
408	2072.456594
409	2071.12275
410	2069.287383
411	2068.089926
412	2067.0418
413	2065.792435
414	2064.807237
415	2063.878935
416	2062.140377
417	2060.587429
418	2059.183386
419	2058.474202
420	2057.012995
421	2056.138372
422	2054.934212
423	2054.152491
424	2053.021818
425	2052.206678
426	2051.522212
427	2050.291147
428	2049.349691
429	2048.193841
430	2047.525445
431	2045.859456
432	2044.781845
433	2043.152463
434	2042.044051
435	2040.844776
436	2039.965143
437	2038.421804
438	2037.285951
439	2035.527055
440	2034.790356
441	2033.037485
442	2031.916548
443	2029.84806
444	2028.69438
445	2027.422047
446	2026.537735
447	2024.97019
448	2023.840172
449	2022.809695
450	2022.275542
451	2020.404777
452	2019.372375
453	2018.478566
454	2017.43796
455	2015.902963
456	2014.869607
457	2014.034263
458	2012.965928
459	2011.521018
460	2010.473082
461	2008.851626
462	2008.099944
463	2007.276164
464	2006.72297
465	2005.855437
466	2004.673074
467	2003.774617
468	2003.038492
469	2001.3238
470	2000.009831
471	1998.901962
472	1996.700437
473	1995.287929
474	1994.136072
475	1993.538278
476	1992.007888
477	1991.499385
478	1990.713792
479	1989.476825
480	1987.999524
481	1987.553611
482	1986.180658
483	1984.400519
484	1983.111699
485	1981.85237
486	1979.668999
487	1978.547412
488	1977.389378
489	1976.762139
490	1975.385479
491	1974.867434
492	1973.724161
493	1972.143965
494	1971.238235
495	1969.959396
496	1968.900495
497	1968.311935
498	1967.160476
499	1965.750282
500	1964.7515
501	1963.72978
502	1962.422449
503	1961.760441
504	1961.113579
505	1959.954772
506	1959.49595
507	1958.398588
508	1957.596265
509	1955.57121
510	1955.029083
511	1954.066764
512	1953.147582
513	1952.67958
514	1952.161526
515	1950.757365
516	1949.281743
517	1948.09523
518	1946.984256
519	1946.244061
520	1944.798355
521	1944.028651
522	1943.431156
523	1942.019828
524	1940.962804
525	1940.171562
526	1939.214988
527	1938.507752
528	1937.711049
529	1936.655042
530	1935.870096
531	1934.732351
532	1934.046292
533	1933.429251
534	1932.764404
535	1932.309342
536	1930.998312
537	1930.035989
538	1929.558891
539	1928.723999
540	1927.467816
541	1926.259401
542	1924.838869
543	1924.324685
544	1923.539652
545	1922.489716
546	1920.628639
547	1919.623131
548	1918.664492
549	1916.886265
550	1916.141929
551	1915.414307
552	1914.439967
553	1913.543134
554	1912.595601
555	1911.497168
556	1910.511046
557	1909.997672
558	1909.316988
559	1908.324059
560	1907.540828
561	1906.42502
562	1905.466633
563	1904.680564
564	1903.412924
565	1902.583883
566	1901.667689
567	1900.739492
568	1899.461836
569	1898.805399
570	1897.764256
571	1897.0175
572	1896.180017
573	1895.23408
574	1894.503708
575	1892.842627
576	1891.423025
577	1890.204318
578	1889.341333
579	1888.205454
580	1887.380063
581	1885.906781
582	1884.821188
583	1883.950313
584	1883.465983
585	1881.827024
586	1880.772415
587	1879.862678
588	1877.683563
589	1877.048358
590	1876.445542
591	1875.958981
592	1875.191654
593	1874.768827
594	1874.018388
595	1873.138567
596	1871.594161
597	1870.739723
598	1870.167806
599	1869.225893
600	1868.460474
601	1867.41002
602	1866.223043
603	1865.400151
604	1864.310778
605	1863.997026
606	1862.259789
607	1861.626202
608	1860.147885
609	1859.012322
610	1858.108148
611	1856.772564
612	1855.869553
613	1854.887921
614	1854.078561
615	1853.70949
616	1853.166762
617	1852.50436
618	1850.922572
619	1850.256255
620	1849.593171
621	1848.757939
622	1847.290625
623	1846.834825
624	1846.065455
625	1845.162967
626	1843.719578
627	1842.491013
628	1841.245303
629	1840.169913
630	1838.995993
631	1838.28211
632	1836.72074
633	1835.591999
634	1834.685497
635	1834.221384
636	1833.510025
637	1832.890266
638	1832.137891
639	1831.334558
640	1830.837579
641	1829.28178
642	1827.942387
643	1826.965324
644	1826.405535
645	1825.988444
646	1824.962703
647	1824.109715
648	1823.609533
649	1822.448301
650	1821.62162
651	1820.637315
652	1819.855105
653	1819.05992
654	1818.257861
655	1817.405114
656	1815.542505
657	1814.975409
658	1814.112944
659	1813.736115
660	1813.009154
661	1812.091772
662	1810.463326
663	1809.349518
664	1808.659519
665	1808.052997
666	1807.16124
667	1806.296349
668	1804.949021
669	1804.227298
670	1803.506053
671	1802.871955
672	1802.038635
673	1801.030642
674	1799.665917
675	1798.08294
676	1796.825804
677	1795.819308
678	1794.790497
679	1793.705923
680	1792.757554
681	1792.042763
682	1791.165505
683	1790.295783
684	1789.213095
685	1788.310495
686	1787.278232
687	1786.3838
688	1785.742836
689	1784.790586
690	1783.580617
691	1783.287683
692	1781.785797
693	1781.328324
694	1780.865929
695	1779.533007
696	1778.588061
697	1777.720617
698	1776.863161
699	1776.343377
700	1775.428312
701	1773.93416
702	1772.265999
703	1771.649296
704	1771.153933
705	1770.328168
706	1769.65132
707	1769.027367
708	1767.883341
709	1767.074326
710	1766.235285
711	1765.802535
712	1765.161687
713	1764.604206
714	1763.65258
715	1762.299484
716	1761.394207
717	1760.742907
718	1760.075394
719	1758.140484
720	1757.447431
721	1756.64216
722	1755.264208
723	1753.400961
724	1752.318062
725	1751.80073
726	1751.094843
727	1750.14569
728	1749.133585
729	1748.426268
730	1747.72406
731	1747.047462
732	1746.374668
733	1745.527434
734	1744.574277
735	1743.38539
736	1742.52774
737	1741.76078
738	1740.82667
739	1740.223862
740	1739.337917
741	1738.516689
742	1736.526094
743	1735.865269
744	1734.929025
745	1734.307388
746	1733.247308
747	1732.664323
748	1732.248268
749	1731.381904
750	1730.652925
751	1729.915776
752	1729.059714
753	1728.264518
754	1727.329561
755	1726.026429
756	1723.962808
757	1723.29149
758	1721.986313
759	1721.254822
760	1720.098311
761	1719.838791
762	1719.514198
763	1717.572593
764	1716.683827
765	1716.100206
766	1715.424612
767	1714.655358
