path,first_correct_step
/home/projects/bagon/shared/imagenet512/val/n04435653/ILSVRC2012_val_00049870.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n03676483/ILSVRC2012_val_00009386.JPEG,45
/home/projects/bagon/shared/imagenet512/val/n02389026/ILSVRC2012_val_00042235.JPEG,83
/home/projects/bagon/shared/imagenet512/val/n01882714/ILSVRC2012_val_00031046.JPEG,127
/home/projects/bagon/shared/imagenet512/val/n03207743/ILSVRC2012_val_00030631.JPEG,55
/home/projects/bagon/shared/imagenet512/val/n02115913/ILSVRC2012_val_00012250.JPEG,139
/home/projects/bagon/shared/imagenet512/val/n03133878/ILSVRC2012_val_00031362.JPEG,109
/home/projects/bagon/shared/imagenet512/val/n02087394/ILSVRC2012_val_00032716.JPEG,41
/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00049507.JPEG,92
/home/projects/bagon/shared/imagenet512/val/n02325366/ILSVRC2012_val_00000685.JPEG,92
/home/projects/bagon/shared/imagenet512/val/n04118538/ILSVRC2012_val_00032103.JPEG,80
/home/projects/bagon/shared/imagenet512/val/n03535780/ILSVRC2012_val_00045018.JPEG,95
/home/projects/bagon/shared/imagenet512/val/n02074367/ILSVRC2012_val_00049726.JPEG,22
/home/projects/bagon/shared/imagenet512/val/n02690373/ILSVRC2012_val_00010597.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n02130308/ILSVRC2012_val_00014974.JPEG,61
/home/projects/bagon/shared/imagenet512/val/n02088466/ILSVRC2012_val_00028716.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n02708093/ILSVRC2012_val_00002853.JPEG,40
/home/projects/bagon/shared/imagenet512/val/n03649909/ILSVRC2012_val_00043398.JPEG,55
/home/projects/bagon/shared/imagenet512/val/n03761084/ILSVRC2012_val_00007943.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n02056570/ILSVRC2012_val_00039171.JPEG,60
/home/projects/bagon/shared/imagenet512/val/n02027492/ILSVRC2012_val_00048888.JPEG,46
/home/projects/bagon/shared/imagenet512/val/n07880968/ILSVRC2012_val_00005451.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n04317175/ILSVRC2012_val_00048094.JPEG,72
/home/projects/bagon/shared/imagenet512/val/n03837869/ILSVRC2012_val_00048742.JPEG,86
/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00047982.JPEG,113
/home/projects/bagon/shared/imagenet512/val/n02930766/ILSVRC2012_val_00005877.JPEG,45
/home/projects/bagon/shared/imagenet512/val/n01943899/ILSVRC2012_val_00035762.JPEG,18
/home/projects/bagon/shared/imagenet512/val/n03492542/ILSVRC2012_val_00010204.JPEG,106
