example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank
0,/home/projects/bagon/shared/imagenet512/val/n02097658/ILSVRC2012_val_00009848.JPEG,3,0.0612335205078125,0.0009002685546875,0.0027778164458978944,0.06386522330075449,0.06361293945165891,21025
1,/home/projects/bagon/shared/imagenet512/val/n03792972/ILSVRC2012_val_00045705.JPEG,3,0.01166534423828125,0.00083160400390625,0.0020430018852525414,0.03401494101011638,0.2822246833620167,21178
2,/home/projects/bagon/shared/imagenet512/val/n03961711/ILSVRC2012_val_00020253.JPEG,3,0.14091110229492188,0.000499725341796875,0.002646553363851162,0.196346377264716,0.2271436040558672,21266
3,/home/projects/bagon/shared/imagenet512/val/n03933933/ILSVRC2012_val_00000702.JPEG,5,0.3526725769042969,0.000598907470703125,0.003979733649532109,0.2960938230139065,0.2464944502102454,21344
4,/home/projects/bagon/shared/imagenet512/val/n03710721/ILSVRC2012_val_00012207.JPEG,6,0.0863037109375,0.00058746337890625,0.0035836527228563014,0.0603877339819684,0.013847689663630924,21444
5,/home/projects/bagon/shared/imagenet512/val/n02206856/ILSVRC2012_val_00042965.JPEG,4,0.18581724166870117,0.00011014938354492188,0.002789488389145885,0.2389817291972343,0.057373642051613605,21586
6,/home/projects/bagon/shared/imagenet512/val/n02113624/ILSVRC2012_val_00036490.JPEG,5,0.4361000061035156,0.000804901123046875,0.0031565003079265185,0.22480600477991408,0.08603241928467253,21609
7,/home/projects/bagon/shared/imagenet512/val/n04125021/ILSVRC2012_val_00024752.JPEG,5,2.3033599853515625,0.0005645751953125,0.0035339410014566214,0.8486120817202537,0.09366792009837854,21770
8,/home/projects/bagon/shared/imagenet512/val/n01924916/ILSVRC2012_val_00028720.JPEG,4,0.6960506439208984,0.0001964569091796875,0.0029951194043784193,0.39247992455652003,0.07252937083879413,21821
9,/home/projects/bagon/shared/imagenet512/val/n04429376/ILSVRC2012_val_00022850.JPEG,4,1.1307830810546875,0.0009307861328125,0.003233559165651107,0.8116035815714836,0.2173739443891376,21910
10,/home/projects/bagon/shared/imagenet512/val/n03627232/ILSVRC2012_val_00020567.JPEG,2,0.021484375,0.00048828125,0.0018434921615245409,0.042122954329506246,0.01743708507773878,22053
11,/home/projects/bagon/shared/imagenet512/val/n02437312/ILSVRC2012_val_00032207.JPEG,3,0.12641143798828125,0.00043487548828125,0.0027400131213991892,0.15225063704003966,0.023499613259467478,22198
12,/home/projects/bagon/shared/imagenet512/val/n01632458/ILSVRC2012_val_00041418.JPEG,3,0.0975341796875,0.000579833984375,0.0024993191709069868,0.13023123332550726,0.10381681451283198,22274
13,/home/projects/bagon/shared/imagenet512/val/n03759954/ILSVRC2012_val_00032691.JPEG,6,4.960080146789551,0.00018024444580078125,0.004426433607143841,0.9558728415414491,0.15963006040930677,22377
14,/home/projects/bagon/shared/imagenet512/val/n03777754/ILSVRC2012_val_00001373.JPEG,4,0.4946479797363281,0.000553131103515625,0.0031315699247845548,0.4517405163431683,0.11157537809483076,22472
15,/home/projects/bagon/shared/imagenet512/val/n02120079/ILSVRC2012_val_00026546.JPEG,4,0.19604110717773438,0.000377655029296875,0.0032108544842386053,0.15630449912227154,0.10121587420988226,22579
16,/home/projects/bagon/shared/imagenet512/val/n02109961/ILSVRC2012_val_00005446.JPEG,16,0.6566505432128906,0.000911712646484375,0.006224585802007358,0.23645468409017553,0.25159811640968044,22652
17,/home/projects/bagon/shared/imagenet512/val/n03594945/ILSVRC2012_val_00019731.JPEG,4,0.37326526641845703,0.00016498565673828125,0.0031406820209192374,0.3676766660936375,0.20780264828794304,22713
18,/home/projects/bagon/shared/imagenet512/val/n02071294/ILSVRC2012_val_00047523.JPEG,6,2.9727954864501953,0.0001697540283203125,0.004599440885416186,0.9503166272420985,0.10221317040112371,22884
19,/home/projects/bagon/shared/imagenet512/val/n02090379/ILSVRC2012_val_00021575.JPEG,3,0.028842926025390625,0.000843048095703125,0.002424129691514693,0.032014176515281975,0.011753516142521847,22946
20,/home/projects/bagon/shared/imagenet512/val/n04023962/ILSVRC2012_val_00005537.JPEG,3,0.18433189392089844,0.0001430511474609375,0.0023472746413593744,0.28004576971859174,0.009971126726437518,23051
21,/home/projects/bagon/shared/imagenet512/val/n01775062/ILSVRC2012_val_00017277.JPEG,4,0.091796875,0.0001983642578125,0.0028168851551274698,0.05615096230065993,0.12746582040392213,23138
22,/home/projects/bagon/shared/imagenet512/val/n03372029/ILSVRC2012_val_00001896.JPEG,5,1.2508430480957031,0.000354766845703125,0.0038471486149121567,0.7671603191327526,0.06963016687601131,23219
23,/home/projects/bagon/shared/imagenet512/val/n02071294/ILSVRC2012_val_00048794.JPEG,15,6.1966094970703125,0.0009307861328125,0.005005453715111194,0.753338743840952,0.16704131951178208,23393
24,/home/projects/bagon/shared/imagenet512/val/n01833805/ILSVRC2012_val_00025928.JPEG,3,0.042266845703125,0.0005035400390625,0.0024464236290097003,0.05873296012514221,0.11430754976503982,23479
25,/home/projects/bagon/shared/imagenet512/val/n02233338/ILSVRC2012_val_00010888.JPEG,5,2.9504146575927734,0.0001354217529296875,0.0034884078757498453,0.9564919112089197,0.23273426662308866,23565
26,/home/projects/bagon/shared/imagenet512/val/n01688243/ILSVRC2012_val_00023341.JPEG,5,0.8179588317871094,0.000354766845703125,0.003680712810214931,0.5372255140616997,0.07840877779609995,23641
27,/home/projects/bagon/shared/imagenet512/val/n06874185/ILSVRC2012_val_00032963.JPEG,3,0.3560066223144531,0.000598907470703125,0.002643292740805456,0.346410173647072,0.2353505438277093,23783
28,/home/projects/bagon/shared/imagenet512/val/n02687172/ILSVRC2012_val_00041500.JPEG,4,0.3637123107910156,0.000339508056640625,0.0026005864251072842,0.6646547939059324,0.17905256713234863,23855
29,/home/projects/bagon/shared/imagenet512/val/n03160309/ILSVRC2012_val_00044900.JPEG,4,3.0382633209228516,0.0001468658447265625,0.003019484768675771,0.9286663937668571,0.21537438945431225,23945
30,/home/projects/bagon/shared/imagenet512/val/n02510455/ILSVRC2012_val_00032206.JPEG,4,1.0960350036621094,0.000881195068359375,0.0034646265760034196,0.4939715524574817,0.03821952891623376,24046
31,/home/projects/bagon/shared/imagenet512/val/n03924679/ILSVRC2012_val_00022650.JPEG,3,0.071258544921875,0.0005035400390625,0.0026510203678488343,0.17535162002272509,0.13188627630460398,24123
32,/home/projects/bagon/shared/imagenet512/val/n02092339/ILSVRC2012_val_00021668.JPEG,4,0.7568645477294922,0.0003414154052734375,0.0026997719912505613,0.2857464617889726,0.13196760635113614,24210
