example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank
0,/home/projects/bagon/shared/imagenet512/val/n03891251/ILSVRC2012_val_00036218.JPEG,-1,nan,nan,nan,nan,nan,14835
1,/home/projects/bagon/shared/imagenet512/val/n03970156/ILSVRC2012_val_00009433.JPEG,-1,nan,nan,nan,nan,nan,14838
2,/home/projects/bagon/shared/imagenet512/val/n07716906/ILSVRC2012_val_00034580.JPEG,-1,nan,nan,nan,nan,nan,14847
3,/home/projects/bagon/shared/imagenet512/val/n01496331/ILSVRC2012_val_00011782.JPEG,-1,nan,nan,nan,nan,nan,16993
4,/home/projects/bagon/shared/imagenet512/val/n02447366/ILSVRC2012_val_00020969.JPEG,-1,nan,nan,nan,nan,nan,17263
5,/home/projects/bagon/shared/imagenet512/val/n03868863/ILSVRC2012_val_00029486.JPEG,-1,nan,nan,nan,nan,nan,18311
6,/home/projects/bagon/shared/imagenet512/val/n04604644/ILSVRC2012_val_00021878.JPEG,-1,nan,nan,nan,nan,nan,18444
7,/home/projects/bagon/shared/imagenet512/val/n04350905/ILSVRC2012_val_00049312.JPEG,-1,nan,nan,nan,nan,nan,18517
8,/home/projects/bagon/shared/imagenet512/val/n03384352/ILSVRC2012_val_00038817.JPEG,-1,nan,nan,nan,nan,nan,19589
9,/home/projects/bagon/shared/imagenet512/val/n04399382/ILSVRC2012_val_00044367.JPEG,-1,nan,nan,nan,nan,nan,19663
10,/home/projects/bagon/shared/imagenet512/val/n02168699/ILSVRC2012_val_00004919.JPEG,-1,nan,nan,nan,nan,nan,19887
11,/home/projects/bagon/shared/imagenet512/val/n01950731/ILSVRC2012_val_00035855.JPEG,-1,nan,nan,nan,nan,nan,20343
12,/home/projects/bagon/shared/imagenet512/val/n04458633/ILSVRC2012_val_00024799.JPEG,-1,nan,nan,nan,nan,nan,20454
13,/home/projects/bagon/shared/imagenet512/val/n02002724/ILSVRC2012_val_00018159.JPEG,-1,nan,nan,nan,nan,nan,21078
14,/home/projects/bagon/shared/imagenet512/val/n02112018/ILSVRC2012_val_00039951.JPEG,-1,nan,nan,nan,nan,nan,21140
15,/home/projects/bagon/shared/imagenet512/val/n04366367/ILSVRC2012_val_00006269.JPEG,-1,nan,nan,nan,nan,nan,21201
16,/home/projects/bagon/shared/imagenet512/val/n02110627/ILSVRC2012_val_00048030.JPEG,-1,nan,nan,nan,nan,nan,21675
17,/home/projects/bagon/shared/imagenet512/val/n02102040/ILSVRC2012_val_00008162.JPEG,-1,nan,nan,nan,nan,nan,21743
18,/home/projects/bagon/shared/imagenet512/val/n02094433/ILSVRC2012_val_00035939.JPEG,-1,nan,nan,nan,nan,nan,21808
19,/home/projects/bagon/shared/imagenet512/val/n04127249/ILSVRC2012_val_00034276.JPEG,2,2.866037607192993,0.0,1.7514637557989374,0.9430759605805132,0.9800825309097839,22047
20,/home/projects/bagon/shared/imagenet512/val/n02859443/ILSVRC2012_val_00025453.JPEG,-1,nan,nan,nan,nan,nan,22231
21,/home/projects/bagon/shared/imagenet512/val/n07717410/ILSVRC2012_val_00044960.JPEG,-1,nan,nan,nan,nan,nan,22287
22,/home/projects/bagon/shared/imagenet512/val/n02259212/ILSVRC2012_val_00045724.JPEG,-1,nan,nan,nan,nan,nan,22726
23,/home/projects/bagon/shared/imagenet512/val/n02093754/ILSVRC2012_val_00011385.JPEG,-1,nan,nan,nan,nan,nan,23144
24,/home/projects/bagon/shared/imagenet512/val/n02105505/ILSVRC2012_val_00019932.JPEG,-1,nan,nan,nan,nan,nan,23155
25,/home/projects/bagon/shared/imagenet512/val/n03133878/ILSVRC2012_val_00023418.JPEG,-1,nan,nan,nan,nan,nan,23156
26,/home/projects/bagon/shared/imagenet512/val/n04462240/ILSVRC2012_val_00007378.JPEG,-1,nan,nan,nan,nan,nan,23236
27,/home/projects/bagon/shared/imagenet512/val/n04372370/ILSVRC2012_val_00025073.JPEG,-1,nan,nan,nan,nan,nan,23263
28,/home/projects/bagon/shared/imagenet512/val/n03026506/ILSVRC2012_val_00012838.JPEG,-1,nan,nan,nan,nan,nan,23311
29,/home/projects/bagon/shared/imagenet512/val/n01829413/ILSVRC2012_val_00005282.JPEG,-1,nan,nan,nan,nan,nan,23677
30,/home/projects/bagon/shared/imagenet512/val/n02966193/ILSVRC2012_val_00012278.JPEG,-1,nan,nan,nan,nan,nan,23914
31,/home/projects/bagon/shared/imagenet512/val/n01943899/ILSVRC2012_val_00019373.JPEG,-1,nan,nan,nan,nan,nan,23932
32,/home/projects/bagon/shared/imagenet512/val/n04332243/ILSVRC2012_val_00022612.JPEG,-1,nan,nan,nan,nan,nan,23948
33,/home/projects/bagon/shared/imagenet512/val/n04258138/ILSVRC2012_val_00007822.JPEG,-1,nan,nan,nan,nan,nan,24021
34,/home/projects/bagon/shared/imagenet512/val/n02099849/ILSVRC2012_val_00040622.JPEG,-1,nan,nan,nan,nan,nan,24032
35,/home/projects/bagon/shared/imagenet512/val/n02667093/ILSVRC2012_val_00048389.JPEG,-1,nan,nan,nan,nan,nan,24130
36,/home/projects/bagon/shared/imagenet512/val/n04317175/ILSVRC2012_val_00031969.JPEG,-1,nan,nan,nan,nan,nan,24273
37,/home/projects/bagon/shared/imagenet512/val/n02219486/ILSVRC2012_val_00045673.JPEG,-1,nan,nan,nan,nan,nan,24282
38,/home/projects/bagon/shared/imagenet512/val/n07715103/ILSVRC2012_val_00020636.JPEG,-1,nan,nan,nan,nan,nan,24311
39,/home/projects/bagon/shared/imagenet512/val/n02814860/ILSVRC2012_val_00002202.JPEG,-1,nan,nan,nan,nan,nan,24374
40,/home/projects/bagon/shared/imagenet512/val/n02841315/ILSVRC2012_val_00016311.JPEG,-1,nan,nan,nan,nan,nan,24380
41,/home/projects/bagon/shared/imagenet512/val/n04311174/ILSVRC2012_val_00048232.JPEG,-1,nan,nan,nan,nan,nan,24392
42,/home/projects/bagon/shared/imagenet512/val/n07718747/ILSVRC2012_val_00035900.JPEG,-1,nan,nan,nan,nan,nan,24574
43,/home/projects/bagon/shared/imagenet512/val/n09472597/ILSVRC2012_val_00046275.JPEG,-1,nan,nan,nan,nan,nan,24643
44,/home/projects/bagon/shared/imagenet512/val/n03792782/ILSVRC2012_val_00011330.JPEG,-1,nan,nan,nan,nan,nan,24674
45,/home/projects/bagon/shared/imagenet512/val/n03777754/ILSVRC2012_val_00025706.JPEG,-1,nan,nan,nan,nan,nan,24702
46,/home/projects/bagon/shared/imagenet512/val/n04263257/ILSVRC2012_val_00016692.JPEG,-1,nan,nan,nan,nan,nan,24812
47,/home/projects/bagon/shared/imagenet512/val/n04409515/ILSVRC2012_val_00009605.JPEG,2,2.500875949859619,0.0,1.1830702785742333,0.9179868690077306,1.0352884163508977,24886
48,/home/projects/bagon/shared/imagenet512/val/n03000247/ILSVRC2012_val_00002280.JPEG,3,65.61958074569702,0.0,197.56203377998776,0.9625450356175542,1.003577455245754,25203
49,/home/projects/bagon/shared/imagenet512/val/n02259212/ILSVRC2012_val_00007916.JPEG,-1,nan,nan,nan,nan,nan,25261
