example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank
0,/home/projects/bagon/shared/imagenet512/val/n03920288/ILSVRC2012_val_00014555.JPEG,117,0.2732666733209044,0.0009993088897317648,0.022958956589872417,0.006549785534570716,0.043686222713970574,15117
1,/home/projects/bagon/shared/imagenet512/val/n02493793/ILSVRC2012_val_00035612.JPEG,283,0.46917974203824997,0.0009982370538637042,0.023436038512862755,0.002255967451750094,0.02939631224892666,15120
2,/home/projects/bagon/shared/imagenet512/val/n03970156/ILSVRC2012_val_00035780.JPEG,1206,11.6810703658266,0.0009990707039833069,0.2567806748796172,0.9340454526463806,0.3475043680297616,17160
3,/home/projects/bagon/shared/imagenet512/val/n02077923/ILSVRC2012_val_00020975.JPEG,323,2.660407133749686,0.0009968079393729568,0.11331173636514436,0.6171894008360405,0.1450095028867245,18453
4,/home/projects/bagon/shared/imagenet512/val/n07753275/ILSVRC2012_val_00020088.JPEG,74,0.3031288856873289,0.0009958551963791251,0.03291564781090106,0.06758667251059194,0.03405072164667437,18774
5,/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00025754.JPEG,653,5.979659959557466,0.0009999042376875877,0.23677767046684187,0.9851430405246772,0.44881055209936915,19057
6,/home/projects/bagon/shared/imagenet512/val/n04162706/ILSVRC2012_val_00004653.JPEG,405,2.742749453173019,0.0009975224966183305,0.1254120826021006,0.6488638022034413,0.21958583338352416,19064
7,/home/projects/bagon/shared/imagenet512/val/n03769881/ILSVRC2012_val_00007633.JPEG,1605,7.135199111187831,0.0009997851448133588,0.1801031721121835,0.7215240310926314,0.1941509255232101,19142
8,/home/projects/bagon/shared/imagenet512/val/n02727426/ILSVRC2012_val_00010085.JPEG,118,0.1965308180078864,0.0009952597320079803,0.01541525091924432,0.002488847241940533,0.0808003286896956,19567
9,/home/projects/bagon/shared/imagenet512/val/n02981792/ILSVRC2012_val_00032901.JPEG,190,0.46007315814495087,0.000995974289253354,0.02978152370298307,0.007001779762170064,0.03461224209026275,19689
10,/home/projects/bagon/shared/imagenet512/val/n01440764/ILSVRC2012_val_00028158.JPEG,59,0.18305399746168405,0.0009946642676368356,0.024878961162365015,0.04113700589539873,0.12009286041642833,21211
11,/home/projects/bagon/shared/imagenet512/val/n01873310/ILSVRC2012_val_00000189.JPEG,164,37.20324976462871,0.0009950215462595224,0.2492522906702432,0.7786254315543484,0.39562500762799646,21348
12,/home/projects/bagon/shared/imagenet512/val/n04273569/ILSVRC2012_val_00034468.JPEG,439,31.2990597600583,0.0009997851448133588,0.3636413693578102,0.9951838518664884,0.5532146964176813,21739
13,/home/projects/bagon/shared/imagenet512/val/n03483316/ILSVRC2012_val_00034530.JPEG,161,5.128748158924282,0.0009968079393729568,0.12425088766335572,0.9423846704893423,0.059539052818439075,21926
14,/home/projects/bagon/shared/imagenet512/val/n03759954/ILSVRC2012_val_00032691.JPEG,193,15.651684388401918,0.00099871342536062,0.17334593536883047,0.9959187794756564,0.048098838587495765,22377
15,/home/projects/bagon/shared/imagenet512/val/n01871265/ILSVRC2012_val_00034969.JPEG,1873,15.753811400267296,0.0009997851448133588,0.30358278023879975,0.6517971554728934,0.13143496104941577,22444
16,/home/projects/bagon/shared/imagenet512/val/n04041544/ILSVRC2012_val_00017613.JPEG,2550,19.6544236370828,0.0009991897968575358,0.332345050050947,0.9774808254190035,0.3351920805647568,22820
17,/home/projects/bagon/shared/imagenet512/val/n02101388/ILSVRC2012_val_00027846.JPEG,630,2.152374409022741,0.0009999042376875877,0.0948855944674796,0.3772419455377909,0.33939830116143055,22876
18,/home/projects/bagon/shared/imagenet512/val/n02113799/ILSVRC2012_val_00026858.JPEG,1168,6.139789016800933,0.0009996660519391298,0.15165944288749358,0.9152006362970828,0.4275766188117442,22976
19,/home/projects/bagon/shared/imagenet512/val/n02834397/ILSVRC2012_val_00042425.JPEG,155,0.9167713887291029,0.0009970461251214147,0.06901422394734964,0.4000830523854163,0.1209429346760993,23176
20,/home/projects/bagon/shared/imagenet512/val/n02091134/ILSVRC2012_val_00041224.JPEG,1283,11.425064752926119,0.0009995469590649009,0.2551229798241984,0.9107907799280488,0.27665801634887066,23631
21,/home/projects/bagon/shared/imagenet512/val/n01693334/ILSVRC2012_val_00014927.JPEG,6149,25.752578343614005,0.0009999042376875877,0.3338657827747521,0.5436063923419909,0.4010297804900722,23822
22,/home/projects/bagon/shared/imagenet512/val/n02410509/ILSVRC2012_val_00021781.JPEG,258,0.9622815467882901,0.0009994279826059937,0.06435776536119545,0.26217655418739794,0.11425894653648289,23968
23,/home/projects/bagon/shared/imagenet512/val/n07875152/ILSVRC2012_val_00046458.JPEG,243,4.21498675190378,0.000996212475001812,0.13563613576266667,0.9576792515591412,0.10839018704292407,24115
24,/home/projects/bagon/shared/imagenet512/val/n02098286/ILSVRC2012_val_00013050.JPEG,1238,3.781741902115755,0.0009996660519391298,0.11049096287236441,0.04319128115340575,0.2090768342986203,24144
25,/home/projects/bagon/shared/imagenet512/val/n02749479/ILSVRC2012_val_00049122.JPEG,2285,9.009961494011804,0.0009997851448133588,0.185331015320236,0.613446538828454,0.37465497644026796,24188
26,/home/projects/bagon/shared/imagenet512/val/n03724870/ILSVRC2012_val_00029084.JPEG,489,2.031440897844732,0.0009990707039833069,0.09128719168516206,0.12111462444963733,0.10779800609956072,24345
27,/home/projects/bagon/shared/imagenet512/val/n03014705/ILSVRC2012_val_00017258.JPEG,731,7.620561862131581,0.0009990707039833069,0.18411473355312244,0.9394048695667261,0.26692847810793885,24453
28,/home/projects/bagon/shared/imagenet512/val/n02206856/ILSVRC2012_val_00042624.JPEG,432,1.711126099457033,0.00099871342536062,0.09319845134599118,0.522368005767624,0.166111869410059,24790
29,/home/projects/bagon/shared/imagenet512/val/n01498041/ILSVRC2012_val_00021793.JPEG,262,0.7364860479719937,0.0009975224966183305,0.04902594471079777,0.13466110329059883,0.510465483333769,25141
30,/home/projects/bagon/shared/imagenet512/val/n03291819/ILSVRC2012_val_00026226.JPEG,2396,20.361381485825405,0.0009996660519391298,0.35535602669288796,0.990510499520493,0.9179962366832908,25172
31,/home/projects/bagon/shared/imagenet512/val/n03250847/ILSVRC2012_val_00002037.JPEG,874,10.290987548418343,0.00099871342536062,0.20318605293558603,0.984177763429583,0.20554767683665337,25173
32,/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00025212.JPEG,539,5.453743249061517,0.0009999042376875877,0.16958075646929438,0.9136022257657475,0.06672859596484235,25250
33,/home/projects/bagon/shared/imagenet512/val/n01744401/ILSVRC2012_val_00015523.JPEG,794,5.423102189437486,0.0009997851448133588,0.16903368801007845,0.827416075437583,0.3716102072559295,25399
34,/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00048918.JPEG,251,4.694995469064452,0.00099871342536062,0.15099273938970856,0.9217153853848399,0.14268838032357328,25439
35,/home/projects/bagon/shared/imagenet512/val/n02256656/ILSVRC2012_val_00044314.JPEG,73,1.1073162098182365,0.00098525604698807,0.07957179351088066,0.5921735288015044,0.08503599303147084,25462
36,/home/projects/bagon/shared/imagenet512/val/n03916031/ILSVRC2012_val_00024293.JPEG,1193,5.623692374560051,0.0009990707039833069,0.1635576591715559,0.5528173021708888,0.29242215061759597,25516
37,/home/projects/bagon/shared/imagenet512/val/n02104029/ILSVRC2012_val_00006336.JPEG,142,1.3381316211307421,0.000996331567876041,0.09351401940169479,0.6302868072389367,0.27884700471560964,25789
38,/home/projects/bagon/shared/imagenet512/val/n01632458/ILSVRC2012_val_00006264.JPEG,463,48.93988851842005,0.000998951611109078,0.3873005492184049,0.981363868971698,0.4291090456075273,25901
39,/home/projects/bagon/shared/imagenet512/val/n07615774/ILSVRC2012_val_00015095.JPEG,266,1.4182257732609287,0.000998832518234849,0.08168054469046966,0.42487625677068497,0.25252739180959366,25935
40,/home/projects/bagon/shared/imagenet512/val/n02906734/ILSVRC2012_val_00045118.JPEG,241,1.372227448853664,0.0009956170106306672,0.0780633727096696,0.15414846679008115,0.09090862424079346,25948
41,/home/projects/bagon/shared/imagenet512/val/n03676483/ILSVRC2012_val_00003474.JPEG,797,3.3894498095614836,0.0009994279826059937,0.12889766968297042,0.2461594463233333,0.29250394293278054,25960
42,/home/projects/bagon/shared/imagenet512/val/n03188531/ILSVRC2012_val_00026240.JPEG,877,7.609192104195245,0.0009995469590649009,0.19503380821064728,0.8893833461156313,0.3557681871335796,26008
43,/home/projects/bagon/shared/imagenet512/val/n03109150/ILSVRC2012_val_00018599.JPEG,358,5.678241775371134,0.0009997851448133588,0.198788082184509,0.862947074435948,0.3243170420048146,26014
44,/home/projects/bagon/shared/imagenet512/val/n04332243/ILSVRC2012_val_00008446.JPEG,1247,6.427704187459312,0.000998594332486391,0.18099321624441603,0.3581949925163112,0.3380638798291185,26130
45,/home/projects/bagon/shared/imagenet512/val/n04509417/ILSVRC2012_val_00005518.JPEG,131,2.508630991098471,0.0009919252479448915,0.10230513487978048,0.8307188664213643,0.15043211519831,26183
46,/home/projects/bagon/shared/imagenet512/val/n03786901/ILSVRC2012_val_00014325.JPEG,92,3.6268301262753084,0.0009969270322471857,0.11680521286256226,0.9349195616123473,0.29329016600186136,26191
47,/home/projects/bagon/shared/imagenet512/val/n02444819/ILSVRC2012_val_00042779.JPEG,858,5.48903221799992,0.000998832518234849,0.18165064107810686,0.9069082964734914,0.2566858731300378,26226
48,/home/projects/bagon/shared/imagenet512/val/n01753488/ILSVRC2012_val_00046538.JPEG,3490,23.31506529264152,0.0009995469590649009,0.35811964625089443,0.7051329232081782,0.10581004460570215,26403
49,/home/projects/bagon/shared/imagenet512/val/n02090721/ILSVRC2012_val_00040053.JPEG,425,2.9607824799604714,0.0009983561467379332,0.12712474226861403,0.8508149739777808,0.14831124865182738,26409
50,/home/projects/bagon/shared/imagenet512/val/n01698640/ILSVRC2012_val_00027872.JPEG,361,2.464616133249365,0.0009990707039833069,0.11507789953386431,0.48076526457599955,0.017456923366150363,26422
51,/home/projects/bagon/shared/imagenet512/val/n03394916/ILSVRC2012_val_00041958.JPEG,373,3.1857403479516506,0.000996093382127583,0.13325317588197652,0.7442585270544821,0.16493270128578807,26427
52,/home/projects/bagon/shared/imagenet512/val/n02486410/ILSVRC2012_val_00008877.JPEG,114,0.24598930042702705,0.0009977606823667884,0.023855287331355352,0.01009120451716568,0.024866011552959005,26543
53,/home/projects/bagon/shared/imagenet512/val/n03733281/ILSVRC2012_val_00024860.JPEG,236,0.5752316312864423,0.0009981179609894753,0.03771143928485676,0.011719560741049,0.04321638431504795,26677
54,/home/projects/bagon/shared/imagenet512/val/n02095570/ILSVRC2012_val_00017581.JPEG,1800,10.480258026742376,0.000998951611109078,0.2257842405781499,0.8139604872308508,0.5400969753044582,26764
55,/home/projects/bagon/shared/imagenet512/val/n02113978/ILSVRC2012_val_00046981.JPEG,138,12.996811821125448,0.0009971652179956436,0.1636087809830588,0.9944353873217094,0.04562987094269505,26782
56,/home/projects/bagon/shared/imagenet512/val/n13037406/ILSVRC2012_val_00022905.JPEG,62,0.8536453811684623,0.0009950215462595224,0.11639296914374014,0.43416782672229304,0.04946872545354125,26802
57,/home/projects/bagon/shared/imagenet512/val/n07753275/ILSVRC2012_val_00003309.JPEG,28,3.859340468654409,0.0009968079393729568,0.2075113831192062,0.8827407633309122,0.23395512644804992,26860
58,/home/projects/bagon/shared/imagenet512/val/n03769881/ILSVRC2012_val_00001207.JPEG,2248,11.306938221328892,0.0009999042376875877,0.24143948275761967,0.4432022323336815,0.274998613567831,26886
59,/home/projects/bagon/shared/imagenet512/val/n02894605/ILSVRC2012_val_00012747.JPEG,1799,13.372601678594947,0.0009994279826059937,0.21034324322490439,0.2995215197054484,0.6869813095121982,26986
60,/home/projects/bagon/shared/imagenet512/val/n01675722/ILSVRC2012_val_00026661.JPEG,105,8.106465280521661,0.0009972843108698726,0.19989471130469078,0.9948276328177738,0.3220516389220739,27324
61,/home/projects/bagon/shared/imagenet512/val/n02113712/ILSVRC2012_val_00012355.JPEG,4089,26.136311724199913,0.0009999042376875877,0.3575245162446651,0.8292543153998921,0.5984114359014772,27328
62,/home/projects/bagon/shared/imagenet512/val/n03000247/ILSVRC2012_val_00018985.JPEG,716,5.828799115261063,0.0009996660519391298,0.17900340628546824,0.7962816504250976,0.26783241649498135,27396
63,/home/projects/bagon/shared/imagenet512/val/n03529860/ILSVRC2012_val_00017900.JPEG,881,3.8869202147470787,0.0009997851448133588,0.14501201269805145,0.5604295906364486,0.2696401789595388,27468
64,/home/projects/bagon/shared/imagenet512/val/n04009552/ILSVRC2012_val_00026668.JPEG,2822,18.922265658853576,0.0009999042376875877,0.30240465536375777,0.8815312173490493,0.5056224215946574,27471
65,/home/projects/bagon/shared/imagenet512/val/n03899768/ILSVRC2012_val_00007381.JPEG,1044,7.794427122105844,0.0009995469590649009,0.2183517131651514,0.9373134233275757,0.27273662944841326,27607
66,/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00019202.JPEG,309,6.388553336611949,0.0009999042376875877,0.15256778101432744,0.9850482600385483,0.11081859217916287,27656
67,/home/projects/bagon/shared/imagenet512/val/n02133161/ILSVRC2012_val_00046668.JPEG,404,6.5729163974756375,0.000998832518234849,0.1520039779876099,0.9798557979240563,0.3120076401738029,27701
68,/home/projects/bagon/shared/imagenet512/val/n02093991/ILSVRC2012_val_00007327.JPEG,206,0.6741126098204404,0.0009995469590649009,0.05529997031931491,0.19275555166601627,0.32207393257261896,27739
69,/home/projects/bagon/shared/imagenet512/val/n06596364/ILSVRC2012_val_00011285.JPEG,1901,11.80562037031632,0.000998832518234849,0.259034423662053,0.8098912498256118,0.4167874951398704,27747
70,/home/projects/bagon/shared/imagenet512/val/n04116512/ILSVRC2012_val_00039841.JPEG,584,4.307096376782283,0.0009990707039833069,0.15590573002667743,0.7227228597406469,0.03679221253384589,27816
71,/home/projects/bagon/shared/imagenet512/val/n03498962/ILSVRC2012_val_00030666.JPEG,1727,8.343632320524193,0.0009991897968575358,0.19483950664352898,0.6627687646822848,0.4308103664856173,27899
72,/home/projects/bagon/shared/imagenet512/val/n02797295/ILSVRC2012_val_00048916.JPEG,544,11.779986986308359,0.0009972843108698726,0.2037747582649076,0.9892650192075416,0.17429048179129158,27961
73,/home/projects/bagon/shared/imagenet512/val/n03255030/ILSVRC2012_val_00028417.JPEG,1369,8.500167773803696,0.0009993088897317648,0.19120587185468924,0.7479265582598549,0.4556917010475179,28090
74,/home/projects/bagon/shared/imagenet512/val/n01943899/ILSVRC2012_val_00019026.JPEG,161,5.7957685817964375,0.0009954979177564383,0.14499187000282304,0.971379085315037,0.10058002937640752,28106
75,/home/projects/bagon/shared/imagenet512/val/n02236044/ILSVRC2012_val_00025089.JPEG,482,6.701316783088259,0.0009979988681152463,0.1736131030508881,0.952511107485568,0.23234558262718358,28153
76,/home/projects/bagon/shared/imagenet512/val/n02097209/ILSVRC2012_val_00000889.JPEG,1661,7.395479878992774,0.0009996660519391298,0.19021516705349817,0.5468200573218485,0.2613982843937053,28167
77,/home/projects/bagon/shared/imagenet512/val/n04579432/ILSVRC2012_val_00018816.JPEG,692,4.313746816944331,0.00099871342536062,0.15081881978395792,0.714762448487527,0.33730193978765066,28252
78,/home/projects/bagon/shared/imagenet512/val/n02088238/ILSVRC2012_val_00034260.JPEG,604,5.075287839281373,0.0009990707039833069,0.15068777853754872,0.9114398401745518,0.17246598513332817,28257
79,/home/projects/bagon/shared/imagenet512/val/n01728572/ILSVRC2012_val_00032556.JPEG,519,3.1117457307409495,0.0009983561467379332,0.12071393463851769,0.8123140008937395,0.1640628549627191,28278
80,/home/projects/bagon/shared/imagenet512/val/n04483307/ILSVRC2012_val_00016022.JPEG,884,9.776221781386994,0.000998832518234849,0.20891870759035086,0.9671998353644972,0.4318090892398214,28325
81,/home/projects/bagon/shared/imagenet512/val/n07615774/ILSVRC2012_val_00030790.JPEG,508,6.874221718404442,0.0009968079393729568,0.19246061037336137,0.8833925626044016,0.11128490124197359,28368
82,/home/projects/bagon/shared/imagenet512/val/n02786058/ILSVRC2012_val_00038503.JPEG,54,2.194398971972987,0.0009993088897317648,0.15129304312397102,0.8305193517072459,0.07663506690392385,28411
83,/home/projects/bagon/shared/imagenet512/val/n03947888/ILSVRC2012_val_00031717.JPEG,262,2.5470993015915155,0.000998832518234849,0.10537146118951836,0.8290311355708608,0.2186525467638674,28575
84,/home/projects/bagon/shared/imagenet512/val/n04461696/ILSVRC2012_val_00021814.JPEG,702,3.8207687149988487,0.0009995469590649009,0.13738285424684452,0.652941398040537,0.27827169624021997,28659
