example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka
0,/home/projects/bagon/shared/imagenet512/val/n04037443/ILSVRC2012_val_00049700.JPEG,1216,40.30751037597656,0.0009765625,0.00776399062021864,0.40524398364137126,0.07033995276752406,21595,0.9937579405230332
1,/home/projects/bagon/shared/imagenet512/val/n03272562/ILSVRC2012_val_00043187.JPEG,2533,33.826820373535156,0.00099945068359375,0.011162910977887637,0.31907624667560724,0.021010612760346215,22150,0.989639639094679
2,/home/projects/bagon/shared/imagenet512/val/n02087394/ILSVRC2012_val_00005054.JPEG,1023,124.20667266845703,0.00099945068359375,0.00720348003148993,0.830978795279146,0.016535255323379267,24239,0.9960635330966819
3,/home/projects/bagon/shared/imagenet512/val/n13037406/ILSVRC2012_val_00043934.JPEG,1966,24.9468994140625,0.0009918212890625,0.008908782608027674,0.3866142685678979,0.009377835023969106,24789,0.9926406499747237
4,/home/projects/bagon/shared/imagenet512/val/n02123045/ILSVRC2012_val_00012975.JPEG,2416,112.43901824951172,0.00099945068359375,0.010734611762869713,0.738691775029743,0.027272994500071646,25624,0.990956329021958
5,/home/projects/bagon/shared/imagenet512/val/n02111500/ILSVRC2012_val_00048125.JPEG,697,14.5306396484375,0.00099945068359375,0.0059365832521536595,0.15401006200506445,0.02995498814215075,25972,0.9958179327010059
6,/home/projects/bagon/shared/imagenet512/val/n03785016/ILSVRC2012_val_00049634.JPEG,1372,212.39568328857422,0.00098419189453125,0.00903478868308457,0.9514668691113921,0.06788412074719277,26546,0.9914701748961667
7,/home/projects/bagon/shared/imagenet512/val/n02607072/ILSVRC2012_val_00015024.JPEG,2674,69.3133316040039,0.0009918212890625,0.012814221205341177,0.40415859169155705,0.012375236564582254,26672,0.981891788273108
8,/home/projects/bagon/shared/imagenet512/val/n03188531/ILSVRC2012_val_00014742.JPEG,934,61.133087158203125,0.00098419189453125,0.006802772079852418,0.6607191341599922,0.13347179260009523,26707,0.9955004117940998
9,/home/projects/bagon/shared/imagenet512/val/n12620546/ILSVRC2012_val_00040304.JPEG,3017,29.309234619140625,0.00098419189453125,0.011523411510092911,0.517844943804431,0.011316385825295872,27221,0.9885348940004395
10,/home/projects/bagon/shared/imagenet512/val/n03843555/ILSVRC2012_val_00032407.JPEG,597,59.64147186279297,0.0009765625,0.00487784107305399,0.5887602565016772,0.04447096161775607,27333,0.9983010692694496
11,/home/projects/bagon/shared/imagenet512/val/n07802026/ILSVRC2012_val_00003019.JPEG,1639,13.358131408691406,0.00099945068359375,0.008506573136658582,0.23645399487765473,0.06760617165751251,27365,0.9928067436496659
