example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka
0,/home/projects/bagon/shared/imagenet512/val/n03325584/ILSVRC2012_val_00007855.JPEG,911,20.958114624023438,0.000946044921875,0.04562507235344534,0.1953495265089931,0.0560325350292008,21020,0.994752378700742
1,/home/projects/bagon/shared/imagenet512/val/n02279972/ILSVRC2012_val_00046412.JPEG,1814,787.6479568481445,0.00098419189453125,0.10832225905049793,0.9612960720330225,0.2497140499339822,21026,0.9829559119521671
2,/home/projects/bagon/shared/imagenet512/val/n01774750/ILSVRC2012_val_00030405.JPEG,989,268.36292266845703,0.00098419189453125,0.061592429377783316,0.9052786331735568,0.14607453725831318,21029,0.9834821674108902
3,/home/projects/bagon/shared/imagenet512/val/n02787622/ILSVRC2012_val_00009566.JPEG,1840,815.918399810791,0.000972747802734375,0.10767950184767466,0.9631723991097555,0.15200930875678276,21038,0.9829158988866291
4,/home/projects/bagon/shared/imagenet512/val/n03814639/ILSVRC2012_val_00002713.JPEG,1594,1103.865146636963,0.000942230224609375,0.10366689368313271,0.9864154957428611,0.1337336171030546,21046,0.9799309440866198
5,/home/projects/bagon/shared/imagenet512/val/n02108551/ILSVRC2012_val_00017006.JPEG,2018,743.3909072875977,0.00093841552734375,0.1009511915499777,0.9710255081977551,0.12046345327561547,21049,0.9788510017973181
6,/home/projects/bagon/shared/imagenet512/val/n03733131/ILSVRC2012_val_00026391.JPEG,1017,18.205387115478516,0.000942230224609375,0.04729887218754971,0.16136514040420896,0.029232769849894757,21077,0.9963961852064361
7,/home/projects/bagon/shared/imagenet512/val/n02486261/ILSVRC2012_val_00038873.JPEG,1991,557.4641914367676,0.000965118408203125,0.10329693791403072,0.9261864067688433,0.25478501967422357,21085,0.9882013769232707
8,/home/projects/bagon/shared/imagenet512/val/n07880968/ILSVRC2012_val_00020718.JPEG,1371,703.1188926696777,0.000949859619140625,0.089008737925637,0.9640547718499177,0.13799124239575566,21098,0.9861205671004044
9,/home/projects/bagon/shared/imagenet512/val/n01689811/ILSVRC2012_val_00038667.JPEG,923,123.8333740234375,0.0009918212890625,0.06124369283042143,0.6811374542907799,0.18797075807131447,21115,0.99348718744563
