example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka
0,/home/projects/bagon/shared/imagenet512/val/n07880968/ILSVRC2012_val_00020718.JPEG,3044,388.16609954833984,0.0009765625,0.10560948605791982,0.9149181417837027,0.22907884525896818,21098,0.9810630871052181
1,/home/projects/bagon/shared/imagenet512/val/n04311174/ILSVRC2012_val_00017411.JPEG,3611,1458.8648376464844,0.00099945068359375,0.16068245857029137,0.9708652466372698,0.024898076870708507,21133,0.9785971371753166
2,/home/projects/bagon/shared/imagenet512/val/n02077923/ILSVRC2012_val_00033000.JPEG,2589,387.50872802734375,0.00099945068359375,0.08140015677635207,0.9642550951047677,0.42517931031932943,21153,0.9721059900837722
3,/home/projects/bagon/shared/imagenet512/val/n03792972/ILSVRC2012_val_00006259.JPEG,990,506.1091728210449,0.000957489013671875,0.052886497466031836,0.986609926608897,0.13469375849875637,21162,0.9891551137381981
4,/home/projects/bagon/shared/imagenet512/val/n01440764/ILSVRC2012_val_00028158.JPEG,628,3.2336654663085938,0.00099945068359375,0.023395558529731703,0.0409861106117937,0.11171501666331128,21211,0.99545284217979
5,/home/projects/bagon/shared/imagenet512/val/n02641379/ILSVRC2012_val_00023480.JPEG,5383,1126.6914291381836,0.0009918212890625,0.16772882468050299,0.9398592413354797,0.05622844139090735,21237,0.9393423704519043
6,/home/projects/bagon/shared/imagenet512/val/n01983481/ILSVRC2012_val_00006179.JPEG,2045,249.18218994140625,0.00099945068359375,0.08203811935280093,0.7698534702472218,0.2238802113328765,21249,0.9969821170323089
7,/home/projects/bagon/shared/imagenet512/val/n03961711/ILSVRC2012_val_00020253.JPEG,2662,33.391571044921875,0.00099945068359375,0.07131775674041291,0.20711976110401184,0.15071194490693687,21266,0.9727846773755796
8,/home/projects/bagon/shared/imagenet512/val/n03908714/ILSVRC2012_val_00005829.JPEG,-1,144.9987030029297,0.00109100341796875,0.11603178181231073,0.6486048303388399,0.2663376878947676,21267,0.9889956932445473
9,/home/projects/bagon/shared/imagenet512/val/n09246464/ILSVRC2012_val_00004336.JPEG,-1,508.47872161865234,0.00183868408203125,0.22222421271997153,0.7729890906975807,0.2259029332886552,21327,0.9827742953914202
10,/home/projects/bagon/shared/imagenet512/val/n01873310/ILSVRC2012_val_00000189.JPEG,3663,163.25384521484375,0.0009765625,0.09424484594071876,0.7783181087909945,0.6186391690698028,21348,0.9870428421462746
11,/home/projects/bagon/shared/imagenet512/val/n02259212/ILSVRC2012_val_00039092.JPEG,1553,53.31781005859375,0.00099945068359375,0.05851955982138346,0.44513738603899294,0.0412992681875254,21352,0.9942020868586288
12,/home/projects/bagon/shared/imagenet512/val/n02104029/ILSVRC2012_val_00041264.JPEG,3512,191.2186050415039,0.00099945068359375,0.09150717344947673,0.7923598469140262,0.2553461229221753,21413,0.9825546876505603
13,/home/projects/bagon/shared/imagenet512/val/n07715103/ILSVRC2012_val_00035394.JPEG,3927,47.297691345214844,0.00099945068359375,0.08525678273718422,0.28853176948393144,0.17645016309486797,21428,0.9849999327998351
14,/home/projects/bagon/shared/imagenet512/val/n03457902/ILSVRC2012_val_00029112.JPEG,606,1.1750717163085938,0.0009765625,0.01232467759240813,0.0028108703334609837,0.025116017586609404,21446,0.9998152994385325
15,/home/projects/bagon/shared/imagenet512/val/n02977058/ILSVRC2012_val_00019355.JPEG,2623,209.42163848876953,0.00099945068359375,0.09401758908961781,0.767299737764358,0.07780707942703022,21553,0.9919957888665942
16,/home/projects/bagon/shared/imagenet512/val/n03770679/ILSVRC2012_val_00024170.JPEG,-1,160.0527572631836,0.0013580322265625,0.15617778485034434,0.45052295338579174,0.2378739068018254,21558,0.9647827899403703
17,/home/projects/bagon/shared/imagenet512/val/n07695742/ILSVRC2012_val_00006197.JPEG,4175,2571.3894958496094,0.0009918212890625,0.17619747314273956,0.9948056138091796,0.13666396242023132,21698,0.9779890698007732
18,/home/projects/bagon/shared/imagenet512/val/n01687978/ILSVRC2012_val_00016308.JPEG,5543,116.97602844238281,0.0009918212890625,0.11387355920530137,0.41564946926596835,0.3480260682265559,21718,0.9823476162333294
19,/home/projects/bagon/shared/imagenet512/val/n04273569/ILSVRC2012_val_00034468.JPEG,1600,656.664924621582,0.00099945068359375,0.050718139607265074,0.9950658552137264,0.35577660874214795,21739,0.9917829184717043
20,/home/projects/bagon/shared/imagenet512/val/n03794056/ILSVRC2012_val_00022828.JPEG,1923,1077.6829223632812,0.00096893310546875,0.10626537663043192,0.9741547877445953,0.14994810153011962,21771,0.9697239334026228
21,/home/projects/bagon/shared/imagenet512/val/n02102177/ILSVRC2012_val_00013127.JPEG,9991,32.21452331542969,0.00099945068359375,0.09800031902256279,0.07244246770946297,0.13284718072117715,21787,0.9921735667696415
22,/home/projects/bagon/shared/imagenet512/val/n03899768/ILSVRC2012_val_00010780.JPEG,-1,423.18115997314453,0.0012054443359375,0.17239951015419497,0.8290247167923062,0.41140479616911557,21812,0.9788986225603901
23,/home/projects/bagon/shared/imagenet512/val/n02526121/ILSVRC2012_val_00015752.JPEG,5514,2025.472053527832,0.00099945068359375,0.20248872826121092,0.9785916833907758,0.27709209896860293,21816,0.9761513773115145
24,/home/projects/bagon/shared/imagenet512/val/n02090721/ILSVRC2012_val_00037137.JPEG,-1,228.39187622070312,0.00107574462890625,0.16217861428019664,0.5601855222536809,0.1145238909442309,21818,0.9848158154362336
