example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka
0,/home/projects/bagon/shared/imagenet512/val/n03325584/ILSVRC2012_val_00007855.JPEG,184,4.291954040527344,0.00093841552734375,0.04578679472794805,0.19528783304503528,0.05256346576114124,21020,0.9946995703002139
1,/home/projects/bagon/shared/imagenet512/val/n02279972/ILSVRC2012_val_00046412.JPEG,364,158.73184204101562,0.0009765625,0.10845817266659961,0.9612798251265722,0.24388580832392717,21026,0.9829656371312502
2,/home/projects/bagon/shared/imagenet512/val/n01774750/ILSVRC2012_val_00030405.JPEG,199,54.58698272705078,0.00098419189453125,0.06177784249546104,0.9048734244104172,0.13416625675822394,21029,0.9832974601909288
3,/home/projects/bagon/shared/imagenet512/val/n02787622/ILSVRC2012_val_00009566.JPEG,371,164.6051483154297,0.0009765625,0.1079086169040439,0.9631653857356793,0.12990700004445943,21038,0.9828363420461181
4,/home/projects/bagon/shared/imagenet512/val/n03814639/ILSVRC2012_val_00002713.JPEG,319,222.71845626831055,0.000942230224609375,0.1037739962580149,0.9864391933250151,0.14969635823188943,21046,0.9798202892110355
5,/home/projects/bagon/shared/imagenet512/val/n02108551/ILSVRC2012_val_00017006.JPEG,403,150.2853126525879,0.000972747802734375,0.10101863509654051,0.9708951327221765,0.1147362562148907,21049,0.9788671042420706
6,/home/projects/bagon/shared/imagenet512/val/n03733131/ILSVRC2012_val_00026391.JPEG,204,3.7211074829101562,0.00093841552734375,0.0473831875317369,0.16161826638319432,0.026174919455353163,21077,0.9963812382797945
7,/home/projects/bagon/shared/imagenet512/val/n02486261/ILSVRC2012_val_00038873.JPEG,405,112.81148147583008,0.000942230224609375,0.10370029002425164,0.9262570703137162,0.2839725822497765,21085,0.9880979364566749
8,/home/projects/bagon/shared/imagenet512/val/n07880968/ILSVRC2012_val_00020718.JPEG,275,141.7855682373047,0.0009613037109375,0.08921290484597064,0.9640217391001368,0.14241567879562667,21098,0.9861375541363038
9,/home/projects/bagon/shared/imagenet512/val/n01689811/ILSVRC2012_val_00038667.JPEG,185,25.157676696777344,0.00099945068359375,0.06133053500310504,0.681894680642353,0.1908626957876725,21115,0.9934467068631702
10,/home/projects/bagon/shared/imagenet512/val/n03240683/ILSVRC2012_val_00025774.JPEG,222,13.342201232910156,0.00099945068359375,0.061319017054255014,0.44558353516734533,0.060438254933568525,21118,0.9945658903792138
11,/home/projects/bagon/shared/imagenet512/val/n04423845/ILSVRC2012_val_00047072.JPEG,430,102.79153823852539,0.000904083251953125,0.10555646044126835,0.898468722480498,0.2249766899661318,21132,0.9938219572577002
12,/home/projects/bagon/shared/imagenet512/val/n03977966/ILSVRC2012_val_00034103.JPEG,487,19.785499572753906,0.000946044921875,0.09398158622841962,0.4195520134523295,0.09260929482336566,21136,0.9901962062337444
13,/home/projects/bagon/shared/imagenet512/val/n02403003/ILSVRC2012_val_00034143.JPEG,243,94.40187072753906,0.00099945068359375,0.0750032735670697,0.9568185363430379,0.11703390160969207,21155,0.9877421605374633
14,/home/projects/bagon/shared/imagenet512/val/n02687172/ILSVRC2012_val_00048573.JPEG,268,55.94479751586914,0.000957489013671875,0.07870141474714146,0.843612286885155,0.06526537184931158,21166,0.9948186278079983
15,/home/projects/bagon/shared/imagenet512/val/n04335435/ILSVRC2012_val_00024430.JPEG,343,32.14051818847656,0.000946044921875,0.08262631049362307,0.6558169481738855,0.037470120218440706,21181,0.9892286529854157
16,/home/projects/bagon/shared/imagenet512/val/n04074963/ILSVRC2012_val_00037963.JPEG,349,197.58448791503906,0.0009918212890625,0.1030059041984429,0.9860561738901298,0.09061087604374465,21185,0.9900378009798171
17,/home/projects/bagon/shared/imagenet512/val/n02815834/ILSVRC2012_val_00018885.JPEG,500,76.75399780273438,0.00099945068359375,0.10888446049743872,0.8551225214291975,0.2754652748234492,21210,0.9869318630874554
18,/home/projects/bagon/shared/imagenet512/val/n04409515/ILSVRC2012_val_00036818.JPEG,223,17.252159118652344,0.0009002685546875,0.06094332178278297,0.5488735218149959,0.17645169571793307,21222,0.9967139131998729
19,/home/projects/bagon/shared/imagenet512/val/n03697007/ILSVRC2012_val_00012312.JPEG,245,17.075416564941406,0.0009918212890625,0.0635041154590249,0.5315908729426798,0.059982179512195255,21258,0.9937201148092367
20,/home/projects/bagon/shared/imagenet512/val/n01580077/ILSVRC2012_val_00046280.JPEG,361,73.2172966003418,0.000957489013671875,0.09431805466357993,0.8622157100868798,0.11485426441923446,21329,0.9894740191714178
21,/home/projects/bagon/shared/imagenet512/val/n03944341/ILSVRC2012_val_00032550.JPEG,157,57.74329376220703,0.00095367431640625,0.05591101196456772,0.9213150997454532,0.12384245342845601,21331,0.970945198443381
