example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
1867,/home/projects/bagon/shared/imagenet512/val/n02112018/ILSVRC2012_val_00021540.JPEG,1793,234.09871673583984,0.00098419189453125,0.08783023598936733,0.7694014956278888,0.0,30172,0.994640,0.48284703493118286,0.2295585721731186,60
1868,/home/projects/bagon/shared/imagenet512/val/n04118776/ILSVRC2012_val_00011948.JPEG,1219,156.1189422607422,0.00099945068359375,0.06832495270609536,0.7402569539073083,0.0,30173,0.996871,0.258597731590271,0.258597731590271,0
1869,/home/projects/bagon/shared/imagenet512/val/n01847000/ILSVRC2012_val_00029022.JPEG,1691,1925.8424453735352,0.00098419189453125,0.11188150561931771,0.9968317431947311,0.0,30174,0.981528,0.10781385749578476,0.0021317738573998213,320
1870,/home/projects/bagon/shared/imagenet512/val/n03871628/ILSVRC2012_val_00018251.JPEG,2169,129.3805809020996,0.000972747802734375,0.08772143646683445,0.5936619566774999,0.0,30177,0.994179,0.405274361371994,0.405274361371994,0
1871,/home/projects/bagon/shared/imagenet512/val/n04509417/ILSVRC2012_val_00045158.JPEG,1808,20.878692626953125,0.0009918212890625,0.06119120918631381,0.1363309991104595,0.0,30178,0.997133,0.8626238703727722,0.8626238703727722,0
1872,/home/projects/bagon/shared/imagenet512/val/n04067472/ILSVRC2012_val_00040260.JPEG,1196,217.6861228942871,0.000965118408203125,0.07272025727245883,0.7943826088849467,0.0,30183,0.995355,0.30377793312072754,0.20456670224666595,32
1873,/home/projects/bagon/shared/imagenet512/val/n02277742/ILSVRC2012_val_00049126.JPEG,2166,1518.7340087890625,0.00099945068359375,0.12046220743893299,0.9916023547764834,0.0,30184,0.981040,0.07724794745445251,0.007410839665681124,277
1874,/home/projects/bagon/shared/imagenet512/val/n02097130/ILSVRC2012_val_00043796.JPEG,2122,163.33908462524414,0.000942230224609375,0.09042133016980047,0.6199480798343774,0.0,30185,0.984364,0.3790554702281952,0.3790554702281952,0
1875,/home/projects/bagon/shared/imagenet512/val/n02808304/ILSVRC2012_val_00030328.JPEG,1204,225.51470947265625,0.00099945068359375,0.073538360887321,0.7967542191064882,0.0,30189,0.991292,0.20216034352779388,0.20216034352779388,0
1876,/home/projects/bagon/shared/imagenet512/val/n03908618/ILSVRC2012_val_00006607.JPEG,2120,411.76390075683594,0.00096893310546875,0.1109711195673245,0.8481460764044616,0.0,30190,0.984530,0.15082262456417084,0.15082262456417084,0
1877,/home/projects/bagon/shared/imagenet512/val/n03063689/ILSVRC2012_val_00047299.JPEG,2138,73.86808776855469,0.0009613037109375,0.08052006664335193,0.4207278986195231,0.0,30193,0.995439,0.5782046318054199,0.5782046318054199,0
1878,/home/projects/bagon/shared/imagenet512/val/n02607072/ILSVRC2012_val_00011419.JPEG,1991,646.9267768859863,0.000949859619140625,0.10310050268947347,0.9534100231529784,0.0,30194,0.987415,0.154654860496521,0.04560110718011856,111
1879,/home/projects/bagon/shared/imagenet512/val/n04447861/ILSVRC2012_val_00006058.JPEG,1331,247.2098846435547,0.00099945068359375,0.07849966720401726,0.8223987860073207,0.0,30198,0.993103,0.2568046450614929,0.1764785498380661,30
1880,/home/projects/bagon/shared/imagenet512/val/n02169497/ILSVRC2012_val_00004716.JPEG,1848,113.70930480957031,0.00099945068359375,0.08118227232420007,0.5519766869502213,0.0,30206,0.994134,0.5336576700210571,0.44694140553474426,19
1881,/home/projects/bagon/shared/imagenet512/val/n03272010/ILSVRC2012_val_00046980.JPEG,1939,768.4321365356445,0.0009918212890625,0.11195296550932311,0.9575984169795269,0.0,30207,0.969899,0.18101541697978973,0.04132659733295441,179
1882,/home/projects/bagon/shared/imagenet512/val/n04467665/ILSVRC2012_val_00001797.JPEG,1981,52.629417419433594,0.00091552734375,0.07677016472206967,0.3015769280616869,0.0,30227,0.988911,0.697412371635437,0.697412371635437,0
1883,/home/projects/bagon/shared/imagenet512/val/n07715103/ILSVRC2012_val_00034930.JPEG,1331,543.8128356933594,0.00096893310546875,0.08493232815445798,0.9536961779238629,0.0,30228,0.990930,0.3105704188346863,0.04526570811867714,174
1884,/home/projects/bagon/shared/imagenet512/val/n03259280/ILSVRC2012_val_00025349.JPEG,1959,690.3327827453613,0.000972747802734375,0.10451796608983192,0.9589931496347407,0.0,30229,0.985109,0.4697495102882385,0.039965882897377014,225
1885,/home/projects/bagon/shared/imagenet512/val/n01532829/ILSVRC2012_val_00029709.JPEG,1281,587.7806930541992,0.0009765625,0.0811186773038948,0.9703051343519911,0.0,30233,0.992611,0.20949481427669525,0.028640061616897583,139
1886,/home/projects/bagon/shared/imagenet512/val/n04423845/ILSVRC2012_val_00041828.JPEG,1975,404.823917388916,0.000919342041015625,0.10052378543799166,0.8767573850421149,0.0,30234,0.993632,0.20137566328048706,0.12224207818508148,43
1887,/home/projects/bagon/shared/imagenet512/val/n02951358/ILSVRC2012_val_00002732.JPEG,2367,227.21105194091797,0.0009765625,0.09299467210843775,0.7838148087754141,0.0,30236,0.994367,0.25507286190986633,0.21512436866760254,13
1888,/home/projects/bagon/shared/imagenet512/val/n01601694/ILSVRC2012_val_00028099.JPEG,1685,518.7593574523926,0.000934600830078125,0.09359534836272011,0.9428462918977235,0.0,30237,0.981300,0.13230754435062408,0.05616488680243492,93
1889,/home/projects/bagon/shared/imagenet512/val/n02107312/ILSVRC2012_val_00045145.JPEG,2691,1810.7814559936523,0.00099945068359375,0.12340626257022821,0.9972663809826932,0.0,30239,0.972413,0.08417625725269318,0.001729399897158146,271
1890,/home/projects/bagon/shared/imagenet512/val/n03000684/ILSVRC2012_val_00006578.JPEG,1540,1024.2032623291016,0.00098419189453125,0.104642694250873,0.9775440357443939,0.0,30240,0.989641,0.05026492848992348,0.021361982449889183,107
1891,/home/projects/bagon/shared/imagenet512/val/n02101556/ILSVRC2012_val_00012928.JPEG,1698,131.8321990966797,0.00098419189453125,0.08273161023938627,0.5662174554660766,0.0,30241,0.990739,0.4327404499053955,0.4327404499053955,0
