example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
11361,/home/projects/bagon/shared/imagenet512/val/n07920052/ILSVRC2012_val_00020352.JPEG,440,13.870849609375,0.0009918212890625,0.029993956786297026,0.20314500010134148,0.0,46802,0.996496,0.7957650423049927,0.7957650423049927,0
11362,/home/projects/bagon/shared/imagenet512/val/n10565667/ILSVRC2012_val_00027740.JPEG,620,152.83078002929688,0.00099945068359375,0.04552492448781338,0.8425361078065289,0.0,46803,0.994049,0.4377099573612213,0.156366765499115,41
11363,/home/projects/bagon/shared/imagenet512/val/n01990800/ILSVRC2012_val_00041213.JPEG,871,1756.880672454834,0.000934600830078125,0.07087739957301996,0.9986659978503898,0.0,46804,0.985481,0.1268361210823059,0.00031791749643161893,320
11364,/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00002359.JPEG,1370,2213.725555419922,0.00098419189453125,0.09626114676354133,0.9985714216521031,0.0,46805,0.984049,0.3776637315750122,0.00048643050831742585,361
11365,/home/projects/bagon/shared/imagenet512/val/n02786058/ILSVRC2012_val_00037985.JPEG,2006,6784.785797119141,0.00096893310546875,0.1360197379967049,0.9995017562321603,0.0,46806,0.956198,0.3028631806373596,9.957897191270604e-07,914
11366,/home/projects/bagon/shared/imagenet512/val/n03933933/ILSVRC2012_val_00041992.JPEG,1122,534.5451965332031,0.0009918212890625,0.07044863611726909,0.9736725189900639,0.0,46807,0.989373,0.9713580012321472,0.025256454944610596,231
11367,/home/projects/bagon/shared/imagenet512/val/n09256479/ILSVRC2012_val_00025622.JPEG,1078,574.0939788818359,0.00098419189453125,0.06541546780700133,0.9861354859872811,0.0,46808,0.987712,0.12514019012451172,0.012798018753528595,118
11368,/home/projects/bagon/shared/imagenet512/val/n03297495/ILSVRC2012_val_00023386.JPEG,681,768.8351211547852,0.0009613037109375,0.052732373189632635,0.9961796175848866,0.0,46809,0.991315,0.22902147471904755,0.0027745766565203667,158
11369,/home/projects/bagon/shared/imagenet512/val/n01687978/ILSVRC2012_val_00003821.JPEG,653,357.6353530883789,0.00099945068359375,0.0498225177390351,0.9661796984414001,0.0,46810,0.992761,0.47203102707862854,0.03274920582771301,137
11370,/home/projects/bagon/shared/imagenet512/val/n02124075/ILSVRC2012_val_00023786.JPEG,729,241.59758377075195,0.000965118408203125,0.05205328395360299,0.8955551760218092,0.0,46811,0.993148,0.7671545147895813,0.10340922325849533,122
11371,/home/projects/bagon/shared/imagenet512/val/n04612504/ILSVRC2012_val_00031426.JPEG,1020,866.910228729248,0.000926971435546875,0.07454494293346939,0.9909120355811486,0.0,46812,0.987044,0.5930265784263611,0.0080608781427145,236
