example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
0,/home/projects/bagon/shared/imagenet512/val/n04127249/ILSVRC2012_val_00002068.JPEG,421,11.908554077148438,0.0009946823120117188,0.020720803214936037,0.29156912261841994,0.0,21995,0.965395,0.7074370980262756,0.7074370980262756,0
1,/home/projects/bagon/shared/imagenet512/val/n02099429/ILSVRC2012_val_00038920.JPEG,392,19.496243476867676,0.0009946823120117188,0.017774921244091132,0.4087789790884199,0.0,23032,0.945315,0.5902254581451416,0.5902254581451416,0
2,/home/projects/bagon/shared/imagenet512/val/n02091831/ILSVRC2012_val_00047324.JPEG,301,12.422375679016113,0.0009965896606445312,0.01748351222427014,0.2938278787867814,0.0,24206,0.938330,0.705181360244751,0.705181360244751,0
3,/home/projects/bagon/shared/imagenet512/val/n04522168/ILSVRC2012_val_00003657.JPEG,238,33.93124961853027,0.0009965896606445312,0.015396213982473095,0.665720142406269,0.0,25883,0.963190,0.5332103371620178,0.3332855701446533,14
4,/home/projects/bagon/shared/imagenet512/val/n03769881/ILSVRC2012_val_00035193.JPEG,415,17.503352165222168,0.0009946823120117188,0.022272775124387845,0.4319274110196321,0.0,25886,0.981936,0.5670832395553589,0.5670832395553589,0
5,/home/projects/bagon/shared/imagenet512/val/n02107683/ILSVRC2012_val_00004180.JPEG,638,57.51546001434326,0.0009965896606445312,0.031248222019067597,0.7172885948499601,0.0,26506,0.947566,0.306523859500885,0.2817125916481018,9
6,/home/projects/bagon/shared/imagenet512/val/n02104365/ILSVRC2012_val_00010865.JPEG,206,28.006089210510254,0.00099945068359375,0.010186151168733929,0.727339930117132,0.0,27092,0.970082,0.27599218487739563,0.27166926860809326,9
7,/home/projects/bagon/shared/imagenet512/val/n02106030/ILSVRC2012_val_00049725.JPEG,869,50.40658760070801,0.0009946823120117188,0.03515697736613771,0.6530822135775828,0.0,27224,0.936900,0.5152092576026917,0.34592318534851074,16
8,/home/projects/bagon/shared/imagenet512/val/n01985128/ILSVRC2012_val_00049661.JPEG,857,29.476773262023926,0.00099945068359375,0.019932298722599124,0.45814448353319237,0.0,27234,0.975473,0.5408421158790588,0.5408421158790588,0
9,/home/projects/bagon/shared/imagenet512/val/n03976657/ILSVRC2012_val_00028457.JPEG,332,27.621070861816406,0.0009946823120117188,0.020597163546517853,0.5624846511942991,0.0,27274,0.974272,0.43652406334877014,0.43652406334877014,0
10,/home/projects/bagon/shared/imagenet512/val/n02071294/ILSVRC2012_val_00024749.JPEG,699,15.434418678283691,0.0009937286376953125,0.03368823811788267,0.23831425555212066,0.0,27437,0.968014,0.7606927752494812,0.7606927752494812,0
11,/home/projects/bagon/shared/imagenet512/val/n02098105/ILSVRC2012_val_00012004.JPEG,361,53.37881946563721,0.0009937286376953125,0.023645546578884357,0.7253038397318838,0.0,27601,0.931590,0.40586596727371216,0.2737066149711609,13
12,/home/projects/bagon/shared/imagenet512/val/n02093991/ILSVRC2012_val_00007327.JPEG,234,28.031908988952637,0.0009946823120117188,0.012826884768889057,0.7641203117459129,0.0,27739,0.972982,0.25711262226104736,0.23489001393318176,10
13,/home/projects/bagon/shared/imagenet512/val/n12144580/ILSVRC2012_val_00048526.JPEG,438,32.55009460449219,0.0009975433349609375,0.023113525048277635,0.5662039461028593,0.0,28362,0.942506,0.4328005313873291,0.4328005313873291,0
14,/home/projects/bagon/shared/imagenet512/val/n02091831/ILSVRC2012_val_00027267.JPEG,374,51.4188814163208,0.0009965896606445312,0.020743436611611255,0.776827342970063,0.0,28694,0.945798,0.567862331867218,0.22218197584152222,21
15,/home/projects/bagon/shared/imagenet512/val/n02823428/ILSVRC2012_val_00016065.JPEG,401,28.277701377868652,0.0009918212890625,0.020968641758391953,0.6201615918767858,0.0,28818,0.954134,0.3788526654243469,0.3788526654243469,0
16,/home/projects/bagon/shared/imagenet512/val/n02102177/ILSVRC2012_val_00028131.JPEG,391,53.28025245666504,0.0009918212890625,0.022992245056082085,0.7018517901532271,0.0,28973,0.928196,0.42550361156463623,0.297157347202301,14
17,/home/projects/bagon/shared/imagenet512/val/n02086079/ILSVRC2012_val_00036703.JPEG,753,84.73288059234619,0.0009975433349609375,0.03482056334093719,0.8527262494058823,0.0,29102,0.947930,0.6320704817771912,0.14627759158611298,32
18,/home/projects/bagon/shared/imagenet512/val/n03218198/ILSVRC2012_val_00012308.JPEG,781,49.000535011291504,0.0009927749633789062,0.03867576801631379,0.5438992493185301,0.0,29200,0.929102,0.45510730147361755,0.45510730147361755,0
19,/home/projects/bagon/shared/imagenet512/val/n04201297/ILSVRC2012_val_00046663.JPEG,344,54.29529094696045,0.0009984970092773438,0.020109345483687247,0.798504067013351,0.0,29312,0.944873,0.6957486271858215,0.2005031853914261,23
20,/home/projects/bagon/shared/imagenet512/val/n03494278/ILSVRC2012_val_00048826.JPEG,206,12.88630485534668,0.0009946823120117188,0.012700338909415814,0.4433257180266503,0.0,29448,0.972619,0.555689811706543,0.555689811706543,0
