rank,image_path
1368,1368_ILSVRC2012_val_00014544.JPEG
4544,4544_ILSVRC2012_val_00017345.JPEG
8242,8242_ILSVRC2012_val_00047958.JPEG
10764,10764_ILSVRC2012_val_00008796.JPEG
14017,14017_ILSVRC2012_val_00041670.JPEG
18278,18278_ILSVRC2012_val_00020639.JPEG
20288,20288_ILSVRC2012_val_00037708.JPEG
20352,20352_ILSVRC2012_val_00021930.JPEG
23148,23148_ILSVRC2012_val_00013892.JPEG
25640,25640_ILSVRC2012_val_00018243.JPEG
25971,25971_ILSVRC2012_val_00047133.JPEG
26274,26274_ILSVRC2012_val_00040529.JPEG
26396,26396_ILSVRC2012_val_00032112.JPEG
27662,27662_ILSVRC2012_val_00032118.JPEG
29669,29669_ILSVRC2012_val_00008027.JPEG
29703,29703_ILSVRC2012_val_00012097.JPEG
30803,30803_ILSVRC2012_val_00015389.JPEG
31003,31003_ILSVRC2012_val_00025963.JPEG
31559,31559_ILSVRC2012_val_00028641.JPEG
31606,31606_ILSVRC2012_val_00016472.JPEG
31655,31655_ILSVRC2012_val_00022476.JPEG
31695,31695_ILSVRC2012_val_00041290.JPEG
32315,32315_ILSVRC2012_val_00017248.JPEG
32442,32442_ILSVRC2012_val_00043767.JPEG
32651,32651_ILSVRC2012_val_00045957.JPEG
32772,32772_ILSVRC2012_val_00006044.JPEG
33122,33122_ILSVRC2012_val_00041678.JPEG
33558,33558_ILSVRC2012_val_00021192.JPEG
34161,34161_ILSVRC2012_val_00032311.JPEG
34843,34843_ILSVRC2012_val_00019661.JPEG
35399,35399_ILSVRC2012_val_00015367.JPEG
35733,35733_ILSVRC2012_val_00036923.JPEG
36046,36046_ILSVRC2012_val_00013690.JPEG
36526,36526_ILSVRC2012_val_00020897.JPEG
36565,36565_ILSVRC2012_val_00034343.JPEG
37027,37027_ILSVRC2012_val_00036316.JPEG
37416,37416_ILSVRC2012_val_00030008.JPEG
38539,38539_ILSVRC2012_val_00049566.JPEG
38922,38922_ILSVRC2012_val_00033430.JPEG
39338,39338_ILSVRC2012_val_00044817.JPEG
40509,40509_ILSVRC2012_val_00026727.JPEG
41827,41827_ILSVRC2012_val_00007881.JPEG
41918,41918_ILSVRC2012_val_00039858.JPEG
42492,42492_ILSVRC2012_val_00033896.JPEG
43715,43715_ILSVRC2012_val_00002685.JPEG
44283,44283_ILSVRC2012_val_00041600.JPEG
44419,44419_ILSVRC2012_val_00004899.JPEG
45162,45162_ILSVRC2012_val_00008202.JPEG
46359,46359_ILSVRC2012_val_00004473.JPEG
46931,46931_ILSVRC2012_val_00006723.JPEG
