rank,image_path
1393,1393_ILSVRC2012_val_00043007.JPEG
3582,3582_ILSVRC2012_val_00007386.JPEG
9825,9825_ILSVRC2012_val_00038022.JPEG
12105,12105_ILSVRC2012_val_00030407.JPEG
14056,14056_ILSVRC2012_val_00004947.JPEG
14893,14893_ILSVRC2012_val_00021229.JPEG
14966,14966_ILSVRC2012_val_00005790.JPEG
16269,16269_ILSVRC2012_val_00008760.JPEG
17052,17052_ILSVRC2012_val_00047271.JPEG
18454,18454_ILSVRC2012_val_00010627.JPEG
19429,19429_ILSVRC2012_val_00040673.JPEG
21524,21524_ILSVRC2012_val_00022502.JPEG
23700,23700_ILSVRC2012_val_00049036.JPEG
24062,24062_ILSVRC2012_val_00014719.JPEG
25739,25739_ILSVRC2012_val_00043672.JPEG
28123,28123_ILSVRC2012_val_00021754.JPEG
28125,28125_ILSVRC2012_val_00026978.JPEG
28608,28608_ILSVRC2012_val_00030915.JPEG
28755,28755_ILSVRC2012_val_00019276.JPEG
30650,30650_ILSVRC2012_val_00043556.JPEG
31682,31682_ILSVRC2012_val_00008303.JPEG
32269,32269_ILSVRC2012_val_00021938.JPEG
33390,33390_ILSVRC2012_val_00035793.JPEG
33668,33668_ILSVRC2012_val_00023180.JPEG
34313,34313_ILSVRC2012_val_00002417.JPEG
34501,34501_ILSVRC2012_val_00037841.JPEG
35833,35833_ILSVRC2012_val_00017823.JPEG
36312,36312_ILSVRC2012_val_00045763.JPEG
36750,36750_ILSVRC2012_val_00026525.JPEG
37097,37097_ILSVRC2012_val_00022459.JPEG
37937,37937_ILSVRC2012_val_00037243.JPEG
38055,38055_ILSVRC2012_val_00024542.JPEG
39131,39131_ILSVRC2012_val_00028963.JPEG
39919,39919_ILSVRC2012_val_00000191.JPEG
40613,40613_ILSVRC2012_val_00029175.JPEG
40734,40734_ILSVRC2012_val_00045238.JPEG
41268,41268_ILSVRC2012_val_00009853.JPEG
41490,41490_ILSVRC2012_val_00023528.JPEG
41522,41522_ILSVRC2012_val_00020513.JPEG
41655,41655_ILSVRC2012_val_00039014.JPEG
41734,41734_ILSVRC2012_val_00045109.JPEG
43129,43129_ILSVRC2012_val_00007527.JPEG
43182,43182_ILSVRC2012_val_00011387.JPEG
43282,43282_ILSVRC2012_val_00029242.JPEG
43685,43685_ILSVRC2012_val_00004926.JPEG
44422,44422_ILSVRC2012_val_00038254.JPEG
44993,44993_ILSVRC2012_val_00015076.JPEG
45956,45956_ILSVRC2012_val_00039832.JPEG
47558,47558_ILSVRC2012_val_00011381.JPEG
49636,49636_ILSVRC2012_val_00013442.JPEG
