rank,image_path
15661,15661_ILSVRC2012_val_00042344.JPEG
20799,20799_ILSVRC2012_val_00021208.JPEG
26445,26445_ILSVRC2012_val_00040952.JPEG
28552,28552_ILSVRC2012_val_00040909.JPEG
29124,29124_ILSVRC2012_val_00034410.JPEG
30090,30090_ILSVRC2012_val_00045984.JPEG
32270,32270_ILSVRC2012_val_00045080.JPEG
32448,32448_ILSVRC2012_val_00039086.JPEG
35298,35298_ILSVRC2012_val_00005043.JPEG
35515,35515_ILSVRC2012_val_00018577.JPEG
37196,37196_ILSVRC2012_val_00011242.JPEG
37501,37501_ILSVRC2012_val_00045980.JPEG
39447,39447_ILSVRC2012_val_00026996.JPEG
39633,39633_ILSVRC2012_val_00004404.JPEG
39986,39986_ILSVRC2012_val_00013876.JPEG
40622,40622_ILSVRC2012_val_00021846.JPEG
40833,40833_ILSVRC2012_val_00041886.JPEG
41244,41244_ILSVRC2012_val_00027905.JPEG
42266,42266_ILSVRC2012_val_00040222.JPEG
42607,42607_ILSVRC2012_val_00000758.JPEG
43101,43101_ILSVRC2012_val_00048486.JPEG
43464,43464_ILSVRC2012_val_00035437.JPEG
43742,43742_ILSVRC2012_val_00012690.JPEG
45017,45017_ILSVRC2012_val_00025496.JPEG
45040,45040_ILSVRC2012_val_00046552.JPEG
45666,45666_ILSVRC2012_val_00030786.JPEG
45705,45705_ILSVRC2012_val_00007773.JPEG
46003,46003_ILSVRC2012_val_00044462.JPEG
46035,46035_ILSVRC2012_val_00033982.JPEG
46087,46087_ILSVRC2012_val_00016969.JPEG
46669,46669_ILSVRC2012_val_00034608.JPEG
47082,47082_ILSVRC2012_val_00002989.JPEG
47133,47133_ILSVRC2012_val_00007054.JPEG
47285,47285_ILSVRC2012_val_00009877.JPEG
47307,47307_ILSVRC2012_val_00019683.JPEG
47591,47591_ILSVRC2012_val_00036796.JPEG
47738,47738_ILSVRC2012_val_00036497.JPEG
47904,47904_ILSVRC2012_val_00018589.JPEG
47924,47924_ILSVRC2012_val_00044380.JPEG
48064,48064_ILSVRC2012_val_00041844.JPEG
48069,48069_ILSVRC2012_val_00004569.JPEG
48081,48081_ILSVRC2012_val_00000594.JPEG
48094,48094_ILSVRC2012_val_00034931.JPEG
48249,48249_ILSVRC2012_val_00049285.JPEG
48511,48511_ILSVRC2012_val_00045920.JPEG
48521,48521_ILSVRC2012_val_00045618.JPEG
48636,48636_ILSVRC2012_val_00006168.JPEG
48656,48656_ILSVRC2012_val_00042339.JPEG
48762,48762_ILSVRC2012_val_00029133.JPEG
49316,49316_ILSVRC2012_val_00044662.JPEG
