rank,image_path
8757,8757_ILSVRC2012_val_00000706.JPEG
11112,11112_ILSVRC2012_val_00019076.JPEG
15513,15513_ILSVRC2012_val_00006039.JPEG
16720,16720_ILSVRC2012_val_00021558.JPEG
17240,17240_ILSVRC2012_val_00018115.JPEG
17808,17808_ILSVRC2012_val_00004676.JPEG
18768,18768_ILSVRC2012_val_00044808.JPEG
18847,18847_ILSVRC2012_val_00023988.JPEG
19746,19746_ILSVRC2012_val_00047504.JPEG
20323,20323_ILSVRC2012_val_00040430.JPEG
20912,20912_ILSVRC2012_val_00012563.JPEG
24755,24755_ILSVRC2012_val_00015343.JPEG
25046,25046_ILSVRC2012_val_00003238.JPEG
26950,26950_ILSVRC2012_val_00024570.JPEG
27014,27014_ILSVRC2012_val_00025675.JPEG
27326,27326_ILSVRC2012_val_00046994.JPEG
27967,27967_ILSVRC2012_val_00036814.JPEG
28238,28238_ILSVRC2012_val_00019017.JPEG
28411,28411_ILSVRC2012_val_00038503.JPEG
28524,28524_ILSVRC2012_val_00045756.JPEG
28732,28732_ILSVRC2012_val_00007865.JPEG
29224,29224_ILSVRC2012_val_00034958.JPEG
29266,29266_ILSVRC2012_val_00019400.JPEG
29268,29268_ILSVRC2012_val_00021652.JPEG
29962,29962_ILSVRC2012_val_00010473.JPEG
30013,30013_ILSVRC2012_val_00014006.JPEG
30775,30775_ILSVRC2012_val_00027149.JPEG
31786,31786_ILSVRC2012_val_00016079.JPEG
32013,32013_ILSVRC2012_val_00041679.JPEG
32207,32207_ILSVRC2012_val_00005610.JPEG
32530,32530_ILSVRC2012_val_00032821.JPEG
34347,34347_ILSVRC2012_val_00038219.JPEG
34581,34581_ILSVRC2012_val_00020756.JPEG
34717,34717_ILSVRC2012_val_00008019.JPEG
35085,35085_ILSVRC2012_val_00016715.JPEG
35908,35908_ILSVRC2012_val_00009714.JPEG
36616,36616_ILSVRC2012_val_00020825.JPEG
36703,36703_ILSVRC2012_val_00003060.JPEG
37048,37048_ILSVRC2012_val_00038932.JPEG
37111,37111_ILSVRC2012_val_00049896.JPEG
38435,38435_ILSVRC2012_val_00010277.JPEG
38856,38856_ILSVRC2012_val_00006995.JPEG
40028,40028_ILSVRC2012_val_00031915.JPEG
40935,40935_ILSVRC2012_val_00027029.JPEG
41574,41574_ILSVRC2012_val_00012023.JPEG
42106,42106_ILSVRC2012_val_00013543.JPEG
43006,43006_ILSVRC2012_val_00000400.JPEG
44211,44211_ILSVRC2012_val_00036161.JPEG
46434,46434_ILSVRC2012_val_00044252.JPEG
46806,46806_ILSVRC2012_val_00037985.JPEG
