rank,image_path
74,74_ILSVRC2012_val_00046247.JPEG
836,836_ILSVRC2012_val_00033164.JPEG
1381,1381_ILSVRC2012_val_00042533.JPEG
1705,1705_ILSVRC2012_val_00006944.JPEG
3572,3572_ILSVRC2012_val_00030297.JPEG
4128,4128_ILSVRC2012_val_00027912.JPEG
5497,5497_ILSVRC2012_val_00022109.JPEG
6170,6170_ILSVRC2012_val_00040427.JPEG
7713,7713_ILSVRC2012_val_00007535.JPEG
10451,10451_ILSVRC2012_val_00049417.JPEG
11828,11828_ILSVRC2012_val_00018997.JPEG
14544,14544_ILSVRC2012_val_00048515.JPEG
15757,15757_ILSVRC2012_val_00049893.JPEG
15863,15863_ILSVRC2012_val_00026087.JPEG
15991,15991_ILSVRC2012_val_00016783.JPEG
16476,16476_ILSVRC2012_val_00002708.JPEG
17414,17414_ILSVRC2012_val_00049956.JPEG
17508,17508_ILSVRC2012_val_00026717.JPEG
19316,19316_ILSVRC2012_val_00035391.JPEG
20709,20709_ILSVRC2012_val_00004763.JPEG
20967,20967_ILSVRC2012_val_00043605.JPEG
21500,21500_ILSVRC2012_val_00011491.JPEG
21728,21728_ILSVRC2012_val_00025474.JPEG
22112,22112_ILSVRC2012_val_00035665.JPEG
22316,22316_ILSVRC2012_val_00010786.JPEG
22670,22670_ILSVRC2012_val_00005175.JPEG
23535,23535_ILSVRC2012_val_00009556.JPEG
23683,23683_ILSVRC2012_val_00029946.JPEG
24258,24258_ILSVRC2012_val_00016294.JPEG
24567,24567_ILSVRC2012_val_00011322.JPEG
24806,24806_ILSVRC2012_val_00006673.JPEG
24862,24862_ILSVRC2012_val_00034011.JPEG
25350,25350_ILSVRC2012_val_00036682.JPEG
25636,25636_ILSVRC2012_val_00019153.JPEG
25884,25884_ILSVRC2012_val_00019333.JPEG
26487,26487_ILSVRC2012_val_00020589.JPEG
26496,26496_ILSVRC2012_val_00034495.JPEG
26506,26506_ILSVRC2012_val_00004180.JPEG
26670,26670_ILSVRC2012_val_00041233.JPEG
27004,27004_ILSVRC2012_val_00033057.JPEG
28376,28376_ILSVRC2012_val_00007086.JPEG
29150,29150_ILSVRC2012_val_00022520.JPEG
29917,29917_ILSVRC2012_val_00045305.JPEG
32888,32888_ILSVRC2012_val_00035628.JPEG
34187,34187_ILSVRC2012_val_00008284.JPEG
34741,34741_ILSVRC2012_val_00029461.JPEG
35081,35081_ILSVRC2012_val_00021172.JPEG
36435,36435_ILSVRC2012_val_00016462.JPEG
36707,36707_ILSVRC2012_val_00013814.JPEG
38944,38944_ILSVRC2012_val_00016125.JPEG
