rank,image_path
141,141_ILSVRC2012_val_00032336.JPEG
5360,5360_ILSVRC2012_val_00008138.JPEG
9242,9242_ILSVRC2012_val_00003303.JPEG
13662,13662_ILSVRC2012_val_00035510.JPEG
13950,13950_ILSVRC2012_val_00046446.JPEG
14112,14112_ILSVRC2012_val_00006338.JPEG
15248,15248_ILSVRC2012_val_00026278.JPEG
16252,16252_ILSVRC2012_val_00009862.JPEG
16335,16335_ILSVRC2012_val_00004766.JPEG
18072,18072_ILSVRC2012_val_00046867.JPEG
20188,20188_ILSVRC2012_val_00000672.JPEG
21573,21573_ILSVRC2012_val_00011701.JPEG
24225,24225_ILSVRC2012_val_00040450.JPEG
24514,24514_ILSVRC2012_val_00017551.JPEG
24756,24756_ILSVRC2012_val_00033192.JPEG
25872,25872_ILSVRC2012_val_00021489.JPEG
26542,26542_ILSVRC2012_val_00007897.JPEG
26894,26894_ILSVRC2012_val_00016263.JPEG
26940,26940_ILSVRC2012_val_00034069.JPEG
27585,27585_ILSVRC2012_val_00013583.JPEG
27934,27934_ILSVRC2012_val_00026245.JPEG
29187,29187_ILSVRC2012_val_00036445.JPEG
29418,29418_ILSVRC2012_val_00029436.JPEG
29626,29626_ILSVRC2012_val_00003734.JPEG
30026,30026_ILSVRC2012_val_00005395.JPEG
30121,30121_ILSVRC2012_val_00048578.JPEG
30543,30543_ILSVRC2012_val_00001900.JPEG
30638,30638_ILSVRC2012_val_00011205.JPEG
30799,30799_ILSVRC2012_val_00014471.JPEG
32169,32169_ILSVRC2012_val_00014506.JPEG
32637,32637_ILSVRC2012_val_00045537.JPEG
33113,33113_ILSVRC2012_val_00026448.JPEG
33198,33198_ILSVRC2012_val_00028674.JPEG
34861,34861_ILSVRC2012_val_00043367.JPEG
36978,36978_ILSVRC2012_val_00031198.JPEG
37169,37169_ILSVRC2012_val_00035632.JPEG
37489,37489_ILSVRC2012_val_00045454.JPEG
38007,38007_ILSVRC2012_val_00044548.JPEG
38166,38166_ILSVRC2012_val_00031093.JPEG
38836,38836_ILSVRC2012_val_00011457.JPEG
39312,39312_ILSVRC2012_val_00018080.JPEG
39535,39535_ILSVRC2012_val_00045261.JPEG
39764,39764_ILSVRC2012_val_00007632.JPEG
41327,41327_ILSVRC2012_val_00049998.JPEG
41462,41462_ILSVRC2012_val_00049942.JPEG
41865,41865_ILSVRC2012_val_00033155.JPEG
43258,43258_ILSVRC2012_val_00007837.JPEG
44212,44212_ILSVRC2012_val_00034821.JPEG
46722,46722_ILSVRC2012_val_00020986.JPEG
48788,48788_ILSVRC2012_val_00037534.JPEG
