rank,image_path
4912,4912_ILSVRC2012_val_00015858.JPEG
7993,7993_ILSVRC2012_val_00033579.JPEG
10531,10531_ILSVRC2012_val_00037396.JPEG
14908,14908_ILSVRC2012_val_00016409.JPEG
15274,15274_ILSVRC2012_val_00007056.JPEG
15765,15765_ILSVRC2012_val_00007165.JPEG
16484,16484_ILSVRC2012_val_00041527.JPEG
17269,17269_ILSVRC2012_val_00028955.JPEG
17505,17505_ILSVRC2012_val_00007674.JPEG
19941,19941_ILSVRC2012_val_00047727.JPEG
21314,21314_ILSVRC2012_val_00019671.JPEG
22109,22109_ILSVRC2012_val_00035562.JPEG
22230,22230_ILSVRC2012_val_00046212.JPEG
22256,22256_ILSVRC2012_val_00028103.JPEG
22430,22430_ILSVRC2012_val_00039204.JPEG
22609,22609_ILSVRC2012_val_00030971.JPEG
23242,23242_ILSVRC2012_val_00027100.JPEG
24294,24294_ILSVRC2012_val_00041947.JPEG
24959,24959_ILSVRC2012_val_00032822.JPEG
24975,24975_ILSVRC2012_val_00019712.JPEG
25088,25088_ILSVRC2012_val_00006970.JPEG
25388,25388_ILSVRC2012_val_00022590.JPEG
25719,25719_ILSVRC2012_val_00035815.JPEG
26695,26695_ILSVRC2012_val_00014000.JPEG
27291,27291_ILSVRC2012_val_00007367.JPEG
27901,27901_ILSVRC2012_val_00032290.JPEG
28172,28172_ILSVRC2012_val_00001074.JPEG
28422,28422_ILSVRC2012_val_00000847.JPEG
28811,28811_ILSVRC2012_val_00038479.JPEG
30095,30095_ILSVRC2012_val_00020216.JPEG
30351,30351_ILSVRC2012_val_00035699.JPEG
30602,30602_ILSVRC2012_val_00000203.JPEG
31083,31083_ILSVRC2012_val_00046078.JPEG
31247,31247_ILSVRC2012_val_00042303.JPEG
31779,31779_ILSVRC2012_val_00022843.JPEG
34562,34562_ILSVRC2012_val_00009547.JPEG
35991,35991_ILSVRC2012_val_00044869.JPEG
36637,36637_ILSVRC2012_val_00032564.JPEG
38502,38502_ILSVRC2012_val_00030482.JPEG
38687,38687_ILSVRC2012_val_00046672.JPEG
38987,38987_ILSVRC2012_val_00014490.JPEG
40897,40897_ILSVRC2012_val_00022254.JPEG
41060,41060_ILSVRC2012_val_00018331.JPEG
42185,42185_ILSVRC2012_val_00011917.JPEG
43468,43468_ILSVRC2012_val_00032033.JPEG
45775,45775_ILSVRC2012_val_00027219.JPEG
45828,45828_ILSVRC2012_val_00010765.JPEG
46036,46036_ILSVRC2012_val_00003834.JPEG
48517,48517_ILSVRC2012_val_00030086.JPEG
49171,49171_ILSVRC2012_val_00016908.JPEG
