rank,image_path
45,45_ILSVRC2012_val_00010963.JPEG
1278,1278_ILSVRC2012_val_00017331.JPEG
3353,3353_ILSVRC2012_val_00023824.JPEG
5195,5195_ILSVRC2012_val_00018832.JPEG
5442,5442_ILSVRC2012_val_00027217.JPEG
5551,5551_ILSVRC2012_val_00017676.JPEG
7074,7074_ILSVRC2012_val_00016998.JPEG
7358,7358_ILSVRC2012_val_00006077.JPEG
8050,8050_ILSVRC2012_val_00013927.JPEG
8590,8590_ILSVRC2012_val_00043880.JPEG
11707,11707_ILSVRC2012_val_00022344.JPEG
12017,12017_ILSVRC2012_val_00016335.JPEG
13677,13677_ILSVRC2012_val_00040496.JPEG
14803,14803_ILSVRC2012_val_00041460.JPEG
15058,15058_ILSVRC2012_val_00030291.JPEG
15113,15113_ILSVRC2012_val_00022908.JPEG
15934,15934_ILSVRC2012_val_00049868.JPEG
17769,17769_ILSVRC2012_val_00007781.JPEG
18026,18026_ILSVRC2012_val_00000227.JPEG
18358,18358_ILSVRC2012_val_00031368.JPEG
18536,18536_ILSVRC2012_val_00041987.JPEG
18738,18738_ILSVRC2012_val_00020766.JPEG
19365,19365_ILSVRC2012_val_00029406.JPEG
19732,19732_ILSVRC2012_val_00010354.JPEG
19917,19917_ILSVRC2012_val_00047340.JPEG
20542,20542_ILSVRC2012_val_00024686.JPEG
21123,21123_ILSVRC2012_val_00009088.JPEG
22292,22292_ILSVRC2012_val_00031599.JPEG
22876,22876_ILSVRC2012_val_00027846.JPEG
23141,23141_ILSVRC2012_val_00042623.JPEG
24487,24487_ILSVRC2012_val_00037943.JPEG
24760,24760_ILSVRC2012_val_00036408.JPEG
25732,25732_ILSVRC2012_val_00048536.JPEG
26609,26609_ILSVRC2012_val_00012883.JPEG
29195,29195_ILSVRC2012_val_00023362.JPEG
29243,29243_ILSVRC2012_val_00015176.JPEG
29900,29900_ILSVRC2012_val_00005276.JPEG
31805,31805_ILSVRC2012_val_00011777.JPEG
33079,33079_ILSVRC2012_val_00049857.JPEG
33815,33815_ILSVRC2012_val_00018992.JPEG
34534,34534_ILSVRC2012_val_00001577.JPEG
35378,35378_ILSVRC2012_val_00018787.JPEG
36721,36721_ILSVRC2012_val_00027526.JPEG
38448,38448_ILSVRC2012_val_00014779.JPEG
38589,38589_ILSVRC2012_val_00042810.JPEG
38941,38941_ILSVRC2012_val_00031014.JPEG
40621,40621_ILSVRC2012_val_00015972.JPEG
41801,41801_ILSVRC2012_val_00016166.JPEG
44205,44205_ILSVRC2012_val_00031633.JPEG
48774,48774_ILSVRC2012_val_00008558.JPEG
