rank,image_path
1144,1144_ILSVRC2012_val_00011788.JPEG
15817,15817_ILSVRC2012_val_00043416.JPEG
21929,21929_ILSVRC2012_val_00020817.JPEG
22563,22563_ILSVRC2012_val_00005413.JPEG
24244,24244_ILSVRC2012_val_00047182.JPEG
25602,25602_ILSVRC2012_val_00042056.JPEG
26171,26171_ILSVRC2012_val_00025485.JPEG
26714,26714_ILSVRC2012_val_00028374.JPEG
31629,31629_ILSVRC2012_val_00040907.JPEG
32581,32581_ILSVRC2012_val_00027863.JPEG
33196,33196_ILSVRC2012_val_00003491.JPEG
33635,33635_ILSVRC2012_val_00013108.JPEG
33802,33802_ILSVRC2012_val_00014984.JPEG
35236,35236_ILSVRC2012_val_00014182.JPEG
35431,35431_ILSVRC2012_val_00014972.JPEG
36208,36208_ILSVRC2012_val_00034496.JPEG
36297,36297_ILSVRC2012_val_00046321.JPEG
36517,36517_ILSVRC2012_val_00036485.JPEG
36595,36595_ILSVRC2012_val_00025182.JPEG
38723,38723_ILSVRC2012_val_00028787.JPEG
38915,38915_ILSVRC2012_val_00022657.JPEG
39156,39156_ILSVRC2012_val_00018869.JPEG
39294,39294_ILSVRC2012_val_00026640.JPEG
39649,39649_ILSVRC2012_val_00041129.JPEG
40115,40115_ILSVRC2012_val_00044004.JPEG
40762,40762_ILSVRC2012_val_00046236.JPEG
41003,41003_ILSVRC2012_val_00044283.JPEG
41053,41053_ILSVRC2012_val_00043295.JPEG
41144,41144_ILSVRC2012_val_00007901.JPEG
41510,41510_ILSVRC2012_val_00009631.JPEG
42226,42226_ILSVRC2012_val_00037068.JPEG
42570,42570_ILSVRC2012_val_00035787.JPEG
42876,42876_ILSVRC2012_val_00030976.JPEG
42966,42966_ILSVRC2012_val_00023623.JPEG
43403,43403_ILSVRC2012_val_00039422.JPEG
44274,44274_ILSVRC2012_val_00038058.JPEG
44958,44958_ILSVRC2012_val_00017461.JPEG
45211,45211_ILSVRC2012_val_00035511.JPEG
45235,45235_ILSVRC2012_val_00007354.JPEG
45628,45628_ILSVRC2012_val_00014002.JPEG
45887,45887_ILSVRC2012_val_00013693.JPEG
46957,46957_ILSVRC2012_val_00036782.JPEG
47085,47085_ILSVRC2012_val_00012676.JPEG
47156,47156_ILSVRC2012_val_00016465.JPEG
47186,47186_ILSVRC2012_val_00032988.JPEG
47999,47999_ILSVRC2012_val_00038243.JPEG
48530,48530_ILSVRC2012_val_00015887.JPEG
49505,49505_ILSVRC2012_val_00043317.JPEG
49639,49639_ILSVRC2012_val_00031238.JPEG
49650,49650_ILSVRC2012_val_00004114.JPEG
