rank,image_path
5612,5612_ILSVRC2012_val_00043872.JPEG
6780,6780_ILSVRC2012_val_00031634.JPEG
10493,10493_ILSVRC2012_val_00031154.JPEG
15480,15480_ILSVRC2012_val_00001049.JPEG
16246,16246_ILSVRC2012_val_00024126.JPEG
16824,16824_ILSVRC2012_val_00041819.JPEG
17278,17278_ILSVRC2012_val_00011728.JPEG
17317,17317_ILSVRC2012_val_00038157.JPEG
24381,24381_ILSVRC2012_val_00040731.JPEG
24826,24826_ILSVRC2012_val_00002917.JPEG
25010,25010_ILSVRC2012_val_00030519.JPEG
25381,25381_ILSVRC2012_val_00026910.JPEG
25395,25395_ILSVRC2012_val_00034782.JPEG
26172,26172_ILSVRC2012_val_00039188.JPEG
26278,26278_ILSVRC2012_val_00041205.JPEG
26517,26517_ILSVRC2012_val_00011555.JPEG
26823,26823_ILSVRC2012_val_00039439.JPEG
26871,26871_ILSVRC2012_val_00040732.JPEG
28706,28706_ILSVRC2012_val_00029450.JPEG
28977,28977_ILSVRC2012_val_00036150.JPEG
29480,29480_ILSVRC2012_val_00023749.JPEG
30635,30635_ILSVRC2012_val_00031597.JPEG
31210,31210_ILSVRC2012_val_00041642.JPEG
31687,31687_ILSVRC2012_val_00021266.JPEG
31995,31995_ILSVRC2012_val_00012035.JPEG
32383,32383_ILSVRC2012_val_00045358.JPEG
33188,33188_ILSVRC2012_val_00024590.JPEG
33507,33507_ILSVRC2012_val_00006892.JPEG
35142,35142_ILSVRC2012_val_00013195.JPEG
35748,35748_ILSVRC2012_val_00049159.JPEG
36366,36366_ILSVRC2012_val_00018882.JPEG
37268,37268_ILSVRC2012_val_00020016.JPEG
38288,38288_ILSVRC2012_val_00046450.JPEG
38346,38346_ILSVRC2012_val_00041000.JPEG
38528,38528_ILSVRC2012_val_00006079.JPEG
39223,39223_ILSVRC2012_val_00029289.JPEG
39943,39943_ILSVRC2012_val_00016757.JPEG
40797,40797_ILSVRC2012_val_00023234.JPEG
41142,41142_ILSVRC2012_val_00022609.JPEG
41620,41620_ILSVRC2012_val_00037791.JPEG
42338,42338_ILSVRC2012_val_00011900.JPEG
42825,42825_ILSVRC2012_val_00002921.JPEG
43419,43419_ILSVRC2012_val_00027452.JPEG
43825,43825_ILSVRC2012_val_00023886.JPEG
45349,45349_ILSVRC2012_val_00016688.JPEG
45387,45387_ILSVRC2012_val_00028943.JPEG
45704,45704_ILSVRC2012_val_00019402.JPEG
46097,46097_ILSVRC2012_val_00017702.JPEG
47231,47231_ILSVRC2012_val_00014409.JPEG
47926,47926_ILSVRC2012_val_00011639.JPEG
