rank,image_path
17,17_ILSVRC2012_val_00048813.JPEG
113,113_ILSVRC2012_val_00040019.JPEG
644,644_ILSVRC2012_val_00036565.JPEG
975,975_ILSVRC2012_val_00005832.JPEG
2692,2692_ILSVRC2012_val_00007431.JPEG
2897,2897_ILSVRC2012_val_00040934.JPEG
3090,3090_ILSVRC2012_val_00018124.JPEG
3154,3154_ILSVRC2012_val_00025276.JPEG
3371,3371_ILSVRC2012_val_00016563.JPEG
4326,4326_ILSVRC2012_val_00044713.JPEG
4975,4975_ILSVRC2012_val_00039779.JPEG
5674,5674_ILSVRC2012_val_00028253.JPEG
6576,6576_ILSVRC2012_val_00045066.JPEG
7769,7769_ILSVRC2012_val_00031296.JPEG
7917,7917_ILSVRC2012_val_00037372.JPEG
9149,9149_ILSVRC2012_val_00013207.JPEG
11540,11540_ILSVRC2012_val_00032846.JPEG
12129,12129_ILSVRC2012_val_00018741.JPEG
12253,12253_ILSVRC2012_val_00024964.JPEG
12678,12678_ILSVRC2012_val_00041136.JPEG
12792,12792_ILSVRC2012_val_00002636.JPEG
13361,13361_ILSVRC2012_val_00022347.JPEG
13876,13876_ILSVRC2012_val_00024699.JPEG
14120,14120_ILSVRC2012_val_00046659.JPEG
15134,15134_ILSVRC2012_val_00029270.JPEG
15372,15372_ILSVRC2012_val_00013206.JPEG
15547,15547_ILSVRC2012_val_00044741.JPEG
16995,16995_ILSVRC2012_val_00004958.JPEG
17135,17135_ILSVRC2012_val_00043360.JPEG
17223,17223_ILSVRC2012_val_00009400.JPEG
18901,18901_ILSVRC2012_val_00012637.JPEG
19202,19202_ILSVRC2012_val_00034047.JPEG
19538,19538_ILSVRC2012_val_00018842.JPEG
21110,21110_ILSVRC2012_val_00018566.JPEG
23311,23311_ILSVRC2012_val_00012838.JPEG
25355,25355_ILSVRC2012_val_00040138.JPEG
28244,28244_ILSVRC2012_val_00001908.JPEG
28719,28719_ILSVRC2012_val_00005560.JPEG
29084,29084_ILSVRC2012_val_00032962.JPEG
29582,29582_ILSVRC2012_val_00030146.JPEG
29720,29720_ILSVRC2012_val_00042060.JPEG
31070,31070_ILSVRC2012_val_00034653.JPEG
32006,32006_ILSVRC2012_val_00025870.JPEG
33982,33982_ILSVRC2012_val_00036830.JPEG
34545,34545_ILSVRC2012_val_00040401.JPEG
35686,35686_ILSVRC2012_val_00022121.JPEG
36725,36725_ILSVRC2012_val_00039849.JPEG
38699,38699_ILSVRC2012_val_00045301.JPEG
40447,40447_ILSVRC2012_val_00024373.JPEG
41153,41153_ILSVRC2012_val_00027009.JPEG
