rank,image_path
63,63_ILSVRC2012_val_00017751.JPEG
1606,1606_ILSVRC2012_val_00018265.JPEG
3992,3992_ILSVRC2012_val_00048106.JPEG
5735,5735_ILSVRC2012_val_00018961.JPEG
7712,7712_ILSVRC2012_val_00023991.JPEG
10569,10569_ILSVRC2012_val_00020675.JPEG
12691,12691_ILSVRC2012_val_00030396.JPEG
13847,13847_ILSVRC2012_val_00020536.JPEG
14554,14554_ILSVRC2012_val_00003074.JPEG
15068,15068_ILSVRC2012_val_00026597.JPEG
15954,15954_ILSVRC2012_val_00015526.JPEG
16309,16309_ILSVRC2012_val_00003272.JPEG
16522,16522_ILSVRC2012_val_00008705.JPEG
17051,17051_ILSVRC2012_val_00044092.JPEG
18061,18061_ILSVRC2012_val_00017157.JPEG
18211,18211_ILSVRC2012_val_00014132.JPEG
18925,18925_ILSVRC2012_val_00026925.JPEG
19337,19337_ILSVRC2012_val_00040789.JPEG
19428,19428_ILSVRC2012_val_00008210.JPEG
19926,19926_ILSVRC2012_val_00040764.JPEG
20111,20111_ILSVRC2012_val_00014895.JPEG
20130,20130_ILSVRC2012_val_00018793.JPEG
20410,20410_ILSVRC2012_val_00029471.JPEG
20821,20821_ILSVRC2012_val_00018052.JPEG
20825,20825_ILSVRC2012_val_00040484.JPEG
21458,21458_ILSVRC2012_val_00001449.JPEG
21548,21548_ILSVRC2012_val_00048351.JPEG
21626,21626_ILSVRC2012_val_00013891.JPEG
23012,23012_ILSVRC2012_val_00015120.JPEG
24142,24142_ILSVRC2012_val_00013618.JPEG
24213,24213_ILSVRC2012_val_00044814.JPEG
25120,25120_ILSVRC2012_val_00000195.JPEG
25633,25633_ILSVRC2012_val_00031826.JPEG
28892,28892_ILSVRC2012_val_00023583.JPEG
29280,29280_ILSVRC2012_val_00030907.JPEG
31395,31395_ILSVRC2012_val_00038309.JPEG
31841,31841_ILSVRC2012_val_00035269.JPEG
31987,31987_ILSVRC2012_val_00047370.JPEG
37521,37521_ILSVRC2012_val_00020511.JPEG
37809,37809_ILSVRC2012_val_00028380.JPEG
38235,38235_ILSVRC2012_val_00033712.JPEG
40571,40571_ILSVRC2012_val_00018211.JPEG
41152,41152_ILSVRC2012_val_00011087.JPEG
44138,44138_ILSVRC2012_val_00019368.JPEG
45810,45810_ILSVRC2012_val_00018673.JPEG
45845,45845_ILSVRC2012_val_00028594.JPEG
46313,46313_ILSVRC2012_val_00022676.JPEG
46575,46575_ILSVRC2012_val_00031015.JPEG
48867,48867_ILSVRC2012_val_00040223.JPEG
49351,49351_ILSVRC2012_val_00034684.JPEG
