rank,image_path
842,842_ILSVRC2012_val_00049574.JPEG
12441,12441_ILSVRC2012_val_00032522.JPEG
15436,15436_ILSVRC2012_val_00006659.JPEG
15448,15448_ILSVRC2012_val_00033595.JPEG
16897,16897_ILSVRC2012_val_00006920.JPEG
17992,17992_ILSVRC2012_val_00002234.JPEG
18420,18420_ILSVRC2012_val_00040582.JPEG
18772,18772_ILSVRC2012_val_00012733.JPEG
19346,19346_ILSVRC2012_val_00004818.JPEG
20054,20054_ILSVRC2012_val_00042390.JPEG
21437,21437_ILSVRC2012_val_00038056.JPEG
21617,21617_ILSVRC2012_val_00007829.JPEG
22033,22033_ILSVRC2012_val_00018779.JPEG
22477,22477_ILSVRC2012_val_00037858.JPEG
22665,22665_ILSVRC2012_val_00005854.JPEG
23497,23497_ILSVRC2012_val_00041306.JPEG
24106,24106_ILSVRC2012_val_00027751.JPEG
25042,25042_ILSVRC2012_val_00037081.JPEG
25762,25762_ILSVRC2012_val_00044430.JPEG
27118,27118_ILSVRC2012_val_00037087.JPEG
27235,27235_ILSVRC2012_val_00002277.JPEG
27254,27254_ILSVRC2012_val_00016951.JPEG
27532,27532_ILSVRC2012_val_00028922.JPEG
29306,29306_ILSVRC2012_val_00001005.JPEG
30722,30722_ILSVRC2012_val_00008114.JPEG
31267,31267_ILSVRC2012_val_00024217.JPEG
31450,31450_ILSVRC2012_val_00023760.JPEG
31822,31822_ILSVRC2012_val_00026161.JPEG
32495,32495_ILSVRC2012_val_00048383.JPEG
33681,33681_ILSVRC2012_val_00029217.JPEG
34028,34028_ILSVRC2012_val_00048636.JPEG
34052,34052_ILSVRC2012_val_00020748.JPEG
36395,36395_ILSVRC2012_val_00024509.JPEG
36903,36903_ILSVRC2012_val_00031133.JPEG
37415,37415_ILSVRC2012_val_00010617.JPEG
37684,37684_ILSVRC2012_val_00005283.JPEG
37990,37990_ILSVRC2012_val_00009711.JPEG
38437,38437_ILSVRC2012_val_00044356.JPEG
41926,41926_ILSVRC2012_val_00002492.JPEG
42250,42250_ILSVRC2012_val_00001872.JPEG
42566,42566_ILSVRC2012_val_00033690.JPEG
42578,42578_ILSVRC2012_val_00032659.JPEG
42806,42806_ILSVRC2012_val_00039942.JPEG
44813,44813_ILSVRC2012_val_00012740.JPEG
44834,44834_ILSVRC2012_val_00033553.JPEG
45975,45975_ILSVRC2012_val_00041093.JPEG
47959,47959_ILSVRC2012_val_00047149.JPEG
48062,48062_ILSVRC2012_val_00031461.JPEG
48353,48353_ILSVRC2012_val_00012140.JPEG
49361,49361_ILSVRC2012_val_00012901.JPEG
