rank,image_path
246,246_ILSVRC2012_val_00035433.JPEG
367,367_ILSVRC2012_val_00037592.JPEG
742,742_ILSVRC2012_val_00028723.JPEG
1041,1041_ILSVRC2012_val_00038727.JPEG
1375,1375_ILSVRC2012_val_00013915.JPEG
1699,1699_ILSVRC2012_val_00015542.JPEG
2157,2157_ILSVRC2012_val_00009037.JPEG
2473,2473_ILSVRC2012_val_00007536.JPEG
2666,2666_ILSVRC2012_val_00041668.JPEG
4238,4238_ILSVRC2012_val_00022754.JPEG
4250,4250_ILSVRC2012_val_00007985.JPEG
4730,4730_ILSVRC2012_val_00003759.JPEG
4856,4856_ILSVRC2012_val_00007155.JPEG
6571,6571_ILSVRC2012_val_00043278.JPEG
7192,7192_ILSVRC2012_val_00025583.JPEG
7312,7312_ILSVRC2012_val_00048138.JPEG
7371,7371_ILSVRC2012_val_00044598.JPEG
7858,7858_ILSVRC2012_val_00007921.JPEG
8074,8074_ILSVRC2012_val_00004301.JPEG
8474,8474_ILSVRC2012_val_00038137.JPEG
9671,9671_ILSVRC2012_val_00046669.JPEG
12170,12170_ILSVRC2012_val_00019593.JPEG
13178,13178_ILSVRC2012_val_00022204.JPEG
16727,16727_ILSVRC2012_val_00003620.JPEG
17609,17609_ILSVRC2012_val_00033784.JPEG
17846,17846_ILSVRC2012_val_00043988.JPEG
18357,18357_ILSVRC2012_val_00030728.JPEG
18620,18620_ILSVRC2012_val_00046826.JPEG
19798,19798_ILSVRC2012_val_00028399.JPEG
20487,20487_ILSVRC2012_val_00005548.JPEG
21886,21886_ILSVRC2012_val_00017407.JPEG
22716,22716_ILSVRC2012_val_00000957.JPEG
24796,24796_ILSVRC2012_val_00048303.JPEG
26369,26369_ILSVRC2012_val_00013113.JPEG
26427,26427_ILSVRC2012_val_00041958.JPEG
26722,26722_ILSVRC2012_val_00001492.JPEG
30051,30051_ILSVRC2012_val_00009651.JPEG
31617,31617_ILSVRC2012_val_00025430.JPEG
34291,34291_ILSVRC2012_val_00048507.JPEG
35122,35122_ILSVRC2012_val_00042707.JPEG
38381,38381_ILSVRC2012_val_00023056.JPEG
38757,38757_ILSVRC2012_val_00024837.JPEG
41476,41476_ILSVRC2012_val_00011691.JPEG
44765,44765_ILSVRC2012_val_00041247.JPEG
45204,45204_ILSVRC2012_val_00033682.JPEG
46008,46008_ILSVRC2012_val_00003587.JPEG
46759,46759_ILSVRC2012_val_00041242.JPEG
47406,47406_ILSVRC2012_val_00025761.JPEG
49297,49297_ILSVRC2012_val_00005554.JPEG
49888,49888_ILSVRC2012_val_00034826.JPEG
