rank,image_path
1304,1304_ILSVRC2012_val_00034943.JPEG
1338,1338_ILSVRC2012_val_00039487.JPEG
1575,1575_ILSVRC2012_val_00048770.JPEG
2492,2492_ILSVRC2012_val_00006137.JPEG
3167,3167_ILSVRC2012_val_00043413.JPEG
4965,4965_ILSVRC2012_val_00016029.JPEG
7514,7514_ILSVRC2012_val_00035843.JPEG
8756,8756_ILSVRC2012_val_00017442.JPEG
8843,8843_ILSVRC2012_val_00048694.JPEG
9275,9275_ILSVRC2012_val_00013991.JPEG
10426,10426_ILSVRC2012_val_00010533.JPEG
10478,10478_ILSVRC2012_val_00042030.JPEG
11404,11404_ILSVRC2012_val_00037771.JPEG
12618,12618_ILSVRC2012_val_00039507.JPEG
13108,13108_ILSVRC2012_val_00038044.JPEG
14140,14140_ILSVRC2012_val_00008587.JPEG
14462,14462_ILSVRC2012_val_00045355.JPEG
14677,14677_ILSVRC2012_val_00006065.JPEG
14863,14863_ILSVRC2012_val_00023168.JPEG
15848,15848_ILSVRC2012_val_00040116.JPEG
16943,16943_ILSVRC2012_val_00023726.JPEG
17321,17321_ILSVRC2012_val_00006956.JPEG
17395,17395_ILSVRC2012_val_00011689.JPEG
18014,18014_ILSVRC2012_val_00019138.JPEG
18796,18796_ILSVRC2012_val_00033432.JPEG
18959,18959_ILSVRC2012_val_00020965.JPEG
19661,19661_ILSVRC2012_val_00016444.JPEG
20151,20151_ILSVRC2012_val_00001070.JPEG
20178,20178_ILSVRC2012_val_00010736.JPEG
22220,22220_ILSVRC2012_val_00017711.JPEG
22473,22473_ILSVRC2012_val_00017036.JPEG
23194,23194_ILSVRC2012_val_00008928.JPEG
23620,23620_ILSVRC2012_val_00011682.JPEG
23891,23891_ILSVRC2012_val_00048488.JPEG
28795,28795_ILSVRC2012_val_00010537.JPEG
29139,29139_ILSVRC2012_val_00047417.JPEG
29152,29152_ILSVRC2012_val_00023577.JPEG
29502,29502_ILSVRC2012_val_00048834.JPEG
33621,33621_ILSVRC2012_val_00020414.JPEG
34063,34063_ILSVRC2012_val_00004477.JPEG
36132,36132_ILSVRC2012_val_00021355.JPEG
36843,36843_ILSVRC2012_val_00010956.JPEG
38465,38465_ILSVRC2012_val_00022571.JPEG
38527,38527_ILSVRC2012_val_00024751.JPEG
38568,38568_ILSVRC2012_val_00043315.JPEG
42024,42024_ILSVRC2012_val_00024019.JPEG
42401,42401_ILSVRC2012_val_00022367.JPEG
44423,44423_ILSVRC2012_val_00009453.JPEG
45104,45104_ILSVRC2012_val_00031655.JPEG
48189,48189_ILSVRC2012_val_00049130.JPEG
