rank,image_path
709,709_ILSVRC2012_val_00049370.JPEG
1088,1088_ILSVRC2012_val_00023948.JPEG
1128,1128_ILSVRC2012_val_00003581.JPEG
1388,1388_ILSVRC2012_val_00009579.JPEG
1783,1783_ILSVRC2012_val_00038184.JPEG
1974,1974_ILSVRC2012_val_00045087.JPEG
2735,2735_ILSVRC2012_val_00022487.JPEG
3110,3110_ILSVRC2012_val_00033504.JPEG
3648,3648_ILSVRC2012_val_00037416.JPEG
4418,4418_ILSVRC2012_val_00012232.JPEG
4442,4442_ILSVRC2012_val_00036263.JPEG
4769,4769_ILSVRC2012_val_00018903.JPEG
5217,5217_ILSVRC2012_val_00043125.JPEG
5251,5251_ILSVRC2012_val_00020655.JPEG
7377,7377_ILSVRC2012_val_00007614.JPEG
7408,7408_ILSVRC2012_val_00007029.JPEG
7448,7448_ILSVRC2012_val_00036705.JPEG
7624,7624_ILSVRC2012_val_00043046.JPEG
8553,8553_ILSVRC2012_val_00036103.JPEG
8687,8687_ILSVRC2012_val_00031798.JPEG
9069,9069_ILSVRC2012_val_00000023.JPEG
11163,11163_ILSVRC2012_val_00046567.JPEG
11356,11356_ILSVRC2012_val_00046718.JPEG
11371,11371_ILSVRC2012_val_00038187.JPEG
11480,11480_ILSVRC2012_val_00018708.JPEG
12767,12767_ILSVRC2012_val_00034752.JPEG
12914,12914_ILSVRC2012_val_00035343.JPEG
14507,14507_ILSVRC2012_val_00034820.JPEG
15316,15316_ILSVRC2012_val_00032370.JPEG
17574,17574_ILSVRC2012_val_00005747.JPEG
19122,19122_ILSVRC2012_val_00016931.JPEG
20813,20813_ILSVRC2012_val_00039090.JPEG
21063,21063_ILSVRC2012_val_00009800.JPEG
22073,22073_ILSVRC2012_val_00043445.JPEG
22878,22878_ILSVRC2012_val_00031005.JPEG
22926,22926_ILSVRC2012_val_00046374.JPEG
25291,25291_ILSVRC2012_val_00024298.JPEG
26668,26668_ILSVRC2012_val_00044485.JPEG
29508,29508_ILSVRC2012_val_00019453.JPEG
32657,32657_ILSVRC2012_val_00023800.JPEG
33624,33624_ILSVRC2012_val_00011332.JPEG
35024,35024_ILSVRC2012_val_00000727.JPEG
36083,36083_ILSVRC2012_val_00012279.JPEG
37091,37091_ILSVRC2012_val_00024129.JPEG
37535,37535_ILSVRC2012_val_00016141.JPEG
38621,38621_ILSVRC2012_val_00045374.JPEG
39572,39572_ILSVRC2012_val_00008128.JPEG
45255,45255_ILSVRC2012_val_00034491.JPEG
45889,45889_ILSVRC2012_val_00031019.JPEG
46065,46065_ILSVRC2012_val_00036797.JPEG
