rank,image_path
632,632_ILSVRC2012_val_00031569.JPEG
772,772_ILSVRC2012_val_00022408.JPEG
1366,1366_ILSVRC2012_val_00014457.JPEG
1666,1666_ILSVRC2012_val_00021215.JPEG
1799,1799_ILSVRC2012_val_00024541.JPEG
2019,2019_ILSVRC2012_val_00045019.JPEG
3076,3076_ILSVRC2012_val_00038671.JPEG
4635,4635_ILSVRC2012_val_00038480.JPEG
4894,4894_ILSVRC2012_val_00046944.JPEG
5529,5529_ILSVRC2012_val_00021680.JPEG
6390,6390_ILSVRC2012_val_00014181.JPEG
6457,6457_ILSVRC2012_val_00030303.JPEG
7658,7658_ILSVRC2012_val_00027824.JPEG
7844,7844_ILSVRC2012_val_00014598.JPEG
9556,9556_ILSVRC2012_val_00025738.JPEG
10627,10627_ILSVRC2012_val_00029130.JPEG
11033,11033_ILSVRC2012_val_00010194.JPEG
11907,11907_ILSVRC2012_val_00022956.JPEG
13312,13312_ILSVRC2012_val_00020161.JPEG
13739,13739_ILSVRC2012_val_00042109.JPEG
14019,14019_ILSVRC2012_val_00049823.JPEG
14050,14050_ILSVRC2012_val_00024969.JPEG
14597,14597_ILSVRC2012_val_00014620.JPEG
14639,14639_ILSVRC2012_val_00017753.JPEG
14977,14977_ILSVRC2012_val_00028813.JPEG
15051,15051_ILSVRC2012_val_00041216.JPEG
15357,15357_ILSVRC2012_val_00046018.JPEG
18815,18815_ILSVRC2012_val_00035976.JPEG
19587,19587_ILSVRC2012_val_00006800.JPEG
23415,23415_ILSVRC2012_val_00013858.JPEG
24160,24160_ILSVRC2012_val_00045953.JPEG
24913,24913_ILSVRC2012_val_00013725.JPEG
24952,24952_ILSVRC2012_val_00022819.JPEG
26150,26150_ILSVRC2012_val_00012109.JPEG
27653,27653_ILSVRC2012_val_00006426.JPEG
27884,27884_ILSVRC2012_val_00015801.JPEG
28760,28760_ILSVRC2012_val_00030306.JPEG
31133,31133_ILSVRC2012_val_00034174.JPEG
33129,33129_ILSVRC2012_val_00015596.JPEG
33426,33426_ILSVRC2012_val_00023373.JPEG
37431,37431_ILSVRC2012_val_00003143.JPEG
37967,37967_ILSVRC2012_val_00003928.JPEG
40598,40598_ILSVRC2012_val_00036217.JPEG
40863,40863_ILSVRC2012_val_00049448.JPEG
41266,41266_ILSVRC2012_val_00035736.JPEG
43081,43081_ILSVRC2012_val_00042111.JPEG
43260,43260_ILSVRC2012_val_00013245.JPEG
43582,43582_ILSVRC2012_val_00021130.JPEG
45785,45785_ILSVRC2012_val_00005033.JPEG
46648,46648_ILSVRC2012_val_00035472.JPEG
