rank,image_path
750,750_ILSVRC2012_val_00008618.JPEG
830,830_ILSVRC2012_val_00037264.JPEG
945,945_ILSVRC2012_val_00026418.JPEG
1700,1700_ILSVRC2012_val_00034346.JPEG
3118,3118_ILSVRC2012_val_00045815.JPEG
3443,3443_ILSVRC2012_val_00008095.JPEG
3694,3694_ILSVRC2012_val_00008129.JPEG
4243,4243_ILSVRC2012_val_00011093.JPEG
4678,4678_ILSVRC2012_val_00037262.JPEG
4775,4775_ILSVRC2012_val_00020596.JPEG
4993,4993_ILSVRC2012_val_00034669.JPEG
5249,5249_ILSVRC2012_val_00039578.JPEG
5961,5961_ILSVRC2012_val_00003865.JPEG
6039,6039_ILSVRC2012_val_00012342.JPEG
6247,6247_ILSVRC2012_val_00008086.JPEG
6628,6628_ILSVRC2012_val_00049420.JPEG
6783,6783_ILSVRC2012_val_00005180.JPEG
6871,6871_ILSVRC2012_val_00031277.JPEG
6929,6929_ILSVRC2012_val_00030703.JPEG
6963,6963_ILSVRC2012_val_00031507.JPEG
7668,7668_ILSVRC2012_val_00008719.JPEG
8301,8301_ILSVRC2012_val_00042124.JPEG
8432,8432_ILSVRC2012_val_00049602.JPEG
8995,8995_ILSVRC2012_val_00034125.JPEG
10978,10978_ILSVRC2012_val_00035102.JPEG
12786,12786_ILSVRC2012_val_00022470.JPEG
12907,12907_ILSVRC2012_val_00006670.JPEG
13155,13155_ILSVRC2012_val_00033932.JPEG
13554,13554_ILSVRC2012_val_00005574.JPEG
14370,14370_ILSVRC2012_val_00010155.JPEG
14628,14628_ILSVRC2012_val_00038248.JPEG
15422,15422_ILSVRC2012_val_00015855.JPEG
16624,16624_ILSVRC2012_val_00010523.JPEG
16628,16628_ILSVRC2012_val_00036512.JPEG
16635,16635_ILSVRC2012_val_00006301.JPEG
19894,19894_ILSVRC2012_val_00027851.JPEG
21055,21055_ILSVRC2012_val_00017497.JPEG
23205,23205_ILSVRC2012_val_00013272.JPEG
23206,23206_ILSVRC2012_val_00005539.JPEG
23331,23331_ILSVRC2012_val_00000541.JPEG
24426,24426_ILSVRC2012_val_00019652.JPEG
27556,27556_ILSVRC2012_val_00030814.JPEG
27983,27983_ILSVRC2012_val_00014794.JPEG
29462,29462_ILSVRC2012_val_00005052.JPEG
32890,32890_ILSVRC2012_val_00011927.JPEG
36014,36014_ILSVRC2012_val_00008439.JPEG
36053,36053_ILSVRC2012_val_00034962.JPEG
36330,36330_ILSVRC2012_val_00024095.JPEG
43891,43891_ILSVRC2012_val_00036971.JPEG
49999,49999_ILSVRC2012_val_00006971.JPEG
