rank,image_path
201,201_ILSVRC2012_val_00039850.JPEG
536,536_ILSVRC2012_val_00000719.JPEG
991,991_ILSVRC2012_val_00014928.JPEG
1264,1264_ILSVRC2012_val_00028908.JPEG
3020,3020_ILSVRC2012_val_00049908.JPEG
3731,3731_ILSVRC2012_val_00038583.JPEG
4173,4173_ILSVRC2012_val_00014845.JPEG
6036,6036_ILSVRC2012_val_00049044.JPEG
6888,6888_ILSVRC2012_val_00001039.JPEG
6890,6890_ILSVRC2012_val_00042233.JPEG
7401,7401_ILSVRC2012_val_00009673.JPEG
7622,7622_ILSVRC2012_val_00004782.JPEG
7859,7859_ILSVRC2012_val_00026509.JPEG
8254,8254_ILSVRC2012_val_00030255.JPEG
8864,8864_ILSVRC2012_val_00019665.JPEG
10298,10298_ILSVRC2012_val_00008727.JPEG
11473,11473_ILSVRC2012_val_00031747.JPEG
12148,12148_ILSVRC2012_val_00044217.JPEG
12668,12668_ILSVRC2012_val_00028425.JPEG
12686,12686_ILSVRC2012_val_00036709.JPEG
12895,12895_ILSVRC2012_val_00028901.JPEG
13837,13837_ILSVRC2012_val_00014877.JPEG
16450,16450_ILSVRC2012_val_00011009.JPEG
16534,16534_ILSVRC2012_val_00013045.JPEG
17163,17163_ILSVRC2012_val_00034516.JPEG
18022,18022_ILSVRC2012_val_00011202.JPEG
19550,19550_ILSVRC2012_val_00034744.JPEG
19600,19600_ILSVRC2012_val_00009888.JPEG
21182,21182_ILSVRC2012_val_00040556.JPEG
21242,21242_ILSVRC2012_val_00014711.JPEG
22300,22300_ILSVRC2012_val_00018141.JPEG
22505,22505_ILSVRC2012_val_00037767.JPEG
22648,22648_ILSVRC2012_val_00005018.JPEG
24802,24802_ILSVRC2012_val_00001917.JPEG
25048,25048_ILSVRC2012_val_00044882.JPEG
25200,25200_ILSVRC2012_val_00044187.JPEG
26604,26604_ILSVRC2012_val_00035604.JPEG
26782,26782_ILSVRC2012_val_00046981.JPEG
27526,27526_ILSVRC2012_val_00041092.JPEG
30097,30097_ILSVRC2012_val_00018055.JPEG
30517,30517_ILSVRC2012_val_00021475.JPEG
30877,30877_ILSVRC2012_val_00026094.JPEG
33182,33182_ILSVRC2012_val_00001467.JPEG
34090,34090_ILSVRC2012_val_00003140.JPEG
34448,34448_ILSVRC2012_val_00033581.JPEG
34491,34491_ILSVRC2012_val_00014147.JPEG
37062,37062_ILSVRC2012_val_00031864.JPEG
39379,39379_ILSVRC2012_val_00044767.JPEG
41624,41624_ILSVRC2012_val_00003435.JPEG
43343,43343_ILSVRC2012_val_00008137.JPEG
