rank,image_path
406,406_ILSVRC2012_val_00033737.JPEG
3566,3566_ILSVRC2012_val_00045068.JPEG
4353,4353_ILSVRC2012_val_00023546.JPEG
5634,5634_ILSVRC2012_val_00027856.JPEG
7820,7820_ILSVRC2012_val_00006484.JPEG
10737,10737_ILSVRC2012_val_00038075.JPEG
11145,11145_ILSVRC2012_val_00013105.JPEG
12974,12974_ILSVRC2012_val_00034277.JPEG
14154,14154_ILSVRC2012_val_00044435.JPEG
15911,15911_ILSVRC2012_val_00045593.JPEG
15953,15953_ILSVRC2012_val_00044237.JPEG
15992,15992_ILSVRC2012_val_00009452.JPEG
16156,16156_ILSVRC2012_val_00041098.JPEG
16521,16521_ILSVRC2012_val_00045340.JPEG
16755,16755_ILSVRC2012_val_00010244.JPEG
17354,17354_ILSVRC2012_val_00042294.JPEG
17562,17562_ILSVRC2012_val_00026944.JPEG
18379,18379_ILSVRC2012_val_00009618.JPEG
18839,18839_ILSVRC2012_val_00001096.JPEG
19983,19983_ILSVRC2012_val_00034619.JPEG
20007,20007_ILSVRC2012_val_00004129.JPEG
20044,20044_ILSVRC2012_val_00005746.JPEG
20193,20193_ILSVRC2012_val_00048501.JPEG
20635,20635_ILSVRC2012_val_00011556.JPEG
21381,21381_ILSVRC2012_val_00036894.JPEG
22024,22024_ILSVRC2012_val_00011368.JPEG
22493,22493_ILSVRC2012_val_00005198.JPEG
22494,22494_ILSVRC2012_val_00003711.JPEG
22703,22703_ILSVRC2012_val_00032854.JPEG
23170,23170_ILSVRC2012_val_00034928.JPEG
23382,23382_ILSVRC2012_val_00018722.JPEG
24554,24554_ILSVRC2012_val_00012060.JPEG
25383,25383_ILSVRC2012_val_00047654.JPEG
25468,25468_ILSVRC2012_val_00031145.JPEG
26137,26137_ILSVRC2012_val_00021908.JPEG
29394,29394_ILSVRC2012_val_00017199.JPEG
30550,30550_ILSVRC2012_val_00014560.JPEG
30895,30895_ILSVRC2012_val_00045747.JPEG
31895,31895_ILSVRC2012_val_00005300.JPEG
32566,32566_ILSVRC2012_val_00007634.JPEG
32781,32781_ILSVRC2012_val_00002484.JPEG
32883,32883_ILSVRC2012_val_00022953.JPEG
33599,33599_ILSVRC2012_val_00001768.JPEG
34248,34248_ILSVRC2012_val_00005886.JPEG
37468,37468_ILSVRC2012_val_00022453.JPEG
38266,38266_ILSVRC2012_val_00031121.JPEG
39717,39717_ILSVRC2012_val_00035161.JPEG
39967,39967_ILSVRC2012_val_00042776.JPEG
40519,40519_ILSVRC2012_val_00049215.JPEG
47814,47814_ILSVRC2012_val_00024145.JPEG
