rank,image_path
56,56_ILSVRC2012_val_00017894.JPEG
971,971_ILSVRC2012_val_00007918.JPEG
2029,2029_ILSVRC2012_val_00001973.JPEG
2738,2738_ILSVRC2012_val_00044372.JPEG
3085,3085_ILSVRC2012_val_00000765.JPEG
4092,4092_ILSVRC2012_val_00017870.JPEG
5184,5184_ILSVRC2012_val_00006478.JPEG
5400,5400_ILSVRC2012_val_00021198.JPEG
5579,5579_ILSVRC2012_val_00011954.JPEG
6898,6898_ILSVRC2012_val_00028479.JPEG
7659,7659_ILSVRC2012_val_00047323.JPEG
7703,7703_ILSVRC2012_val_00037321.JPEG
8398,8398_ILSVRC2012_val_00032480.JPEG
8647,8647_ILSVRC2012_val_00035621.JPEG
8940,8940_ILSVRC2012_val_00031616.JPEG
9076,9076_ILSVRC2012_val_00015052.JPEG
9973,9973_ILSVRC2012_val_00015736.JPEG
10712,10712_ILSVRC2012_val_00001298.JPEG
11539,11539_ILSVRC2012_val_00049014.JPEG
11674,11674_ILSVRC2012_val_00006506.JPEG
11724,11724_ILSVRC2012_val_00046033.JPEG
11819,11819_ILSVRC2012_val_00039500.JPEG
12456,12456_ILSVRC2012_val_00045344.JPEG
13081,13081_ILSVRC2012_val_00042635.JPEG
14064,14064_ILSVRC2012_val_00016006.JPEG
14680,14680_ILSVRC2012_val_00037223.JPEG
14796,14796_ILSVRC2012_val_00007099.JPEG
16250,16250_ILSVRC2012_val_00001978.JPEG
16325,16325_ILSVRC2012_val_00031284.JPEG
16598,16598_ILSVRC2012_val_00011833.JPEG
18469,18469_ILSVRC2012_val_00033699.JPEG
18806,18806_ILSVRC2012_val_00011561.JPEG
23228,23228_ILSVRC2012_val_00009106.JPEG
23423,23423_ILSVRC2012_val_00032721.JPEG
23874,23874_ILSVRC2012_val_00023529.JPEG
24411,24411_ILSVRC2012_val_00018451.JPEG
26716,26716_ILSVRC2012_val_00028460.JPEG
28644,28644_ILSVRC2012_val_00014850.JPEG
30779,30779_ILSVRC2012_val_00029395.JPEG
31077,31077_ILSVRC2012_val_00041585.JPEG
31342,31342_ILSVRC2012_val_00020918.JPEG
37366,37366_ILSVRC2012_val_00039731.JPEG
42874,42874_ILSVRC2012_val_00008666.JPEG
43733,43733_ILSVRC2012_val_00021117.JPEG
44931,44931_ILSVRC2012_val_00012287.JPEG
45723,45723_ILSVRC2012_val_00010922.JPEG
46391,46391_ILSVRC2012_val_00035515.JPEG
46421,46421_ILSVRC2012_val_00002951.JPEG
46840,46840_ILSVRC2012_val_00020713.JPEG
47296,47296_ILSVRC2012_val_00008476.JPEG
