rank,image_path
692,692_ILSVRC2012_val_00005364.JPEG
716,716_ILSVRC2012_val_00016510.JPEG
1506,1506_ILSVRC2012_val_00010643.JPEG
3126,3126_ILSVRC2012_val_00034616.JPEG
5532,5532_ILSVRC2012_val_00019209.JPEG
6893,6893_ILSVRC2012_val_00035893.JPEG
10193,10193_ILSVRC2012_val_00042252.JPEG
14265,14265_ILSVRC2012_val_00036088.JPEG
15147,15147_ILSVRC2012_val_00044140.JPEG
15199,15199_ILSVRC2012_val_00032716.JPEG
15493,15493_ILSVRC2012_val_00027669.JPEG
17433,17433_ILSVRC2012_val_00044094.JPEG
17513,17513_ILSVRC2012_val_00010385.JPEG
17534,17534_ILSVRC2012_val_00000077.JPEG
20631,20631_ILSVRC2012_val_00009200.JPEG
20792,20792_ILSVRC2012_val_00001651.JPEG
21183,21183_ILSVRC2012_val_00001047.JPEG
21568,21568_ILSVRC2012_val_00005215.JPEG
22662,22662_ILSVRC2012_val_00038227.JPEG
23582,23582_ILSVRC2012_val_00044285.JPEG
24239,24239_ILSVRC2012_val_00005054.JPEG
25690,25690_ILSVRC2012_val_00006900.JPEG
25962,25962_ILSVRC2012_val_00024789.JPEG
28418,28418_ILSVRC2012_val_00010038.JPEG
28489,28489_ILSVRC2012_val_00043077.JPEG
29818,29818_ILSVRC2012_val_00027290.JPEG
31224,31224_ILSVRC2012_val_00044227.JPEG
31231,31231_ILSVRC2012_val_00018629.JPEG
32840,32840_ILSVRC2012_val_00021666.JPEG
33116,33116_ILSVRC2012_val_00003615.JPEG
33276,33276_ILSVRC2012_val_00000102.JPEG
33323,33323_ILSVRC2012_val_00032859.JPEG
33950,33950_ILSVRC2012_val_00018933.JPEG
34673,34673_ILSVRC2012_val_00004074.JPEG
36257,36257_ILSVRC2012_val_00033731.JPEG
36339,36339_ILSVRC2012_val_00000948.JPEG
36767,36767_ILSVRC2012_val_00009470.JPEG
37810,37810_ILSVRC2012_val_00004992.JPEG
38578,38578_ILSVRC2012_val_00036907.JPEG
39060,39060_ILSVRC2012_val_00017792.JPEG
39692,39692_ILSVRC2012_val_00021365.JPEG
39908,39908_ILSVRC2012_val_00035341.JPEG
40702,40702_ILSVRC2012_val_00043252.JPEG
41243,41243_ILSVRC2012_val_00037577.JPEG
41422,41422_ILSVRC2012_val_00003154.JPEG
42105,42105_ILSVRC2012_val_00010057.JPEG
42157,42157_ILSVRC2012_val_00008104.JPEG
42778,42778_ILSVRC2012_val_00034160.JPEG
44811,44811_ILSVRC2012_val_00047173.JPEG
46584,46584_ILSVRC2012_val_00003837.JPEG
