rank,image_path
248,248_ILSVRC2012_val_00032203.JPEG
3092,3092_ILSVRC2012_val_00047617.JPEG
3183,3183_ILSVRC2012_val_00003227.JPEG
3487,3487_ILSVRC2012_val_00034334.JPEG
4235,4235_ILSVRC2012_val_00003546.JPEG
4342,4342_ILSVRC2012_val_00040201.JPEG
5422,5422_ILSVRC2012_val_00010087.JPEG
6228,6228_ILSVRC2012_val_00035609.JPEG
6775,6775_ILSVRC2012_val_00044031.JPEG
8413,8413_ILSVRC2012_val_00039822.JPEG
9770,9770_ILSVRC2012_val_00040650.JPEG
11792,11792_ILSVRC2012_val_00026109.JPEG
14759,14759_ILSVRC2012_val_00007002.JPEG
15515,15515_ILSVRC2012_val_00021150.JPEG
16591,16591_ILSVRC2012_val_00038759.JPEG
16839,16839_ILSVRC2012_val_00017553.JPEG
21939,21939_ILSVRC2012_val_00025170.JPEG
23183,23183_ILSVRC2012_val_00000300.JPEG
23358,23358_ILSVRC2012_val_00006935.JPEG
23598,23598_ILSVRC2012_val_00009666.JPEG
23693,23693_ILSVRC2012_val_00017092.JPEG
23927,23927_ILSVRC2012_val_00035725.JPEG
24172,24172_ILSVRC2012_val_00000263.JPEG
24206,24206_ILSVRC2012_val_00047324.JPEG
25415,25415_ILSVRC2012_val_00019498.JPEG
25678,25678_ILSVRC2012_val_00016547.JPEG
25900,25900_ILSVRC2012_val_00043842.JPEG
27925,27925_ILSVRC2012_val_00045441.JPEG
28434,28434_ILSVRC2012_val_00009624.JPEG
28688,28688_ILSVRC2012_val_00015632.JPEG
28694,28694_ILSVRC2012_val_00027267.JPEG
28972,28972_ILSVRC2012_val_00009326.JPEG
29665,29665_ILSVRC2012_val_00015425.JPEG
29744,29744_ILSVRC2012_val_00021756.JPEG
30621,30621_ILSVRC2012_val_00031817.JPEG
32744,32744_ILSVRC2012_val_00048421.JPEG
33024,33024_ILSVRC2012_val_00041908.JPEG
35033,35033_ILSVRC2012_val_00022036.JPEG
35997,35997_ILSVRC2012_val_00005217.JPEG
36495,36495_ILSVRC2012_val_00043901.JPEG
37536,37536_ILSVRC2012_val_00001576.JPEG
38399,38399_ILSVRC2012_val_00022920.JPEG
39070,39070_ILSVRC2012_val_00043194.JPEG
42225,42225_ILSVRC2012_val_00019366.JPEG
43091,43091_ILSVRC2012_val_00027058.JPEG
45388,45388_ILSVRC2012_val_00030249.JPEG
45464,45464_ILSVRC2012_val_00027810.JPEG
47498,47498_ILSVRC2012_val_00008812.JPEG
47958,47958_ILSVRC2012_val_00012482.JPEG
48964,48964_ILSVRC2012_val_00005273.JPEG
