rank,image_path
114,114_ILSVRC2012_val_00033489.JPEG
672,672_ILSVRC2012_val_00019054.JPEG
1586,1586_ILSVRC2012_val_00010739.JPEG
1767,1767_ILSVRC2012_val_00009347.JPEG
4108,4108_ILSVRC2012_val_00048607.JPEG
4395,4395_ILSVRC2012_val_00014477.JPEG
4561,4561_ILSVRC2012_val_00032314.JPEG
5388,5388_ILSVRC2012_val_00031845.JPEG
5814,5814_ILSVRC2012_val_00028632.JPEG
5999,5999_ILSVRC2012_val_00000694.JPEG
6443,6443_ILSVRC2012_val_00040335.JPEG
7916,7916_ILSVRC2012_val_00047487.JPEG
8333,8333_ILSVRC2012_val_00006992.JPEG
8489,8489_ILSVRC2012_val_00004611.JPEG
8628,8628_ILSVRC2012_val_00020637.JPEG
9422,9422_ILSVRC2012_val_00022681.JPEG
10767,10767_ILSVRC2012_val_00044904.JPEG
12671,12671_ILSVRC2012_val_00000474.JPEG
13018,13018_ILSVRC2012_val_00032325.JPEG
13207,13207_ILSVRC2012_val_00006840.JPEG
13760,13760_ILSVRC2012_val_00042005.JPEG
13953,13953_ILSVRC2012_val_00020357.JPEG
14135,14135_ILSVRC2012_val_00030339.JPEG
14497,14497_ILSVRC2012_val_00040712.JPEG
14718,14718_ILSVRC2012_val_00017509.JPEG
15245,15245_ILSVRC2012_val_00002176.JPEG
16170,16170_ILSVRC2012_val_00039776.JPEG
16438,16438_ILSVRC2012_val_00038237.JPEG
19021,19021_ILSVRC2012_val_00034239.JPEG
20417,20417_ILSVRC2012_val_00019025.JPEG
21189,21189_ILSVRC2012_val_00014148.JPEG
22842,22842_ILSVRC2012_val_00005687.JPEG
25347,25347_ILSVRC2012_val_00032232.JPEG
28130,28130_ILSVRC2012_val_00015325.JPEG
29323,29323_ILSVRC2012_val_00045721.JPEG
29892,29892_ILSVRC2012_val_00036739.JPEG
30929,30929_ILSVRC2012_val_00018558.JPEG
31975,31975_ILSVRC2012_val_00037272.JPEG
33364,33364_ILSVRC2012_val_00031420.JPEG
34721,34721_ILSVRC2012_val_00030377.JPEG
36041,36041_ILSVRC2012_val_00015338.JPEG
37356,37356_ILSVRC2012_val_00039862.JPEG
37611,37611_ILSVRC2012_val_00017858.JPEG
37775,37775_ILSVRC2012_val_00049760.JPEG
39360,39360_ILSVRC2012_val_00006701.JPEG
43441,43441_ILSVRC2012_val_00022642.JPEG
44810,44810_ILSVRC2012_val_00027256.JPEG
48383,48383_ILSVRC2012_val_00005170.JPEG
48505,48505_ILSVRC2012_val_00013696.JPEG
49813,49813_ILSVRC2012_val_00010289.JPEG
