rank,image_path
815,815_ILSVRC2012_val_00039979.JPEG
1251,1251_ILSVRC2012_val_00028213.JPEG
1500,1500_ILSVRC2012_val_00022535.JPEG
2008,2008_ILSVRC2012_val_00030929.JPEG
2474,2474_ILSVRC2012_val_00040854.JPEG
2712,2712_ILSVRC2012_val_00020230.JPEG
2905,2905_ILSVRC2012_val_00039931.JPEG
3580,3580_ILSVRC2012_val_00017186.JPEG
3771,3771_ILSVRC2012_val_00025887.JPEG
4477,4477_ILSVRC2012_val_00038168.JPEG
5096,5096_ILSVRC2012_val_00034421.JPEG
5489,5489_ILSVRC2012_val_00004821.JPEG
5742,5742_ILSVRC2012_val_00017325.JPEG
5812,5812_ILSVRC2012_val_00045829.JPEG
5971,5971_ILSVRC2012_val_00048160.JPEG
6065,6065_ILSVRC2012_val_00002659.JPEG
7212,7212_ILSVRC2012_val_00004088.JPEG
7232,7232_ILSVRC2012_val_00043051.JPEG
7526,7526_ILSVRC2012_val_00046572.JPEG
8548,8548_ILSVRC2012_val_00043090.JPEG
8586,8586_ILSVRC2012_val_00029839.JPEG
8610,8610_ILSVRC2012_val_00020594.JPEG
8718,8718_ILSVRC2012_val_00043891.JPEG
9480,9480_ILSVRC2012_val_00011738.JPEG
9883,9883_ILSVRC2012_val_00000211.JPEG
9989,9989_ILSVRC2012_val_00036290.JPEG
10123,10123_ILSVRC2012_val_00034254.JPEG
10153,10153_ILSVRC2012_val_00017692.JPEG
10275,10275_ILSVRC2012_val_00036961.JPEG
10596,10596_ILSVRC2012_val_00039580.JPEG
11094,11094_ILSVRC2012_val_00010389.JPEG
12116,12116_ILSVRC2012_val_00010436.JPEG
12696,12696_ILSVRC2012_val_00047103.JPEG
16283,16283_ILSVRC2012_val_00043546.JPEG
16502,16502_ILSVRC2012_val_00002475.JPEG
16611,16611_ILSVRC2012_val_00035566.JPEG
17501,17501_ILSVRC2012_val_00012173.JPEG
21044,21044_ILSVRC2012_val_00026893.JPEG
22624,22624_ILSVRC2012_val_00020688.JPEG
22673,22673_ILSVRC2012_val_00043632.JPEG
23947,23947_ILSVRC2012_val_00045347.JPEG
25340,25340_ILSVRC2012_val_00015401.JPEG
25470,25470_ILSVRC2012_val_00036526.JPEG
28558,28558_ILSVRC2012_val_00011528.JPEG
31632,31632_ILSVRC2012_val_00003133.JPEG
33166,33166_ILSVRC2012_val_00005466.JPEG
33482,33482_ILSVRC2012_val_00025519.JPEG
39194,39194_ILSVRC2012_val_00043145.JPEG
46109,46109_ILSVRC2012_val_00032328.JPEG
49420,49420_ILSVRC2012_val_00024760.JPEG
