rank,image_path
140,140_ILSVRC2012_val_00000248.JPEG
1171,1171_ILSVRC2012_val_00034055.JPEG
1679,1679_ILSVRC2012_val_00044003.JPEG
2386,2386_ILSVRC2012_val_00003792.JPEG
4327,4327_ILSVRC2012_val_00032018.JPEG
5411,5411_ILSVRC2012_val_00033319.JPEG
5475,5475_ILSVRC2012_val_00004077.JPEG
9280,9280_ILSVRC2012_val_00047652.JPEG
10311,10311_ILSVRC2012_val_00016494.JPEG
14615,14615_ILSVRC2012_val_00037318.JPEG
14663,14663_ILSVRC2012_val_00011925.JPEG
14844,14844_ILSVRC2012_val_00026058.JPEG
15064,15064_ILSVRC2012_val_00007444.JPEG
15083,15083_ILSVRC2012_val_00049485.JPEG
15770,15770_ILSVRC2012_val_00025951.JPEG
16388,16388_ILSVRC2012_val_00035952.JPEG
16820,16820_ILSVRC2012_val_00028332.JPEG
17507,17507_ILSVRC2012_val_00033683.JPEG
19123,19123_ILSVRC2012_val_00030399.JPEG
19324,19324_ILSVRC2012_val_00001419.JPEG
21353,21353_ILSVRC2012_val_00041620.JPEG
24088,24088_ILSVRC2012_val_00013508.JPEG
26295,26295_ILSVRC2012_val_00036989.JPEG
26781,26781_ILSVRC2012_val_00044717.JPEG
27992,27992_ILSVRC2012_val_00037333.JPEG
30866,30866_ILSVRC2012_val_00001844.JPEG
31291,31291_ILSVRC2012_val_00031334.JPEG
31630,31630_ILSVRC2012_val_00027428.JPEG
32812,32812_ILSVRC2012_val_00046547.JPEG
32976,32976_ILSVRC2012_val_00004771.JPEG
34017,34017_ILSVRC2012_val_00039743.JPEG
34048,34048_ILSVRC2012_val_00009642.JPEG
36010,36010_ILSVRC2012_val_00023541.JPEG
37981,37981_ILSVRC2012_val_00038280.JPEG
38979,38979_ILSVRC2012_val_00009051.JPEG
39046,39046_ILSVRC2012_val_00034790.JPEG
39317,39317_ILSVRC2012_val_00011583.JPEG
42192,42192_ILSVRC2012_val_00001222.JPEG
42622,42622_ILSVRC2012_val_00008532.JPEG
42670,42670_ILSVRC2012_val_00001710.JPEG
43615,43615_ILSVRC2012_val_00038130.JPEG
45873,45873_ILSVRC2012_val_00034733.JPEG
46550,46550_ILSVRC2012_val_00019759.JPEG
48205,48205_ILSVRC2012_val_00009949.JPEG
48589,48589_ILSVRC2012_val_00017865.JPEG
48813,48813_ILSVRC2012_val_00043305.JPEG
49065,49065_ILSVRC2012_val_00043171.JPEG
49239,49239_ILSVRC2012_val_00019931.JPEG
49662,49662_ILSVRC2012_val_00014047.JPEG
49893,49893_ILSVRC2012_val_00040678.JPEG
