rank,image_path
5134,5134_ILSVRC2012_val_00025261.JPEG
9303,9303_ILSVRC2012_val_00024655.JPEG
14009,14009_ILSVRC2012_val_00025400.JPEG
16274,16274_ILSVRC2012_val_00036865.JPEG
17352,17352_ILSVRC2012_val_00016076.JPEG
17420,17420_ILSVRC2012_val_00002320.JPEG
18639,18639_ILSVRC2012_val_00004539.JPEG
21966,21966_ILSVRC2012_val_00023486.JPEG
21980,21980_ILSVRC2012_val_00003485.JPEG
22439,22439_ILSVRC2012_val_00002630.JPEG
22506,22506_ILSVRC2012_val_00000802.JPEG
22821,22821_ILSVRC2012_val_00011895.JPEG
24193,24193_ILSVRC2012_val_00004358.JPEG
25877,25877_ILSVRC2012_val_00044819.JPEG
26884,26884_ILSVRC2012_val_00033149.JPEG
27245,27245_ILSVRC2012_val_00033285.JPEG
27575,27575_ILSVRC2012_val_00039711.JPEG
27674,27674_ILSVRC2012_val_00015950.JPEG
29347,29347_ILSVRC2012_val_00034884.JPEG
29952,29952_ILSVRC2012_val_00039144.JPEG
30261,30261_ILSVRC2012_val_00004045.JPEG
30774,30774_ILSVRC2012_val_00007452.JPEG
30956,30956_ILSVRC2012_val_00046144.JPEG
32873,32873_ILSVRC2012_val_00005082.JPEG
32973,32973_ILSVRC2012_val_00043598.JPEG
33012,33012_ILSVRC2012_val_00008000.JPEG
33583,33583_ILSVRC2012_val_00024345.JPEG
34060,34060_ILSVRC2012_val_00044135.JPEG
34683,34683_ILSVRC2012_val_00047152.JPEG
34933,34933_ILSVRC2012_val_00045741.JPEG
35169,35169_ILSVRC2012_val_00039870.JPEG
35389,35389_ILSVRC2012_val_00029774.JPEG
36614,36614_ILSVRC2012_val_00014189.JPEG
36875,36875_ILSVRC2012_val_00023955.JPEG
36975,36975_ILSVRC2012_val_00025055.JPEG
37022,37022_ILSVRC2012_val_00020633.JPEG
37508,37508_ILSVRC2012_val_00038580.JPEG
37643,37643_ILSVRC2012_val_00023596.JPEG
38793,38793_ILSVRC2012_val_00000882.JPEG
39891,39891_ILSVRC2012_val_00008488.JPEG
40343,40343_ILSVRC2012_val_00001284.JPEG
42359,42359_ILSVRC2012_val_00038294.JPEG
42635,42635_ILSVRC2012_val_00009764.JPEG
43483,43483_ILSVRC2012_val_00011240.JPEG
44294,44294_ILSVRC2012_val_00023469.JPEG
45368,45368_ILSVRC2012_val_00039212.JPEG
45848,45848_ILSVRC2012_val_00014109.JPEG
47280,47280_ILSVRC2012_val_00011258.JPEG
48371,48371_ILSVRC2012_val_00038867.JPEG
49583,49583_ILSVRC2012_val_00002318.JPEG
