rank,image_path
1622,1622_ILSVRC2012_val_00008945.JPEG
1831,1831_ILSVRC2012_val_00038999.JPEG
2395,2395_ILSVRC2012_val_00045035.JPEG
2834,2834_ILSVRC2012_val_00013573.JPEG
3221,3221_ILSVRC2012_val_00030138.JPEG
3398,3398_ILSVRC2012_val_00044776.JPEG
3800,3800_ILSVRC2012_val_00029760.JPEG
3939,3939_ILSVRC2012_val_00016552.JPEG
4191,4191_ILSVRC2012_val_00043827.JPEG
4274,4274_ILSVRC2012_val_00044593.JPEG
5225,5225_ILSVRC2012_val_00034576.JPEG
6035,6035_ILSVRC2012_val_00024476.JPEG
7835,7835_ILSVRC2012_val_00032194.JPEG
8043,8043_ILSVRC2012_val_00044696.JPEG
8355,8355_ILSVRC2012_val_00028368.JPEG
8632,8632_ILSVRC2012_val_00006667.JPEG
9590,9590_ILSVRC2012_val_00033033.JPEG
9783,9783_ILSVRC2012_val_00028892.JPEG
14451,14451_ILSVRC2012_val_00025645.JPEG
14573,14573_ILSVRC2012_val_00041358.JPEG
14850,14850_ILSVRC2012_val_00036498.JPEG
15607,15607_ILSVRC2012_val_00028945.JPEG
16003,16003_ILSVRC2012_val_00027017.JPEG
16314,16314_ILSVRC2012_val_00043038.JPEG
16436,16436_ILSVRC2012_val_00039699.JPEG
19252,19252_ILSVRC2012_val_00024935.JPEG
19309,19309_ILSVRC2012_val_00014962.JPEG
20105,20105_ILSVRC2012_val_00035333.JPEG
20859,20859_ILSVRC2012_val_00038253.JPEG
20876,20876_ILSVRC2012_val_00020651.JPEG
20888,20888_ILSVRC2012_val_00045584.JPEG
22124,22124_ILSVRC2012_val_00035944.JPEG
22213,22213_ILSVRC2012_val_00003276.JPEG
23524,23524_ILSVRC2012_val_00024637.JPEG
24144,24144_ILSVRC2012_val_00013050.JPEG
25191,25191_ILSVRC2012_val_00015415.JPEG
25742,25742_ILSVRC2012_val_00047721.JPEG
26054,26054_ILSVRC2012_val_00002784.JPEG
26232,26232_ILSVRC2012_val_00006848.JPEG
26930,26930_ILSVRC2012_val_00041157.JPEG
29001,29001_ILSVRC2012_val_00040114.JPEG
29397,29397_ILSVRC2012_val_00018703.JPEG
31073,31073_ILSVRC2012_val_00010524.JPEG
32286,32286_ILSVRC2012_val_00031054.JPEG
33402,33402_ILSVRC2012_val_00028799.JPEG
39314,39314_ILSVRC2012_val_00041578.JPEG
40260,40260_ILSVRC2012_val_00007746.JPEG
41375,41375_ILSVRC2012_val_00048420.JPEG
42668,42668_ILSVRC2012_val_00018069.JPEG
45992,45992_ILSVRC2012_val_00030961.JPEG
