rank,image_path
13,13_ILSVRC2012_val_00047691.JPEG
174,174_ILSVRC2012_val_00049012.JPEG
191,191_ILSVRC2012_val_00000499.JPEG
989,989_ILSVRC2012_val_00008091.JPEG
2051,2051_ILSVRC2012_val_00008875.JPEG
2203,2203_ILSVRC2012_val_00038165.JPEG
2450,2450_ILSVRC2012_val_00048775.JPEG
4260,4260_ILSVRC2012_val_00038792.JPEG
6502,6502_ILSVRC2012_val_00026751.JPEG
7735,7735_ILSVRC2012_val_00030832.JPEG
7871,7871_ILSVRC2012_val_00009782.JPEG
9495,9495_ILSVRC2012_val_00036258.JPEG
9585,9585_ILSVRC2012_val_00001540.JPEG
9789,9789_ILSVRC2012_val_00009486.JPEG
9857,9857_ILSVRC2012_val_00036680.JPEG
9863,9863_ILSVRC2012_val_00038619.JPEG
12381,12381_ILSVRC2012_val_00013041.JPEG
13806,13806_ILSVRC2012_val_00019623.JPEG
14367,14367_ILSVRC2012_val_00037785.JPEG
15163,15163_ILSVRC2012_val_00000417.JPEG
15744,15744_ILSVRC2012_val_00016236.JPEG
17365,17365_ILSVRC2012_val_00026515.JPEG
17412,17412_ILSVRC2012_val_00030552.JPEG
17634,17634_ILSVRC2012_val_00033282.JPEG
18162,18162_ILSVRC2012_val_00026930.JPEG
18423,18423_ILSVRC2012_val_00045583.JPEG
18744,18744_ILSVRC2012_val_00025605.JPEG
18937,18937_ILSVRC2012_val_00041192.JPEG
20537,20537_ILSVRC2012_val_00002148.JPEG
21931,21931_ILSVRC2012_val_00033156.JPEG
23558,23558_ILSVRC2012_val_00006038.JPEG
23689,23689_ILSVRC2012_val_00038861.JPEG
25966,25966_ILSVRC2012_val_00034444.JPEG
28460,28460_ILSVRC2012_val_00000038.JPEG
28827,28827_ILSVRC2012_val_00042813.JPEG
30077,30077_ILSVRC2012_val_00005970.JPEG
31207,31207_ILSVRC2012_val_00040689.JPEG
32188,32188_ILSVRC2012_val_00047040.JPEG
32608,32608_ILSVRC2012_val_00041562.JPEG
33708,33708_ILSVRC2012_val_00024965.JPEG
35065,35065_ILSVRC2012_val_00002651.JPEG
37034,37034_ILSVRC2012_val_00007747.JPEG
41502,41502_ILSVRC2012_val_00019872.JPEG
43366,43366_ILSVRC2012_val_00001332.JPEG
45012,45012_ILSVRC2012_val_00034718.JPEG
46046,46046_ILSVRC2012_val_00023881.JPEG
48134,48134_ILSVRC2012_val_00031659.JPEG
48432,48432_ILSVRC2012_val_00029302.JPEG
48579,48579_ILSVRC2012_val_00005313.JPEG
48913,48913_ILSVRC2012_val_00048804.JPEG
