rank,image_path
87,87_ILSVRC2012_val_00048992.JPEG
1425,1425_ILSVRC2012_val_00036210.JPEG
1434,1434_ILSVRC2012_val_00024549.JPEG
1634,1634_ILSVRC2012_val_00015942.JPEG
2035,2035_ILSVRC2012_val_00028557.JPEG
3710,3710_ILSVRC2012_val_00002982.JPEG
4504,4504_ILSVRC2012_val_00024113.JPEG
4523,4523_ILSVRC2012_val_00024748.JPEG
5274,5274_ILSVRC2012_val_00038256.JPEG
5661,5661_ILSVRC2012_val_00005780.JPEG
5754,5754_ILSVRC2012_val_00024413.JPEG
5844,5844_ILSVRC2012_val_00024580.JPEG
6241,6241_ILSVRC2012_val_00044926.JPEG
6268,6268_ILSVRC2012_val_00045530.JPEG
6330,6330_ILSVRC2012_val_00002139.JPEG
6427,6427_ILSVRC2012_val_00013791.JPEG
6732,6732_ILSVRC2012_val_00001058.JPEG
9718,9718_ILSVRC2012_val_00014226.JPEG
10926,10926_ILSVRC2012_val_00013867.JPEG
11502,11502_ILSVRC2012_val_00037527.JPEG
11764,11764_ILSVRC2012_val_00029792.JPEG
12019,12019_ILSVRC2012_val_00028961.JPEG
12627,12627_ILSVRC2012_val_00023867.JPEG
12724,12724_ILSVRC2012_val_00036644.JPEG
13125,13125_ILSVRC2012_val_00032501.JPEG
13290,13290_ILSVRC2012_val_00019713.JPEG
14746,14746_ILSVRC2012_val_00032669.JPEG
16834,16834_ILSVRC2012_val_00037926.JPEG
17532,17532_ILSVRC2012_val_00012761.JPEG
17882,17882_ILSVRC2012_val_00024328.JPEG
18195,18195_ILSVRC2012_val_00001117.JPEG
18670,18670_ILSVRC2012_val_00007085.JPEG
19561,19561_ILSVRC2012_val_00044880.JPEG
19671,19671_ILSVRC2012_val_00029915.JPEG
19673,19673_ILSVRC2012_val_00034939.JPEG
20431,20431_ILSVRC2012_val_00047247.JPEG
21104,21104_ILSVRC2012_val_00024975.JPEG
23256,23256_ILSVRC2012_val_00045517.JPEG
23616,23616_ILSVRC2012_val_00031998.JPEG
24145,24145_ILSVRC2012_val_00010361.JPEG
25014,25014_ILSVRC2012_val_00028871.JPEG
26134,26134_ILSVRC2012_val_00004433.JPEG
26912,26912_ILSVRC2012_val_00012754.JPEG
27318,27318_ILSVRC2012_val_00031536.JPEG
28242,28242_ILSVRC2012_val_00038516.JPEG
28315,28315_ILSVRC2012_val_00016842.JPEG
28631,28631_ILSVRC2012_val_00042458.JPEG
30532,30532_ILSVRC2012_val_00049900.JPEG
35284,35284_ILSVRC2012_val_00018155.JPEG
40401,40401_ILSVRC2012_val_00020501.JPEG
