rank,image_path
178,178_ILSVRC2012_val_00036036.JPEG
1558,1558_ILSVRC2012_val_00018758.JPEG
3782,3782_ILSVRC2012_val_00002523.JPEG
5264,5264_ILSVRC2012_val_00041003.JPEG
6858,6858_ILSVRC2012_val_00018959.JPEG
7439,7439_ILSVRC2012_val_00009471.JPEG
7456,7456_ILSVRC2012_val_00011499.JPEG
10007,10007_ILSVRC2012_val_00012944.JPEG
10448,10448_ILSVRC2012_val_00006977.JPEG
11081,11081_ILSVRC2012_val_00031986.JPEG
12140,12140_ILSVRC2012_val_00032284.JPEG
12518,12518_ILSVRC2012_val_00021968.JPEG
13636,13636_ILSVRC2012_val_00036051.JPEG
13766,13766_ILSVRC2012_val_00026359.JPEG
14388,14388_ILSVRC2012_val_00030066.JPEG
14506,14506_ILSVRC2012_val_00014239.JPEG
14998,14998_ILSVRC2012_val_00033655.JPEG
15010,15010_ILSVRC2012_val_00016197.JPEG
16411,16411_ILSVRC2012_val_00008132.JPEG
16621,16621_ILSVRC2012_val_00036643.JPEG
16715,16715_ILSVRC2012_val_00020020.JPEG
16925,16925_ILSVRC2012_val_00010147.JPEG
17145,17145_ILSVRC2012_val_00033251.JPEG
17276,17276_ILSVRC2012_val_00039339.JPEG
19399,19399_ILSVRC2012_val_00003670.JPEG
20265,20265_ILSVRC2012_val_00021947.JPEG
22278,22278_ILSVRC2012_val_00015551.JPEG
23173,23173_ILSVRC2012_val_00046169.JPEG
23564,23564_ILSVRC2012_val_00003692.JPEG
23691,23691_ILSVRC2012_val_00016891.JPEG
26333,26333_ILSVRC2012_val_00032806.JPEG
27054,27054_ILSVRC2012_val_00048177.JPEG
29159,29159_ILSVRC2012_val_00018562.JPEG
30137,30137_ILSVRC2012_val_00033803.JPEG
30408,30408_ILSVRC2012_val_00002876.JPEG
30767,30767_ILSVRC2012_val_00030644.JPEG
30844,30844_ILSVRC2012_val_00001602.JPEG
35787,35787_ILSVRC2012_val_00037584.JPEG
35989,35989_ILSVRC2012_val_00043024.JPEG
39618,39618_ILSVRC2012_val_00007779.JPEG
40393,40393_ILSVRC2012_val_00013056.JPEG
40919,40919_ILSVRC2012_val_00035876.JPEG
42811,42811_ILSVRC2012_val_00025654.JPEG
43870,43870_ILSVRC2012_val_00015935.JPEG
44133,44133_ILSVRC2012_val_00049328.JPEG
44675,44675_ILSVRC2012_val_00048017.JPEG
46472,46472_ILSVRC2012_val_00043874.JPEG
46533,46533_ILSVRC2012_val_00021306.JPEG
46822,46822_ILSVRC2012_val_00045146.JPEG
48348,48348_ILSVRC2012_val_00016496.JPEG
