rank,image_path
366,366_ILSVRC2012_val_00048348.JPEG
744,744_ILSVRC2012_val_00043108.JPEG
974,974_ILSVRC2012_val_00048172.JPEG
1083,1083_ILSVRC2012_val_00048468.JPEG
3669,3669_ILSVRC2012_val_00015132.JPEG
3873,3873_ILSVRC2012_val_00018871.JPEG
3901,3901_ILSVRC2012_val_00026733.JPEG
4094,4094_ILSVRC2012_val_00002090.JPEG
4365,4365_ILSVRC2012_val_00005030.JPEG
4935,4935_ILSVRC2012_val_00005988.JPEG
5539,5539_ILSVRC2012_val_00026683.JPEG
7458,7458_ILSVRC2012_val_00037746.JPEG
7691,7691_ILSVRC2012_val_00013901.JPEG
7795,7795_ILSVRC2012_val_00044749.JPEG
7891,7891_ILSVRC2012_val_00038864.JPEG
8482,8482_ILSVRC2012_val_00038241.JPEG
8905,8905_ILSVRC2012_val_00009908.JPEG
9443,9443_ILSVRC2012_val_00005890.JPEG
10028,10028_ILSVRC2012_val_00008106.JPEG
11141,11141_ILSVRC2012_val_00031023.JPEG
12122,12122_ILSVRC2012_val_00035766.JPEG
12294,12294_ILSVRC2012_val_00029223.JPEG
12340,12340_ILSVRC2012_val_00026949.JPEG
12380,12380_ILSVRC2012_val_00022938.JPEG
12555,12555_ILSVRC2012_val_00009694.JPEG
13165,13165_ILSVRC2012_val_00012187.JPEG
14767,14767_ILSVRC2012_val_00026716.JPEG
14805,14805_ILSVRC2012_val_00032575.JPEG
17207,17207_ILSVRC2012_val_00003845.JPEG
17545,17545_ILSVRC2012_val_00046647.JPEG
18883,18883_ILSVRC2012_val_00010399.JPEG
19174,19174_ILSVRC2012_val_00034223.JPEG
19542,19542_ILSVRC2012_val_00039539.JPEG
22354,22354_ILSVRC2012_val_00007276.JPEG
22853,22853_ILSVRC2012_val_00026758.JPEG
23351,23351_ILSVRC2012_val_00038725.JPEG
23600,23600_ILSVRC2012_val_00035517.JPEG
25412,25412_ILSVRC2012_val_00017807.JPEG
26588,26588_ILSVRC2012_val_00040987.JPEG
27356,27356_ILSVRC2012_val_00008056.JPEG
29476,29476_ILSVRC2012_val_00022688.JPEG
30291,30291_ILSVRC2012_val_00036511.JPEG
31846,31846_ILSVRC2012_val_00000207.JPEG
32960,32960_ILSVRC2012_val_00017197.JPEG
33658,33658_ILSVRC2012_val_00016571.JPEG
33792,33792_ILSVRC2012_val_00049170.JPEG
37404,37404_ILSVRC2012_val_00010446.JPEG
38116,38116_ILSVRC2012_val_00003410.JPEG
38996,38996_ILSVRC2012_val_00000492.JPEG
42383,42383_ILSVRC2012_val_00018662.JPEG
