rank,image_path
1913,1913_ILSVRC2012_val_00026950.JPEG
4286,4286_ILSVRC2012_val_00010359.JPEG
6028,6028_ILSVRC2012_val_00004142.JPEG
6733,6733_ILSVRC2012_val_00020042.JPEG
10274,10274_ILSVRC2012_val_00049430.JPEG
11493,11493_ILSVRC2012_val_00025880.JPEG
12684,12684_ILSVRC2012_val_00015507.JPEG
13484,13484_ILSVRC2012_val_00047440.JPEG
13575,13575_ILSVRC2012_val_00034843.JPEG
13672,13672_ILSVRC2012_val_00049843.JPEG
14632,14632_ILSVRC2012_val_00004205.JPEG
16200,16200_ILSVRC2012_val_00049628.JPEG
17096,17096_ILSVRC2012_val_00015806.JPEG
17386,17386_ILSVRC2012_val_00020487.JPEG
18310,18310_ILSVRC2012_val_00039175.JPEG
19413,19413_ILSVRC2012_val_00008360.JPEG
19697,19697_ILSVRC2012_val_00029741.JPEG
21375,21375_ILSVRC2012_val_00015346.JPEG
24014,24014_ILSVRC2012_val_00026280.JPEG
24082,24082_ILSVRC2012_val_00030917.JPEG
25892,25892_ILSVRC2012_val_00014723.JPEG
26442,26442_ILSVRC2012_val_00021040.JPEG
27124,27124_ILSVRC2012_val_00004017.JPEG
27281,27281_ILSVRC2012_val_00027071.JPEG
27287,27287_ILSVRC2012_val_00025756.JPEG
28742,28742_ILSVRC2012_val_00009179.JPEG
30416,30416_ILSVRC2012_val_00005458.JPEG
30945,30945_ILSVRC2012_val_00035644.JPEG
31099,31099_ILSVRC2012_val_00046542.JPEG
33453,33453_ILSVRC2012_val_00026975.JPEG
33608,33608_ILSVRC2012_val_00014597.JPEG
35227,35227_ILSVRC2012_val_00033079.JPEG
35309,35309_ILSVRC2012_val_00028986.JPEG
35384,35384_ILSVRC2012_val_00019300.JPEG
35544,35544_ILSVRC2012_val_00009681.JPEG
40200,40200_ILSVRC2012_val_00009215.JPEG
43108,43108_ILSVRC2012_val_00000998.JPEG
43157,43157_ILSVRC2012_val_00015399.JPEG
44143,44143_ILSVRC2012_val_00010301.JPEG
44267,44267_ILSVRC2012_val_00028979.JPEG
44362,44362_ILSVRC2012_val_00005964.JPEG
47371,47371_ILSVRC2012_val_00006872.JPEG
47563,47563_ILSVRC2012_val_00039906.JPEG
47752,47752_ILSVRC2012_val_00041201.JPEG
48614,48614_ILSVRC2012_val_00033286.JPEG
48631,48631_ILSVRC2012_val_00041899.JPEG
48733,48733_ILSVRC2012_val_00039218.JPEG
49190,49190_ILSVRC2012_val_00026677.JPEG
49445,49445_ILSVRC2012_val_00033902.JPEG
49468,49468_ILSVRC2012_val_00026031.JPEG
