rank,image_path
1951,1951_ILSVRC2012_val_00014443.JPEG
1972,1972_ILSVRC2012_val_00027500.JPEG
2802,2802_ILSVRC2012_val_00049443.JPEG
5163,5163_ILSVRC2012_val_00010478.JPEG
6226,6226_ILSVRC2012_val_00031305.JPEG
8866,8866_ILSVRC2012_val_00011637.JPEG
12163,12163_ILSVRC2012_val_00023677.JPEG
13460,13460_ILSVRC2012_val_00021994.JPEG
15773,15773_ILSVRC2012_val_00042307.JPEG
15853,15853_ILSVRC2012_val_00022749.JPEG
16373,16373_ILSVRC2012_val_00025141.JPEG
16435,16435_ILSVRC2012_val_00047999.JPEG
16437,16437_ILSVRC2012_val_00013661.JPEG
16478,16478_ILSVRC2012_val_00034225.JPEG
16515,16515_ILSVRC2012_val_00045825.JPEG
16548,16548_ILSVRC2012_val_00023406.JPEG
17913,17913_ILSVRC2012_val_00006366.JPEG
18071,18071_ILSVRC2012_val_00049216.JPEG
18185,18185_ILSVRC2012_val_00024315.JPEG
18228,18228_ILSVRC2012_val_00013121.JPEG
18965,18965_ILSVRC2012_val_00003033.JPEG
18973,18973_ILSVRC2012_val_00021832.JPEG
19460,19460_ILSVRC2012_val_00010076.JPEG
19714,19714_ILSVRC2012_val_00022967.JPEG
20139,20139_ILSVRC2012_val_00034042.JPEG
20144,20144_ILSVRC2012_val_00005188.JPEG
20180,20180_ILSVRC2012_val_00039839.JPEG
21013,21013_ILSVRC2012_val_00042058.JPEG
21380,21380_ILSVRC2012_val_00021505.JPEG
22488,22488_ILSVRC2012_val_00020558.JPEG
22707,22707_ILSVRC2012_val_00007807.JPEG
23292,23292_ILSVRC2012_val_00028937.JPEG
24240,24240_ILSVRC2012_val_00001176.JPEG
25824,25824_ILSVRC2012_val_00021448.JPEG
26672,26672_ILSVRC2012_val_00015024.JPEG
26934,26934_ILSVRC2012_val_00015222.JPEG
28357,28357_ILSVRC2012_val_00013064.JPEG
29099,29099_ILSVRC2012_val_00036030.JPEG
29467,29467_ILSVRC2012_val_00017683.JPEG
29620,29620_ILSVRC2012_val_00004672.JPEG
30020,30020_ILSVRC2012_val_00040050.JPEG
30194,30194_ILSVRC2012_val_00011419.JPEG
30612,30612_ILSVRC2012_val_00010738.JPEG
31638,31638_ILSVRC2012_val_00021890.JPEG
32256,32256_ILSVRC2012_val_00016825.JPEG
38379,38379_ILSVRC2012_val_00025226.JPEG
39411,39411_ILSVRC2012_val_00004093.JPEG
43138,43138_ILSVRC2012_val_00018465.JPEG
47442,47442_ILSVRC2012_val_00030654.JPEG
47651,47651_ILSVRC2012_val_00047682.JPEG
