rank,image_path
146,146_ILSVRC2012_val_00028343.JPEG
589,589_ILSVRC2012_val_00000407.JPEG
1538,1538_ILSVRC2012_val_00040778.JPEG
4452,4452_ILSVRC2012_val_00021597.JPEG
5176,5176_ILSVRC2012_val_00011669.JPEG
5284,5284_ILSVRC2012_val_00038010.JPEG
7924,7924_ILSVRC2012_val_00044296.JPEG
8068,8068_ILSVRC2012_val_00046083.JPEG
11901,11901_ILSVRC2012_val_00029818.JPEG
13336,13336_ILSVRC2012_val_00034921.JPEG
13871,13871_ILSVRC2012_val_00049152.JPEG
14344,14344_ILSVRC2012_val_00040944.JPEG
14880,14880_ILSVRC2012_val_00032551.JPEG
15341,15341_ILSVRC2012_val_00021864.JPEG
16904,16904_ILSVRC2012_val_00010231.JPEG
17016,17016_ILSVRC2012_val_00033632.JPEG
18340,18340_ILSVRC2012_val_00049042.JPEG
18757,18757_ILSVRC2012_val_00009635.JPEG
19506,19506_ILSVRC2012_val_00003814.JPEG
19664,19664_ILSVRC2012_val_00029660.JPEG
19838,19838_ILSVRC2012_val_00035087.JPEG
21239,21239_ILSVRC2012_val_00001502.JPEG
21678,21678_ILSVRC2012_val_00009720.JPEG
24282,24282_ILSVRC2012_val_00045673.JPEG
24357,24357_ILSVRC2012_val_00037198.JPEG
25151,25151_ILSVRC2012_val_00031237.JPEG
25967,25967_ILSVRC2012_val_00022160.JPEG
27145,27145_ILSVRC2012_val_00031267.JPEG
29228,29228_ILSVRC2012_val_00025252.JPEG
29366,29366_ILSVRC2012_val_00023798.JPEG
29956,29956_ILSVRC2012_val_00029109.JPEG
30155,30155_ILSVRC2012_val_00030054.JPEG
31156,31156_ILSVRC2012_val_00011617.JPEG
31205,31205_ILSVRC2012_val_00031820.JPEG
31741,31741_ILSVRC2012_val_00018877.JPEG
32846,32846_ILSVRC2012_val_00043616.JPEG
34039,34039_ILSVRC2012_val_00022915.JPEG
34444,34444_ILSVRC2012_val_00020792.JPEG
36191,36191_ILSVRC2012_val_00021157.JPEG
37949,37949_ILSVRC2012_val_00034370.JPEG
39383,39383_ILSVRC2012_val_00036555.JPEG
40713,40713_ILSVRC2012_val_00014966.JPEG
41477,41477_ILSVRC2012_val_00038182.JPEG
43623,43623_ILSVRC2012_val_00015860.JPEG
46492,46492_ILSVRC2012_val_00002451.JPEG
46781,46781_ILSVRC2012_val_00044990.JPEG
46872,46872_ILSVRC2012_val_00032504.JPEG
48076,48076_ILSVRC2012_val_00012102.JPEG
49632,49632_ILSVRC2012_val_00042076.JPEG
49836,49836_ILSVRC2012_val_00009332.JPEG
