rank,image_path
540,540_ILSVRC2012_val_00003860.JPEG
819,819_ILSVRC2012_val_00036495.JPEG
1527,1527_ILSVRC2012_val_00022113.JPEG
1905,1905_ILSVRC2012_val_00005172.JPEG
2152,2152_ILSVRC2012_val_00037046.JPEG
3806,3806_ILSVRC2012_val_00004084.JPEG
4049,4049_ILSVRC2012_val_00007486.JPEG
4209,4209_ILSVRC2012_val_00046976.JPEG
5843,5843_ILSVRC2012_val_00008686.JPEG
6291,6291_ILSVRC2012_val_00031235.JPEG
8013,8013_ILSVRC2012_val_00034583.JPEG
8144,8144_ILSVRC2012_val_00020430.JPEG
8302,8302_ILSVRC2012_val_00035654.JPEG
9439,9439_ILSVRC2012_val_00027929.JPEG
9715,9715_ILSVRC2012_val_00039922.JPEG
9945,9945_ILSVRC2012_val_00029500.JPEG
11971,11971_ILSVRC2012_val_00042302.JPEG
12288,12288_ILSVRC2012_val_00017228.JPEG
12822,12822_ILSVRC2012_val_00006579.JPEG
12908,12908_ILSVRC2012_val_00017274.JPEG
12966,12966_ILSVRC2012_val_00045924.JPEG
13894,13894_ILSVRC2012_val_00022771.JPEG
14081,14081_ILSVRC2012_val_00040769.JPEG
14214,14214_ILSVRC2012_val_00013940.JPEG
14603,14603_ILSVRC2012_val_00001138.JPEG
14799,14799_ILSVRC2012_val_00033412.JPEG
15375,15375_ILSVRC2012_val_00016514.JPEG
15521,15521_ILSVRC2012_val_00022925.JPEG
15891,15891_ILSVRC2012_val_00000052.JPEG
16574,16574_ILSVRC2012_val_00006694.JPEG
16705,16705_ILSVRC2012_val_00017899.JPEG
18574,18574_ILSVRC2012_val_00025348.JPEG
19005,19005_ILSVRC2012_val_00009946.JPEG
20662,20662_ILSVRC2012_val_00025438.JPEG
21341,21341_ILSVRC2012_val_00044504.JPEG
21699,21699_ILSVRC2012_val_00019710.JPEG
24891,24891_ILSVRC2012_val_00040894.JPEG
25543,25543_ILSVRC2012_val_00017372.JPEG
27835,27835_ILSVRC2012_val_00047938.JPEG
29000,29000_ILSVRC2012_val_00031386.JPEG
29445,29445_ILSVRC2012_val_00002524.JPEG
30361,30361_ILSVRC2012_val_00045656.JPEG
30928,30928_ILSVRC2012_val_00020772.JPEG
32021,32021_ILSVRC2012_val_00041298.JPEG
32317,32317_ILSVRC2012_val_00035529.JPEG
38550,38550_ILSVRC2012_val_00045553.JPEG
39325,39325_ILSVRC2012_val_00048148.JPEG
39885,39885_ILSVRC2012_val_00016441.JPEG
45167,45167_ILSVRC2012_val_00011474.JPEG
45498,45498_ILSVRC2012_val_00044893.JPEG
