rank,image_path
372,372_ILSVRC2012_val_00034872.JPEG
601,601_ILSVRC2012_val_00036224.JPEG
931,931_ILSVRC2012_val_00020668.JPEG
960,960_ILSVRC2012_val_00009254.JPEG
2054,2054_ILSVRC2012_val_00043025.JPEG
3045,3045_ILSVRC2012_val_00007541.JPEG
3391,3391_ILSVRC2012_val_00029936.JPEG
3935,3935_ILSVRC2012_val_00006734.JPEG
3954,3954_ILSVRC2012_val_00041647.JPEG
4596,4596_ILSVRC2012_val_00038889.JPEG
4666,4666_ILSVRC2012_val_00026422.JPEG
4892,4892_ILSVRC2012_val_00008562.JPEG
5302,5302_ILSVRC2012_val_00028238.JPEG
6150,6150_ILSVRC2012_val_00023566.JPEG
7708,7708_ILSVRC2012_val_00003213.JPEG
8438,8438_ILSVRC2012_val_00000726.JPEG
8976,8976_ILSVRC2012_val_00007728.JPEG
9176,9176_ILSVRC2012_val_00018072.JPEG
9714,9714_ILSVRC2012_val_00037650.JPEG
10472,10472_ILSVRC2012_val_00038987.JPEG
10544,10544_ILSVRC2012_val_00043982.JPEG
10682,10682_ILSVRC2012_val_00039103.JPEG
10893,10893_ILSVRC2012_val_00003383.JPEG
11354,11354_ILSVRC2012_val_00017114.JPEG
12436,12436_ILSVRC2012_val_00036141.JPEG
12584,12584_ILSVRC2012_val_00008419.JPEG
12658,12658_ILSVRC2012_val_00044728.JPEG
12673,12673_ILSVRC2012_val_00035718.JPEG
14962,14962_ILSVRC2012_val_00002903.JPEG
17263,17263_ILSVRC2012_val_00020969.JPEG
18248,18248_ILSVRC2012_val_00031436.JPEG
18345,18345_ILSVRC2012_val_00044114.JPEG
20261,20261_ILSVRC2012_val_00013425.JPEG
23392,23392_ILSVRC2012_val_00005155.JPEG
25242,25242_ILSVRC2012_val_00044044.JPEG
25258,25258_ILSVRC2012_val_00042540.JPEG
25953,25953_ILSVRC2012_val_00012860.JPEG
26353,26353_ILSVRC2012_val_00023776.JPEG
26488,26488_ILSVRC2012_val_00031622.JPEG
31370,31370_ILSVRC2012_val_00004409.JPEG
31506,31506_ILSVRC2012_val_00006320.JPEG
34781,34781_ILSVRC2012_val_00029690.JPEG
34852,34852_ILSVRC2012_val_00039772.JPEG
35629,35629_ILSVRC2012_val_00009878.JPEG
38401,38401_ILSVRC2012_val_00020219.JPEG
38741,38741_ILSVRC2012_val_00017517.JPEG
40166,40166_ILSVRC2012_val_00025242.JPEG
40964,40964_ILSVRC2012_val_00023870.JPEG
43863,43863_ILSVRC2012_val_00037899.JPEG
47621,47621_ILSVRC2012_val_00019336.JPEG
