rank,image_path
2707,2707_ILSVRC2012_val_00006150.JPEG
9735,9735_ILSVRC2012_val_00014558.JPEG
11656,11656_ILSVRC2012_val_00009261.JPEG
13870,13870_ILSVRC2012_val_00049054.JPEG
14179,14179_ILSVRC2012_val_00025392.JPEG
14343,14343_ILSVRC2012_val_00009195.JPEG
15086,15086_ILSVRC2012_val_00011307.JPEG
16447,16447_ILSVRC2012_val_00000272.JPEG
16747,16747_ILSVRC2012_val_00007566.JPEG
16880,16880_ILSVRC2012_val_00012264.JPEG
16975,16975_ILSVRC2012_val_00041467.JPEG
18764,18764_ILSVRC2012_val_00037594.JPEG
18827,18827_ILSVRC2012_val_00039705.JPEG
19210,19210_ILSVRC2012_val_00015834.JPEG
20076,20076_ILSVRC2012_val_00023325.JPEG
20946,20946_ILSVRC2012_val_00044953.JPEG
21256,21256_ILSVRC2012_val_00033275.JPEG
21261,21261_ILSVRC2012_val_00031120.JPEG
21584,21584_ILSVRC2012_val_00027440.JPEG
23169,23169_ILSVRC2012_val_00027018.JPEG
24491,24491_ILSVRC2012_val_00007557.JPEG
25493,25493_ILSVRC2012_val_00020434.JPEG
26615,26615_ILSVRC2012_val_00012502.JPEG
26834,26834_ILSVRC2012_val_00013437.JPEG
27141,27141_ILSVRC2012_val_00048426.JPEG
28905,28905_ILSVRC2012_val_00037788.JPEG
30023,30023_ILSVRC2012_val_00013013.JPEG
31005,31005_ILSVRC2012_val_00002801.JPEG
31195,31195_ILSVRC2012_val_00004094.JPEG
31579,31579_ILSVRC2012_val_00032604.JPEG
34038,34038_ILSVRC2012_val_00041360.JPEG
34215,34215_ILSVRC2012_val_00005433.JPEG
36167,36167_ILSVRC2012_val_00035907.JPEG
36300,36300_ILSVRC2012_val_00002943.JPEG
36356,36356_ILSVRC2012_val_00033526.JPEG
36810,36810_ILSVRC2012_val_00022424.JPEG
37312,37312_ILSVRC2012_val_00029432.JPEG
37601,37601_ILSVRC2012_val_00017707.JPEG
37916,37916_ILSVRC2012_val_00023280.JPEG
38038,38038_ILSVRC2012_val_00049098.JPEG
39201,39201_ILSVRC2012_val_00016975.JPEG
40285,40285_ILSVRC2012_val_00005769.JPEG
41140,41140_ILSVRC2012_val_00038971.JPEG
42059,42059_ILSVRC2012_val_00005736.JPEG
43245,43245_ILSVRC2012_val_00045260.JPEG
44878,44878_ILSVRC2012_val_00016408.JPEG
44929,44929_ILSVRC2012_val_00044590.JPEG
45374,45374_ILSVRC2012_val_00016716.JPEG
45877,45877_ILSVRC2012_val_00039546.JPEG
48987,48987_ILSVRC2012_val_00000584.JPEG
