rank,image_path
8385,8385_ILSVRC2012_val_00025818.JPEG
9400,9400_ILSVRC2012_val_00029496.JPEG
13238,13238_ILSVRC2012_val_00009216.JPEG
15057,15057_ILSVRC2012_val_00034773.JPEG
18176,18176_ILSVRC2012_val_00019989.JPEG
19794,19794_ILSVRC2012_val_00003431.JPEG
22158,22158_ILSVRC2012_val_00023692.JPEG
23734,23734_ILSVRC2012_val_00004335.JPEG
25373,25373_ILSVRC2012_val_00007224.JPEG
29197,29197_ILSVRC2012_val_00039159.JPEG
29693,29693_ILSVRC2012_val_00011677.JPEG
32636,32636_ILSVRC2012_val_00029903.JPEG
33826,33826_ILSVRC2012_val_00009558.JPEG
34119,34119_ILSVRC2012_val_00035171.JPEG
34878,34878_ILSVRC2012_val_00026542.JPEG
35395,35395_ILSVRC2012_val_00040121.JPEG
35854,35854_ILSVRC2012_val_00019972.JPEG
35925,35925_ILSVRC2012_val_00046074.JPEG
35964,35964_ILSVRC2012_val_00007882.JPEG
36424,36424_ILSVRC2012_val_00011853.JPEG
37377,37377_ILSVRC2012_val_00019042.JPEG
38035,38035_ILSVRC2012_val_00043771.JPEG
38216,38216_ILSVRC2012_val_00008316.JPEG
39621,39621_ILSVRC2012_val_00024056.JPEG
40198,40198_ILSVRC2012_val_00030120.JPEG
40202,40202_ILSVRC2012_val_00012895.JPEG
41857,41857_ILSVRC2012_val_00002688.JPEG
42818,42818_ILSVRC2012_val_00035063.JPEG
43380,43380_ILSVRC2012_val_00038493.JPEG
44011,44011_ILSVRC2012_val_00013797.JPEG
44060,44060_ILSVRC2012_val_00028677.JPEG
44862,44862_ILSVRC2012_val_00031117.JPEG
45410,45410_ILSVRC2012_val_00037282.JPEG
45865,45865_ILSVRC2012_val_00008352.JPEG
46352,46352_ILSVRC2012_val_00034665.JPEG
46797,46797_ILSVRC2012_val_00039025.JPEG
46925,46925_ILSVRC2012_val_00041612.JPEG
47338,47338_ILSVRC2012_val_00011638.JPEG
47422,47422_ILSVRC2012_val_00033819.JPEG
47688,47688_ILSVRC2012_val_00023989.JPEG
48146,48146_ILSVRC2012_val_00015506.JPEG
48164,48164_ILSVRC2012_val_00004271.JPEG
48201,48201_ILSVRC2012_val_00040800.JPEG
48251,48251_ILSVRC2012_val_00048990.JPEG
48344,48344_ILSVRC2012_val_00011808.JPEG
48362,48362_ILSVRC2012_val_00015065.JPEG
48552,48552_ILSVRC2012_val_00018347.JPEG
48602,48602_ILSVRC2012_val_00022957.JPEG
49631,49631_ILSVRC2012_val_00014359.JPEG
49665,49665_ILSVRC2012_val_00029174.JPEG
