rank,image_path
331,331_ILSVRC2012_val_00017095.JPEG
1546,1546_ILSVRC2012_val_00036973.JPEG
1906,1906_ILSVRC2012_val_00028899.JPEG
2267,2267_ILSVRC2012_val_00006600.JPEG
2288,2288_ILSVRC2012_val_00027800.JPEG
3482,3482_ILSVRC2012_val_00012189.JPEG
4794,4794_ILSVRC2012_val_00022766.JPEG
5819,5819_ILSVRC2012_val_00011795.JPEG
6615,6615_ILSVRC2012_val_00027605.JPEG
6949,6949_ILSVRC2012_val_00046377.JPEG
7856,7856_ILSVRC2012_val_00013261.JPEG
8493,8493_ILSVRC2012_val_00043101.JPEG
9559,9559_ILSVRC2012_val_00040705.JPEG
9746,9746_ILSVRC2012_val_00009184.JPEG
10232,10232_ILSVRC2012_val_00041254.JPEG
11328,11328_ILSVRC2012_val_00001468.JPEG
11395,11395_ILSVRC2012_val_00027589.JPEG
13048,13048_ILSVRC2012_val_00046471.JPEG
13300,13300_ILSVRC2012_val_00026506.JPEG
13826,13826_ILSVRC2012_val_00006073.JPEG
15366,15366_ILSVRC2012_val_00022312.JPEG
16763,16763_ILSVRC2012_val_00011670.JPEG
16926,16926_ILSVRC2012_val_00020755.JPEG
17588,17588_ILSVRC2012_val_00033880.JPEG
19613,19613_ILSVRC2012_val_00043962.JPEG
21692,21692_ILSVRC2012_val_00011579.JPEG
22065,22065_ILSVRC2012_val_00007308.JPEG
22443,22443_ILSVRC2012_val_00019591.JPEG
22870,22870_ILSVRC2012_val_00048249.JPEG
23622,23622_ILSVRC2012_val_00021134.JPEG
24850,24850_ILSVRC2012_val_00036898.JPEG
26311,26311_ILSVRC2012_val_00021627.JPEG
28317,28317_ILSVRC2012_val_00024202.JPEG
29230,29230_ILSVRC2012_val_00027308.JPEG
31380,31380_ILSVRC2012_val_00037792.JPEG
33434,33434_ILSVRC2012_val_00041843.JPEG
37448,37448_ILSVRC2012_val_00044650.JPEG
38083,38083_ILSVRC2012_val_00023535.JPEG
38313,38313_ILSVRC2012_val_00017083.JPEG
38314,38314_ILSVRC2012_val_00037169.JPEG
38549,38549_ILSVRC2012_val_00012687.JPEG
38777,38777_ILSVRC2012_val_00045333.JPEG
40773,40773_ILSVRC2012_val_00037365.JPEG
43254,43254_ILSVRC2012_val_00037478.JPEG
43261,43261_ILSVRC2012_val_00025233.JPEG
43572,43572_ILSVRC2012_val_00038120.JPEG
44745,44745_ILSVRC2012_val_00044225.JPEG
45447,45447_ILSVRC2012_val_00020572.JPEG
46846,46846_ILSVRC2012_val_00003328.JPEG
47160,47160_ILSVRC2012_val_00011097.JPEG
