rank,image_path
1021,1021_ILSVRC2012_val_00024881.JPEG
1312,1312_ILSVRC2012_val_00039242.JPEG
2130,2130_ILSVRC2012_val_00036343.JPEG
2840,2840_ILSVRC2012_val_00019581.JPEG
3579,3579_ILSVRC2012_val_00040131.JPEG
3851,3851_ILSVRC2012_val_00003922.JPEG
4961,4961_ILSVRC2012_val_00008311.JPEG
5708,5708_ILSVRC2012_val_00040185.JPEG
6210,6210_ILSVRC2012_val_00020468.JPEG
6649,6649_ILSVRC2012_val_00040585.JPEG
8895,8895_ILSVRC2012_val_00014887.JPEG
11531,11531_ILSVRC2012_val_00020460.JPEG
11734,11734_ILSVRC2012_val_00017935.JPEG
12810,12810_ILSVRC2012_val_00023250.JPEG
12857,12857_ILSVRC2012_val_00034571.JPEG
13026,13026_ILSVRC2012_val_00014234.JPEG
13122,13122_ILSVRC2012_val_00023939.JPEG
13162,13162_ILSVRC2012_val_00004403.JPEG
13266,13266_ILSVRC2012_val_00039556.JPEG
15592,15592_ILSVRC2012_val_00015405.JPEG
18209,18209_ILSVRC2012_val_00025539.JPEG
18940,18940_ILSVRC2012_val_00015217.JPEG
19442,19442_ILSVRC2012_val_00020535.JPEG
19927,19927_ILSVRC2012_val_00046072.JPEG
21200,21200_ILSVRC2012_val_00014024.JPEG
21340,21340_ILSVRC2012_val_00029477.JPEG
26015,26015_ILSVRC2012_val_00027939.JPEG
26087,26087_ILSVRC2012_val_00000992.JPEG
26456,26456_ILSVRC2012_val_00049819.JPEG
27144,27144_ILSVRC2012_val_00047981.JPEG
27387,27387_ILSVRC2012_val_00023968.JPEG
28257,28257_ILSVRC2012_val_00034260.JPEG
28842,28842_ILSVRC2012_val_00011191.JPEG
28848,28848_ILSVRC2012_val_00024258.JPEG
29485,29485_ILSVRC2012_val_00011434.JPEG
30458,30458_ILSVRC2012_val_00020930.JPEG
32757,32757_ILSVRC2012_val_00037804.JPEG
34286,34286_ILSVRC2012_val_00033003.JPEG
35145,35145_ILSVRC2012_val_00008552.JPEG
35471,35471_ILSVRC2012_val_00030429.JPEG
36110,36110_ILSVRC2012_val_00026622.JPEG
41528,41528_ILSVRC2012_val_00049931.JPEG
41556,41556_ILSVRC2012_val_00013260.JPEG
41854,41854_ILSVRC2012_val_00002111.JPEG
42793,42793_ILSVRC2012_val_00041894.JPEG
44254,44254_ILSVRC2012_val_00017892.JPEG
47520,47520_ILSVRC2012_val_00027114.JPEG
47689,47689_ILSVRC2012_val_00035117.JPEG
48634,48634_ILSVRC2012_val_00014030.JPEG
49002,49002_ILSVRC2012_val_00000838.JPEG
