rank,image_path
3432,3432_ILSVRC2012_val_00049724.JPEG
6049,6049_ILSVRC2012_val_00004179.JPEG
7597,7597_ILSVRC2012_val_00028603.JPEG
9455,9455_ILSVRC2012_val_00009408.JPEG
10043,10043_ILSVRC2012_val_00005389.JPEG
10390,10390_ILSVRC2012_val_00027541.JPEG
13992,13992_ILSVRC2012_val_00018964.JPEG
14151,14151_ILSVRC2012_val_00004975.JPEG
14207,14207_ILSVRC2012_val_00010463.JPEG
14226,14226_ILSVRC2012_val_00029780.JPEG
16369,16369_ILSVRC2012_val_00043220.JPEG
18713,18713_ILSVRC2012_val_00048872.JPEG
19001,19001_ILSVRC2012_val_00019021.JPEG
19749,19749_ILSVRC2012_val_00049463.JPEG
21571,21571_ILSVRC2012_val_00005585.JPEG
24589,24589_ILSVRC2012_val_00036502.JPEG
25520,25520_ILSVRC2012_val_00030356.JPEG
27122,27122_ILSVRC2012_val_00020121.JPEG
27930,27930_ILSVRC2012_val_00049005.JPEG
28342,28342_ILSVRC2012_val_00039827.JPEG
28699,28699_ILSVRC2012_val_00013232.JPEG
28753,28753_ILSVRC2012_val_00043034.JPEG
30001,30001_ILSVRC2012_val_00048417.JPEG
30189,30189_ILSVRC2012_val_00030328.JPEG
31585,31585_ILSVRC2012_val_00022989.JPEG
32443,32443_ILSVRC2012_val_00031759.JPEG
33598,33598_ILSVRC2012_val_00015272.JPEG
36268,36268_ILSVRC2012_val_00027792.JPEG
36610,36610_ILSVRC2012_val_00001384.JPEG
37374,37374_ILSVRC2012_val_00037173.JPEG
38015,38015_ILSVRC2012_val_00005573.JPEG
38268,38268_ILSVRC2012_val_00013663.JPEG
39430,39430_ILSVRC2012_val_00016455.JPEG
40087,40087_ILSVRC2012_val_00042579.JPEG
40994,40994_ILSVRC2012_val_00011843.JPEG
41097,41097_ILSVRC2012_val_00048667.JPEG
41311,41311_ILSVRC2012_val_00020204.JPEG
41445,41445_ILSVRC2012_val_00012868.JPEG
43871,43871_ILSVRC2012_val_00012656.JPEG
43904,43904_ILSVRC2012_val_00047666.JPEG
44757,44757_ILSVRC2012_val_00039179.JPEG
45028,45028_ILSVRC2012_val_00030884.JPEG
45043,45043_ILSVRC2012_val_00032096.JPEG
45637,45637_ILSVRC2012_val_00021340.JPEG
46211,46211_ILSVRC2012_val_00017661.JPEG
46241,46241_ILSVRC2012_val_00006361.JPEG
46356,46356_ILSVRC2012_val_00014072.JPEG
47273,47273_ILSVRC2012_val_00026963.JPEG
47337,47337_ILSVRC2012_val_00010120.JPEG
48625,48625_ILSVRC2012_val_00014396.JPEG
