rank,image_path
826,826_ILSVRC2012_val_00022503.JPEG
1595,1595_ILSVRC2012_val_00000483.JPEG
2517,2517_ILSVRC2012_val_00016685.JPEG
2549,2549_ILSVRC2012_val_00045456.JPEG
3845,3845_ILSVRC2012_val_00005382.JPEG
4169,4169_ILSVRC2012_val_00000569.JPEG
5528,5528_ILSVRC2012_val_00024920.JPEG
5855,5855_ILSVRC2012_val_00001553.JPEG
5904,5904_ILSVRC2012_val_00049827.JPEG
5922,5922_ILSVRC2012_val_00041138.JPEG
7725,7725_ILSVRC2012_val_00007628.JPEG
8851,8851_ILSVRC2012_val_00006317.JPEG
9785,9785_ILSVRC2012_val_00009308.JPEG
11154,11154_ILSVRC2012_val_00025050.JPEG
11761,11761_ILSVRC2012_val_00029597.JPEG
12720,12720_ILSVRC2012_val_00035796.JPEG
15693,15693_ILSVRC2012_val_00011022.JPEG
17214,17214_ILSVRC2012_val_00040325.JPEG
17606,17606_ILSVRC2012_val_00001866.JPEG
19233,19233_ILSVRC2012_val_00005131.JPEG
19239,19239_ILSVRC2012_val_00040364.JPEG
20711,20711_ILSVRC2012_val_00034649.JPEG
24374,24374_ILSVRC2012_val_00002202.JPEG
24807,24807_ILSVRC2012_val_00037352.JPEG
25588,25588_ILSVRC2012_val_00047273.JPEG
25770,25770_ILSVRC2012_val_00044244.JPEG
26229,26229_ILSVRC2012_val_00042469.JPEG
27152,27152_ILSVRC2012_val_00049721.JPEG
27270,27270_ILSVRC2012_val_00035911.JPEG
28823,28823_ILSVRC2012_val_00042546.JPEG
31481,31481_ILSVRC2012_val_00046532.JPEG
34588,34588_ILSVRC2012_val_00040838.JPEG
34703,34703_ILSVRC2012_val_00036780.JPEG
34889,34889_ILSVRC2012_val_00034304.JPEG
35019,35019_ILSVRC2012_val_00016624.JPEG
36288,36288_ILSVRC2012_val_00013851.JPEG
36652,36652_ILSVRC2012_val_00009026.JPEG
38283,38283_ILSVRC2012_val_00047116.JPEG
40313,40313_ILSVRC2012_val_00047155.JPEG
40679,40679_ILSVRC2012_val_00036801.JPEG
41424,41424_ILSVRC2012_val_00002527.JPEG
41954,41954_ILSVRC2012_val_00009577.JPEG
42902,42902_ILSVRC2012_val_00007357.JPEG
43075,43075_ILSVRC2012_val_00009417.JPEG
44407,44407_ILSVRC2012_val_00034772.JPEG
44803,44803_ILSVRC2012_val_00026607.JPEG
44882,44882_ILSVRC2012_val_00020080.JPEG
47113,47113_ILSVRC2012_val_00007490.JPEG
47342,47342_ILSVRC2012_val_00028727.JPEG
49114,49114_ILSVRC2012_val_00006051.JPEG
