rank,image_path
119,119_ILSVRC2012_val_00002388.JPEG
770,770_ILSVRC2012_val_00000278.JPEG
823,823_ILSVRC2012_val_00008221.JPEG
1216,1216_ILSVRC2012_val_00047229.JPEG
2013,2013_ILSVRC2012_val_00022442.JPEG
2295,2295_ILSVRC2012_val_00014346.JPEG
2681,2681_ILSVRC2012_val_00001336.JPEG
3256,3256_ILSVRC2012_val_00025758.JPEG
3652,3652_ILSVRC2012_val_00045393.JPEG
3944,3944_ILSVRC2012_val_00042296.JPEG
4742,4742_ILSVRC2012_val_00048142.JPEG
4854,4854_ILSVRC2012_val_00048155.JPEG
5059,5059_ILSVRC2012_val_00005634.JPEG
5650,5650_ILSVRC2012_val_00033962.JPEG
6069,6069_ILSVRC2012_val_00025360.JPEG
7308,7308_ILSVRC2012_val_00011237.JPEG
7491,7491_ILSVRC2012_val_00022441.JPEG
7706,7706_ILSVRC2012_val_00021753.JPEG
8177,8177_ILSVRC2012_val_00014165.JPEG
8431,8431_ILSVRC2012_val_00038288.JPEG
8867,8867_ILSVRC2012_val_00017252.JPEG
9986,9986_ILSVRC2012_val_00013460.JPEG
10196,10196_ILSVRC2012_val_00035127.JPEG
10361,10361_ILSVRC2012_val_00003348.JPEG
10679,10679_ILSVRC2012_val_00046802.JPEG
10741,10741_ILSVRC2012_val_00031824.JPEG
10800,10800_ILSVRC2012_val_00033434.JPEG
11024,11024_ILSVRC2012_val_00009649.JPEG
11240,11240_ILSVRC2012_val_00045200.JPEG
11393,11393_ILSVRC2012_val_00040266.JPEG
11607,11607_ILSVRC2012_val_00034631.JPEG
12382,12382_ILSVRC2012_val_00026420.JPEG
12558,12558_ILSVRC2012_val_00032062.JPEG
12773,12773_ILSVRC2012_val_00009536.JPEG
13325,13325_ILSVRC2012_val_00037031.JPEG
14568,14568_ILSVRC2012_val_00046307.JPEG
14938,14938_ILSVRC2012_val_00035502.JPEG
15915,15915_ILSVRC2012_val_00018310.JPEG
16670,16670_ILSVRC2012_val_00001678.JPEG
16812,16812_ILSVRC2012_val_00032617.JPEG
16861,16861_ILSVRC2012_val_00008236.JPEG
17486,17486_ILSVRC2012_val_00043180.JPEG
19741,19741_ILSVRC2012_val_00000051.JPEG
22252,22252_ILSVRC2012_val_00044077.JPEG
23198,23198_ILSVRC2012_val_00024106.JPEG
23572,23572_ILSVRC2012_val_00000420.JPEG
24484,24484_ILSVRC2012_val_00040014.JPEG
33214,33214_ILSVRC2012_val_00048824.JPEG
33412,33412_ILSVRC2012_val_00011489.JPEG
49847,49847_ILSVRC2012_val_00034492.JPEG
