rank,image_path
192,192_ILSVRC2012_val_00015983.JPEG
2274,2274_ILSVRC2012_val_00028248.JPEG
2950,2950_ILSVRC2012_val_00020564.JPEG
4717,4717_ILSVRC2012_val_00020657.JPEG
5066,5066_ILSVRC2012_val_00030537.JPEG
5234,5234_ILSVRC2012_val_00035503.JPEG
5455,5455_ILSVRC2012_val_00047552.JPEG
6747,6747_ILSVRC2012_val_00042433.JPEG
7013,7013_ILSVRC2012_val_00001876.JPEG
8537,8537_ILSVRC2012_val_00032624.JPEG
9929,9929_ILSVRC2012_val_00029759.JPEG
10543,10543_ILSVRC2012_val_00034923.JPEG
11968,11968_ILSVRC2012_val_00012294.JPEG
13293,13293_ILSVRC2012_val_00047075.JPEG
13377,13377_ILSVRC2012_val_00018271.JPEG
16920,16920_ILSVRC2012_val_00044010.JPEG
17709,17709_ILSVRC2012_val_00017418.JPEG
19051,19051_ILSVRC2012_val_00014008.JPEG
19722,19722_ILSVRC2012_val_00003030.JPEG
19780,19780_ILSVRC2012_val_00045227.JPEG
20621,20621_ILSVRC2012_val_00022919.JPEG
20956,20956_ILSVRC2012_val_00016467.JPEG
21572,21572_ILSVRC2012_val_00025807.JPEG
21586,21586_ILSVRC2012_val_00042965.JPEG
24790,24790_ILSVRC2012_val_00042624.JPEG
25475,25475_ILSVRC2012_val_00038129.JPEG
26242,26242_ILSVRC2012_val_00006501.JPEG
27683,27683_ILSVRC2012_val_00011167.JPEG
29641,29641_ILSVRC2012_val_00035838.JPEG
30664,30664_ILSVRC2012_val_00005559.JPEG
32150,32150_ILSVRC2012_val_00024531.JPEG
32832,32832_ILSVRC2012_val_00016575.JPEG
32936,32936_ILSVRC2012_val_00002566.JPEG
33713,33713_ILSVRC2012_val_00017875.JPEG
34336,34336_ILSVRC2012_val_00024483.JPEG
34460,34460_ILSVRC2012_val_00028469.JPEG
34645,34645_ILSVRC2012_val_00039252.JPEG
36542,36542_ILSVRC2012_val_00015727.JPEG
37446,37446_ILSVRC2012_val_00022948.JPEG
38453,38453_ILSVRC2012_val_00042015.JPEG
39141,39141_ILSVRC2012_val_00015172.JPEG
40116,40116_ILSVRC2012_val_00005930.JPEG
40848,40848_ILSVRC2012_val_00047352.JPEG
43890,43890_ILSVRC2012_val_00014390.JPEG
43988,43988_ILSVRC2012_val_00043768.JPEG
44942,44942_ILSVRC2012_val_00037491.JPEG
45359,45359_ILSVRC2012_val_00049624.JPEG
47561,47561_ILSVRC2012_val_00036958.JPEG
49576,49576_ILSVRC2012_val_00011867.JPEG
49825,49825_ILSVRC2012_val_00017073.JPEG
