rank,image_path
722,722_ILSVRC2012_val_00036407.JPEG
1890,1890_ILSVRC2012_val_00008805.JPEG
1962,1962_ILSVRC2012_val_00040241.JPEG
1999,1999_ILSVRC2012_val_00030896.JPEG
2185,2185_ILSVRC2012_val_00011721.JPEG
3257,3257_ILSVRC2012_val_00042786.JPEG
3489,3489_ILSVRC2012_val_00001370.JPEG
3640,3640_ILSVRC2012_val_00020574.JPEG
4371,4371_ILSVRC2012_val_00048913.JPEG
7392,7392_ILSVRC2012_val_00033987.JPEG
9111,9111_ILSVRC2012_val_00023385.JPEG
9284,9284_ILSVRC2012_val_00002041.JPEG
11314,11314_ILSVRC2012_val_00024769.JPEG
12407,12407_ILSVRC2012_val_00025040.JPEG
14757,14757_ILSVRC2012_val_00020726.JPEG
15310,15310_ILSVRC2012_val_00025831.JPEG
15746,15746_ILSVRC2012_val_00004118.JPEG
16517,16517_ILSVRC2012_val_00001618.JPEG
16545,16545_ILSVRC2012_val_00035451.JPEG
17801,17801_ILSVRC2012_val_00004140.JPEG
17856,17856_ILSVRC2012_val_00024685.JPEG
19806,19806_ILSVRC2012_val_00047194.JPEG
20112,20112_ILSVRC2012_val_00009854.JPEG
20603,20603_ILSVRC2012_val_00040520.JPEG
20905,20905_ILSVRC2012_val_00015141.JPEG
21602,21602_ILSVRC2012_val_00033616.JPEG
21632,21632_ILSVRC2012_val_00043063.JPEG
21865,21865_ILSVRC2012_val_00022156.JPEG
22499,22499_ILSVRC2012_val_00047923.JPEG
22632,22632_ILSVRC2012_val_00035981.JPEG
22655,22655_ILSVRC2012_val_00029030.JPEG
22685,22685_ILSVRC2012_val_00003008.JPEG
23115,23115_ILSVRC2012_val_00026786.JPEG
24818,24818_ILSVRC2012_val_00032657.JPEG
25047,25047_ILSVRC2012_val_00039799.JPEG
25365,25365_ILSVRC2012_val_00020108.JPEG
26096,26096_ILSVRC2012_val_00011053.JPEG
27111,27111_ILSVRC2012_val_00001037.JPEG
27761,27761_ILSVRC2012_val_00035039.JPEG
28215,28215_ILSVRC2012_val_00001053.JPEG
29850,29850_ILSVRC2012_val_00006165.JPEG
30968,30968_ILSVRC2012_val_00004151.JPEG
31204,31204_ILSVRC2012_val_00027376.JPEG
31257,31257_ILSVRC2012_val_00008960.JPEG
32454,32454_ILSVRC2012_val_00026006.JPEG
36170,36170_ILSVRC2012_val_00028445.JPEG
36592,36592_ILSVRC2012_val_00016993.JPEG
37828,37828_ILSVRC2012_val_00024404.JPEG
48860,48860_ILSVRC2012_val_00038770.JPEG
49672,49672_ILSVRC2012_val_00022618.JPEG
