rank,image_path
584,584_ILSVRC2012_val_00027148.JPEG
1981,1981_ILSVRC2012_val_00049311.JPEG
3128,3128_ILSVRC2012_val_00028810.JPEG
4296,4296_ILSVRC2012_val_00009271.JPEG
5671,5671_ILSVRC2012_val_00015643.JPEG
7376,7376_ILSVRC2012_val_00011041.JPEG
8680,8680_ILSVRC2012_val_00018622.JPEG
8899,8899_ILSVRC2012_val_00013730.JPEG
9232,9232_ILSVRC2012_val_00035425.JPEG
11346,11346_ILSVRC2012_val_00001879.JPEG
11695,11695_ILSVRC2012_val_00038304.JPEG
11784,11784_ILSVRC2012_val_00018228.JPEG
13168,13168_ILSVRC2012_val_00027484.JPEG
13621,13621_ILSVRC2012_val_00029153.JPEG
14210,14210_ILSVRC2012_val_00025867.JPEG
15244,15244_ILSVRC2012_val_00010230.JPEG
15432,15432_ILSVRC2012_val_00021660.JPEG
16023,16023_ILSVRC2012_val_00005825.JPEG
16124,16124_ILSVRC2012_val_00012329.JPEG
16202,16202_ILSVRC2012_val_00011014.JPEG
17024,17024_ILSVRC2012_val_00018907.JPEG
17372,17372_ILSVRC2012_val_00000786.JPEG
20348,20348_ILSVRC2012_val_00003298.JPEG
20607,20607_ILSVRC2012_val_00007488.JPEG
20684,20684_ILSVRC2012_val_00035842.JPEG
20940,20940_ILSVRC2012_val_00045042.JPEG
21321,21321_ILSVRC2012_val_00049515.JPEG
21957,21957_ILSVRC2012_val_00031749.JPEG
24066,24066_ILSVRC2012_val_00027488.JPEG
24671,24671_ILSVRC2012_val_00042500.JPEG
25293,25293_ILSVRC2012_val_00008849.JPEG
26943,26943_ILSVRC2012_val_00039244.JPEG
27693,27693_ILSVRC2012_val_00021032.JPEG
29893,29893_ILSVRC2012_val_00020401.JPEG
31007,31007_ILSVRC2012_val_00043349.JPEG
32079,32079_ILSVRC2012_val_00029088.JPEG
32660,32660_ILSVRC2012_val_00013771.JPEG
34564,34564_ILSVRC2012_val_00039669.JPEG
35123,35123_ILSVRC2012_val_00002106.JPEG
35147,35147_ILSVRC2012_val_00018456.JPEG
37320,37320_ILSVRC2012_val_00008688.JPEG
38385,38385_ILSVRC2012_val_00035387.JPEG
40328,40328_ILSVRC2012_val_00045129.JPEG
41265,41265_ILSVRC2012_val_00031608.JPEG
44710,44710_ILSVRC2012_val_00036657.JPEG
44768,44768_ILSVRC2012_val_00047227.JPEG
47116,47116_ILSVRC2012_val_00010797.JPEG
47313,47313_ILSVRC2012_val_00014465.JPEG
48091,48091_ILSVRC2012_val_00026766.JPEG
48298,48298_ILSVRC2012_val_00046778.JPEG
