rank,image_path
2133,2133_ILSVRC2012_val_00049026.JPEG
4135,4135_ILSVRC2012_val_00005469.JPEG
14607,14607_ILSVRC2012_val_00029773.JPEG
19576,19576_ILSVRC2012_val_00003028.JPEG
20453,20453_ILSVRC2012_val_00019487.JPEG
21490,21490_ILSVRC2012_val_00039702.JPEG
21935,21935_ILSVRC2012_val_00034004.JPEG
22284,22284_ILSVRC2012_val_00033346.JPEG
22940,22940_ILSVRC2012_val_00049749.JPEG
25617,25617_ILSVRC2012_val_00020335.JPEG
26436,26436_ILSVRC2012_val_00008560.JPEG
28046,28046_ILSVRC2012_val_00005079.JPEG
28266,28266_ILSVRC2012_val_00000879.JPEG
29040,29040_ILSVRC2012_val_00021555.JPEG
29901,29901_ILSVRC2012_val_00018114.JPEG
29926,29926_ILSVRC2012_val_00045104.JPEG
31071,31071_ILSVRC2012_val_00005855.JPEG
32707,32707_ILSVRC2012_val_00012560.JPEG
32799,32799_ILSVRC2012_val_00017978.JPEG
33665,33665_ILSVRC2012_val_00040457.JPEG
34558,34558_ILSVRC2012_val_00047726.JPEG
34722,34722_ILSVRC2012_val_00021897.JPEG
35403,35403_ILSVRC2012_val_00044675.JPEG
35607,35607_ILSVRC2012_val_00034868.JPEG
35898,35898_ILSVRC2012_val_00047336.JPEG
36391,36391_ILSVRC2012_val_00000896.JPEG
36483,36483_ILSVRC2012_val_00046690.JPEG
37116,37116_ILSVRC2012_val_00041959.JPEG
37488,37488_ILSVRC2012_val_00035998.JPEG
37578,37578_ILSVRC2012_val_00023067.JPEG
38966,38966_ILSVRC2012_val_00043099.JPEG
39693,39693_ILSVRC2012_val_00011760.JPEG
39745,39745_ILSVRC2012_val_00003005.JPEG
39907,39907_ILSVRC2012_val_00014388.JPEG
39989,39989_ILSVRC2012_val_00017877.JPEG
40744,40744_ILSVRC2012_val_00027303.JPEG
41171,41171_ILSVRC2012_val_00012405.JPEG
41283,41283_ILSVRC2012_val_00034700.JPEG
43354,43354_ILSVRC2012_val_00039023.JPEG
44491,44491_ILSVRC2012_val_00005712.JPEG
44725,44725_ILSVRC2012_val_00026973.JPEG
45899,45899_ILSVRC2012_val_00013599.JPEG
46034,46034_ILSVRC2012_val_00041323.JPEG
46332,46332_ILSVRC2012_val_00035106.JPEG
46350,46350_ILSVRC2012_val_00011076.JPEG
46789,46789_ILSVRC2012_val_00024980.JPEG
46891,46891_ILSVRC2012_val_00040739.JPEG
46943,46943_ILSVRC2012_val_00041619.JPEG
46956,46956_ILSVRC2012_val_00012973.JPEG
47718,47718_ILSVRC2012_val_00034632.JPEG
