rank,image_path
2039,2039_ILSVRC2012_val_00029957.JPEG
2628,2628_ILSVRC2012_val_00018153.JPEG
3810,3810_ILSVRC2012_val_00012882.JPEG
5688,5688_ILSVRC2012_val_00022904.JPEG
6826,6826_ILSVRC2012_val_00009849.JPEG
6958,6958_ILSVRC2012_val_00040091.JPEG
8565,8565_ILSVRC2012_val_00010980.JPEG
11577,11577_ILSVRC2012_val_00018878.JPEG
12951,12951_ILSVRC2012_val_00033976.JPEG
13923,13923_ILSVRC2012_val_00024230.JPEG
14737,14737_ILSVRC2012_val_00041719.JPEG
15397,15397_ILSVRC2012_val_00021639.JPEG
15881,15881_ILSVRC2012_val_00033377.JPEG
15888,15888_ILSVRC2012_val_00049979.JPEG
15894,15894_ILSVRC2012_val_00006672.JPEG
15904,15904_ILSVRC2012_val_00000634.JPEG
16031,16031_ILSVRC2012_val_00030650.JPEG
18279,18279_ILSVRC2012_val_00023029.JPEG
19660,19660_ILSVRC2012_val_00009186.JPEG
20266,20266_ILSVRC2012_val_00049904.JPEG
20749,20749_ILSVRC2012_val_00030430.JPEG
24168,24168_ILSVRC2012_val_00032823.JPEG
26141,26141_ILSVRC2012_val_00036686.JPEG
26451,26451_ILSVRC2012_val_00003266.JPEG
26810,26810_ILSVRC2012_val_00036809.JPEG
28004,28004_ILSVRC2012_val_00038722.JPEG
28635,28635_ILSVRC2012_val_00041502.JPEG
29458,29458_ILSVRC2012_val_00009238.JPEG
31808,31808_ILSVRC2012_val_00028094.JPEG
32316,32316_ILSVRC2012_val_00021065.JPEG
33958,33958_ILSVRC2012_val_00012571.JPEG
34777,34777_ILSVRC2012_val_00021067.JPEG
35712,35712_ILSVRC2012_val_00016826.JPEG
35906,35906_ILSVRC2012_val_00031839.JPEG
37698,37698_ILSVRC2012_val_00047879.JPEG
37991,37991_ILSVRC2012_val_00025363.JPEG
38648,38648_ILSVRC2012_val_00031978.JPEG
39164,39164_ILSVRC2012_val_00021233.JPEG
39789,39789_ILSVRC2012_val_00027346.JPEG
40010,40010_ILSVRC2012_val_00045915.JPEG
40991,40991_ILSVRC2012_val_00004124.JPEG
41214,41214_ILSVRC2012_val_00006518.JPEG
41814,41814_ILSVRC2012_val_00027381.JPEG
43005,43005_ILSVRC2012_val_00001080.JPEG
45531,45531_ILSVRC2012_val_00006337.JPEG
46655,46655_ILSVRC2012_val_00005032.JPEG
47173,47173_ILSVRC2012_val_00032877.JPEG
47694,47694_ILSVRC2012_val_00012104.JPEG
47895,47895_ILSVRC2012_val_00028640.JPEG
49592,49592_ILSVRC2012_val_00022892.JPEG
