rank,image_path
3052,3052_ILSVRC2012_val_00031215.JPEG
5496,5496_ILSVRC2012_val_00027212.JPEG
9717,9717_ILSVRC2012_val_00043900.JPEG
14312,14312_ILSVRC2012_val_00008612.JPEG
14337,14337_ILSVRC2012_val_00012923.JPEG
14758,14758_ILSVRC2012_val_00039746.JPEG
16567,16567_ILSVRC2012_val_00007305.JPEG
18465,18465_ILSVRC2012_val_00009483.JPEG
18628,18628_ILSVRC2012_val_00039581.JPEG
19748,19748_ILSVRC2012_val_00015595.JPEG
20248,20248_ILSVRC2012_val_00033484.JPEG
20463,20463_ILSVRC2012_val_00002038.JPEG
21297,21297_ILSVRC2012_val_00004839.JPEG
21345,21345_ILSVRC2012_val_00003907.JPEG
21661,21661_ILSVRC2012_val_00042358.JPEG
23603,23603_ILSVRC2012_val_00008638.JPEG
24289,24289_ILSVRC2012_val_00047478.JPEG
25156,25156_ILSVRC2012_val_00037646.JPEG
25413,25413_ILSVRC2012_val_00034967.JPEG
25979,25979_ILSVRC2012_val_00029234.JPEG
26020,26020_ILSVRC2012_val_00017785.JPEG
27283,27283_ILSVRC2012_val_00005907.JPEG
27286,27286_ILSVRC2012_val_00034710.JPEG
27308,27308_ILSVRC2012_val_00022542.JPEG
27457,27457_ILSVRC2012_val_00043821.JPEG
28227,28227_ILSVRC2012_val_00038746.JPEG
28994,28994_ILSVRC2012_val_00000126.JPEG
29785,29785_ILSVRC2012_val_00006456.JPEG
31507,31507_ILSVRC2012_val_00029826.JPEG
31793,31793_ILSVRC2012_val_00003045.JPEG
31794,31794_ILSVRC2012_val_00036568.JPEG
33910,33910_ILSVRC2012_val_00042415.JPEG
34066,34066_ILSVRC2012_val_00020423.JPEG
35432,35432_ILSVRC2012_val_00005569.JPEG
35618,35618_ILSVRC2012_val_00037178.JPEG
36539,36539_ILSVRC2012_val_00000202.JPEG
36731,36731_ILSVRC2012_val_00004943.JPEG
37291,37291_ILSVRC2012_val_00003934.JPEG
38274,38274_ILSVRC2012_val_00028840.JPEG
38761,38761_ILSVRC2012_val_00047612.JPEG
41071,41071_ILSVRC2012_val_00012387.JPEG
41100,41100_ILSVRC2012_val_00036791.JPEG
41145,41145_ILSVRC2012_val_00036348.JPEG
41488,41488_ILSVRC2012_val_00024771.JPEG
42803,42803_ILSVRC2012_val_00047120.JPEG
43611,43611_ILSVRC2012_val_00033208.JPEG
45181,45181_ILSVRC2012_val_00019224.JPEG
46711,46711_ILSVRC2012_val_00045515.JPEG
47051,47051_ILSVRC2012_val_00004987.JPEG
47487,47487_ILSVRC2012_val_00031681.JPEG
